query_id,condition,seed,sanitizer,correct_rank,top1_place,correct_place,effective_mse,psnr
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,denoise,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,denoise,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_1,1234,denoise,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_2,1234,denoise,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,denoise,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_4,1234,denoise,1,amman:31,amman:31,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,1234,denoise,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,1234,denoise,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_1,1234,denoise,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_2,1234,denoise,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,1234,denoise,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_4,1234,denoise,1,boston:87,boston:87,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,1234,denoise,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,white_box,1234,denoise,15,manila:6,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_1,1234,denoise,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_2,1234,denoise,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,1234,denoise,2,manila:6,cph:208,15.680001,36.1773
