query_id,condition,seed,sanitizer,correct_rank,top1_place,correct_place,effective_mse,psnr
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,blur,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,blur,20,amman:6,amman:31,15.679991,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_1,1234,blur,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_2,1234,blur,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,blur,1,amman:31,amman:31,15.680004,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,1234,blur,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,1234,blur,264,boston:47,boston:87,15.680004,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_1,1234,blur,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_2,1234,blur,1,boston:87,boston:87,15.679993,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,1234,blur,1,boston:87,boston:87,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,1234,blur,126,boston:19,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,white_box,1234,blur,1263,boston:123,cph:208,15.679993,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_1,1234,blur,191,boston:19,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_2,1234,blur,217,boston:19,cph:208,15.680001,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,1234,blur,172,boston:19,cph:208,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,isotropic,1234,blur,76,manila:202,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,white_box,1234,blur,128,london:28,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_1,1234,blur,114,manila:202,london:51,15.679995,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_2,1234,blur,155,manila:202,london:51,15.679996,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,1234,blur,109,manila:202,london:51,15.680001,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,isotropic,1234,blur,45,toronto:274,manila:102,15.679998,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,white_box,1234,blur,202,manila:190,manila:102,15.679995,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_1,1234,blur,70,toronto:274,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_2,1234,blur,52,toronto:274,manila:102,15.680002,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_3,1234,blur,86,manila:135,manila:102,15.679998,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,isotropic,1234,blur,2000,amman:11,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,white_box,1234,blur,2000,london:34,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_1,1234,blur,2000,zurich:79,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_2,1234,blur,2000,boston:79,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_3,1234,blur,2000,zurich:79,nairobi:2,15.679992,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,isotropic,1234,blur,49,zurich:46,toronto:33,15.679997,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,white_box,1234,blur,31,boston:156,toronto:33,15.679996,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_1,1234,blur,30,zurich:46,toronto:33,15.679998,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_2,1234,blur,15,amman:11,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_3,1234,blur,37,amman:11,toronto:33,15.680000,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,isotropic,1234,blur,213,amman:23,zurich:64,15.680000,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,white_box,1234,blur,1286,london:111,zurich:64,15.680000,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_1,1234,blur,344,cph:242,zurich:64,15.680002,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_2,1234,blur,425,cph:242,zurich:64,15.679995,36.1773
