query_id,condition,seed,sanitizer,correct_rank,top1_place,correct_place,effective_mse,psnr
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,denoise,2,amman:23,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,denoise,2,amman:6,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_1,1234,denoise,1,amman:31,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_2,1234,denoise,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,denoise,1,amman:31,amman:31,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,1234,denoise,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,1234,denoise,59,boston:171,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_1,1234,denoise,1,boston:87,boston:87,15.680002,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_2,1234,denoise,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,1234,denoise,1,boston:87,boston:87,15.679996,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,1234,denoise,307,boston:171,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,white_box,1234,denoise,599,boston:171,cph:208,15.679995,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_1,1234,denoise,367,boston:171,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_2,1234,denoise,459,boston:171,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,1234,denoise,453,boston:171,cph:208,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,isotropic,1234,denoise,292,manila:177,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,white_box,1234,denoise,733,amman:31,london:51,15.679992,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_1,1234,denoise,213,manila:177,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_2,1234,denoise,291,manila:72,london:51,15.679995,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,1234,denoise,295,manila:177,london:51,15.680002,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,isotropic,1234,denoise,109,manila:134,manila:102,15.679998,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,white_box,1234,denoise,317,toronto:274,manila:102,15.679997,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_1,1234,denoise,97,manila:134,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_2,1234,denoise,116,manila:29,manila:102,15.680001,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_3,1234,denoise,227,manila:29,manila:102,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,isotropic,1234,denoise,1988,toronto:366,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,white_box,1234,denoise,2000,boston:249,nairobi:2,15.679996,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_1,1234,denoise,1986,toronto:366,nairobi:2,15.679998,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_2,1234,denoise,1993,toronto:366,nairobi:2,15.679986,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_3,1234,denoise,1996,toronto:366,nairobi:2,15.679997,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,isotropic,1234,denoise,26,boston:144,toronto:33,15.679997,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,white_box,1234,denoise,13,boston:144,toronto:33,15.680004,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_1,1234,denoise,27,boston:144,toronto:33,15.680004,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_2,1234,denoise,26,boston:144,toronto:33,15.679998,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_3,1234,denoise,34,boston:144,toronto:33,15.679997,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,isotropic,1234,denoise,232,zurich:19,zurich:64,15.680000,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,white_box,1234,denoise,862,zurich:19,zurich:64,15.679997,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_1,1234,denoise,408,zurich:19,zurich:64,15.679998,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_2,1234,denoise,411,zurich:19,zurich:64,15.680002,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_3,1234,denoise,725,zurich:19,zurich:64,15.680000,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,1234,denoise,2,amman:23,amman:21,15.680000,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,white_box,1234,denoise,1,amman:21,amman:21,15.680001,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_1,1234,denoise,3,amman:23,amman:21,15.679996,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_2,1234,denoise,1,amman:21,amman:21,15.680008,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_3,1234,denoise,2,amman:23,amman:21,15.680001,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,isotropic,1234,denoise,90,manila:109,boston:262,15.680000,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,white_box,1234,denoise,638,boston:171,boston:262,15.679992,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_1,1234,denoise,159,manila:109,boston:262,15.679998,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_2,1234,denoise,201,boston:171,boston:262,15.680001,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_3,1234,denoise,182,boston:171,boston:262,15.679998,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,isotropic,1234,denoise,2,boston:123,cph:162,15.680001,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,white_box,1234,denoise,1,cph:162,cph:162,15.680000,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_1,1234,denoise,3,boston:123,cph:162,15.680002,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_2,1234,denoise,4,boston:123,cph:162,15.680000,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_3,1234,denoise,7,boston:123,cph:162,15.679995,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,isotropic,1234,denoise,1,london:2,london:2,15.679995,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,white_box,1234,denoise,17,amman:1,london:2,15.679997,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_1,1234,denoise,1,london:2,london:2,15.680001,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_2,1234,denoise,3,boston:206,london:2,15.679998,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_3,1234,denoise,1,london:2,london:2,15.680000,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,isotropic,1234,denoise,544,manila:116,manila:142,15.680002,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,white_box,1234,denoise,911,manila:54,manila:142,15.680002,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,transfer_1,1234,denoise,715,manila:116,manila:142,15.680005,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,transfer_2,1234,denoise,566,manila:116,manila:142,15.680000,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,transfer_3,1234,denoise,401,manila:116,manila:142,15.679997,36.1773
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,isotropic,1234,denoise,29,amman:23,nairobi:18,15.679998,36.1773
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,white_box,1234,denoise,322,nairobi:1,nairobi:18,15.680004,36.1773
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,transfer_1,1234,denoise,23,amman:23,nairobi:18,15.680000,36.1773
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,transfer_2,1234,denoise,23,amman:23,nairobi:18,15.679997,36.1773
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,transfer_3,1234,denoise,91,amman:23,nairobi:18,15.680002,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,isotropic,1234,denoise,181,toronto:112,toronto:185,15.679997,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,white_box,1234,denoise,332,toronto:354,toronto:185,15.679998,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,transfer_1,1234,denoise,252,toronto:112,toronto:185,15.679997,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,transfer_2,1234,denoise,297,toronto:112,toronto:185,15.679998,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,transfer_3,1234,denoise,139,toronto:112,toronto:185,15.680000,36.1773
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,isotropic,1234,denoise,50,amman:0,zurich:13,15.679997,36.1773
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,white_box,1234,denoise,335,toronto:23,zurich:13,15.680008,36.1773
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,transfer_1,1234,denoise,101,cph:208,zurich:13,15.679998,36.1773
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,transfer_2,1234,denoise,47,amman:0,zurich:13,15.680000,36.1773
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,transfer_3,1234,denoise,140,toronto:23,zurich:13,15.679998,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,1234,denoise,1595,boston:171,amman:37,15.680000,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,white_box,1234,denoise,1965,toronto:346,amman:37,15.679998,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,transfer_1,1234,denoise,1674,boston:171,amman:37,15.680000,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,transfer_2,1234,denoise,1794,toronto:112,amman:37,15.679997,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,transfer_3,1234,denoise,1916,boston:171,amman:37,15.679995,36.1773
boston_query_-0n5FDAuOditKvxIekIbBg,isotropic,1234,denoise,1,boston:239,boston:239,15.679997,36.1773
