query_id,place_id,variant,seed,correct_rank
manila_query_-Tvw2ZcjPmZrmxcJ3PNHwQ,manila:33,raw,raw,1
toronto_query_-90qYles5GKU3ikhCYP3xg,toronto:265,raw,raw,1
manila_query_-aK1h18UZREBqmVQH9KSvw,manila:163,raw,raw,52
toronto_query_-95Ypw11XUgNqZdY5m4GCw,toronto:85,raw,raw,374
manila_query_0HDjGgFDFNLLLoIt7KRL8w,manila:110,raw,raw,6
toronto_query_-Af6Q3npKjccLu7TwYvlsQ,toronto:197,raw,raw,23
manila_query_0ed_PP7fieRzEYXkO2A8eg,manila:164,raw,raw,26
toronto_query_-DB8UBv2Rg4kTi6HTqrhOw,toronto:228,raw,raw,101
manila_query_0kLPd8KXrFPt1W0cz898BA,manila:33,raw,raw,2
toronto_query_-HBbI6fcMz-R3CyduFEoDg,toronto:426,raw,raw,108
manila_query_11R4PgMUZIhIckAYgtQ4og,manila:164,raw,raw,46
toronto_query_-MvRj243NBTPnognhgb4Cg,toronto:421,raw,raw,83
manila_query_16UN3ZZPgdptoO3HGxvESg,manila:62,raw,raw,163
toronto_query_-WowlTfVg0YyJZuhkEYtcg,toronto:285,raw,raw,15
manila_query_19EFy3D813xvA-6h1wyh2A,manila:163,raw,raw,186
toronto_query_-ZIOjxVHEE_ezDcF0wLecg,toronto:291,raw,raw,197
manila_query_1BGh0EW3EFTy5LdaiCCl4w,manila:43,raw,raw,3
toronto_query_-evgYQD0UZWnFI8n53z4eQ,toronto:291,raw,raw,196
manila_query_1LO3zuEn68XEO_r5zdm5pg,manila:58,raw,raw,13
toronto_query_-l-kW7iO6S7ma6RYW04_-A,toronto:421,raw,raw,16
manila_query_1VRv0iKGSXWKfxcN-hdNSw,manila:33,raw,raw,8
toronto_query_-nYF296E-BERgEKSH_p84A,toronto:187,raw,raw,1
manila_query_1Wt7lh2nKH8qmQ0RkPH4IA,manila:58,raw,raw,11
toronto_query_-p3ozFKwLEQYMk2JuZhovA,toronto:265,raw,raw,2
manila_query_20zs7mUy1SKbZSkRbWWmPg,manila:182,raw,raw,26
toronto_query_-tyusBih5pkL3WZmYG_gkA,toronto:398,raw,raw,5
manila_query_2JX7G0cc5XhXTl8SNw9ukw,manila:182,raw,raw,3
toronto_query_009huCSIoalmZNmOT0B_kQ,toronto:214,raw,raw,3
manila_query_2LEHff0cRW7DzYNTEVL7Ag,manila:151,raw,raw,21
toronto_query_03XoIwYMlWzGvygwc5tfkg,toronto:265,raw,raw,2
manila_query_2PSyd7C_mggsOGAvzR_aFg,manila:33,raw,raw,8
toronto_query_0512KOljafphsIwU_OkW3A,toronto:398,raw,raw,7
manila_query_2QrsfQi9BiHSAALZpxDNhw,manila:163,raw,raw,6
toronto_query_0Bjnn-QJBmUBICKgI9NMsw,toronto:186,raw,raw,53
manila_query_2WtMZldYw1GeZL58T0Gx9g,manila:33,raw,raw,4
toronto_query_0IWLcmdrOBIfpjBfzkAZrg,toronto:398,raw,raw,1
manila_query_2cbamJloH30PeUtBiyNgzQ,manila:163,raw,raw,32
toronto_query_0UOccUs0j4ZlygZtJWg-tQ,toronto:288,raw,raw,5
manila_query_2pawiynnf8j5GqgEH7ROwg,manila:43,raw,raw,3
toronto_query_0XVlj_sXN96_Ps4avCLXVw,toronto:136,raw,raw,2
manila_query_2rBizOX6MyaFnS7xKv6jUw,manila:164,raw,raw,45
toronto_query_0cbjjXay1RBhM7ommXA8wg,toronto:292,raw,raw,139
manila_query_3C7fwo2xIkGrsOLeH1a9jQ,manila:33,raw,raw,1
toronto_query_0hf5-6D7tW79OHnOMUC5Bg,toronto:108,raw,raw,98
manila_query_3RTBM-ZzpUCgT9JF3aVErQ,manila:33,raw,raw,6
toronto_query_0iXcQLXcfShOUObCVlZlAA,toronto:189,raw,raw,566
manila_query_3VjnIxVTwJgEJyHKm7fcMA,manila:163,raw,raw,87
toronto_query_0lbX9-cJcnYRZO8R_1OE3Q,toronto:214,raw,raw,1
manila_query_3hsXQleku42mf1GosQP_dw,manila:163,raw,raw,130
toronto_query_0xtchPRY4URZRoY7LmfMDA,toronto:85,raw,raw,223
manila_query_3q97I2lL-NgzKu6atR8kxw,manila:164,raw,raw,34
toronto_query_10s4yLpZXn0pIa2jmu7EKw,toronto:59,raw,raw,19
manila_query_4pCxRQMa1uDypyR1RAnxXQ,manila:110,raw,raw,5
toronto_query_11ik2lHOd5uZaiP5DprgpQ,toronto:126,raw,raw,31
manila_query_5E7C4o8BS5EP6Wv4h_ovng,manila:163,raw,raw,118
toronto_query_13eoj8tHiIr6ZSI5OBM-kA,toronto:136,raw,raw,7
manila_query_5LyWaZtlHHJlLOX8bNuuRA,manila:168,raw,raw,363
toronto_query_1BnQfx1P7-BK9qUOkqWQKQ,toronto:392,raw,raw,1
manila_query_5MNhHqnl4F1v19e6wYeX2g,manila:163,raw,raw,4
toronto_query_1Jy6W4UPkbxc-QDrWeQP8g,toronto:118,raw,raw,2
manila_query_5dyA8q9uSzKuy1xw4dmrow,manila:44,raw,raw,1
toronto_query_1KwnImImvnqBIY3ucJUPJQ,toronto:288,raw,raw,16
manila_query_5ufyqcg3hm9A_WwBLd17OA,manila:125,raw,raw,49
toronto_query_1Tn14lwUqrtzgYcRyW5H5A,toronto:83,raw,raw,3
manila_query_5xxL77M1YbaUruMbey-fVQ,manila:33,raw,raw,7
toronto_query_1V8zf69tckwMOCQ-SzyqlQ,toronto:292,raw,raw,86
manila_query_62hRuYD-NilF8O33k2Bj4A,manila:125,raw,raw,92
toronto_query_1WqEIZm1aw2BIaB7QQtnVw,toronto:421,raw,raw,8
manila_query_6Le3pyQvXLefUtHJ5dgvPQ,manila:74,raw,raw,26
toronto_query_1_finmMkNJnbYEmQbodHow,toronto:187,raw,raw,11
manila_query_6S10tIHeJlCb896rQcEdRw,manila:33,raw,raw,5
toronto_query_1baJwUh8mA5WoKzVsZPqVg,toronto:25,raw,raw,2
manila_query_6So_8DbCbdJDODZmXPzPFA,manila:163,raw,raw,43
toronto_query_1bhKDkDpl1iUE24BQAT7Ag,toronto:398,raw,raw,90
manila_query_6Vixbb9PpdM7D7NBFkJhyA,manila:164,raw,raw,2
toronto_query_1fHKK3JHjfDimuaqTr1D4g,toronto:398,raw,raw,97
manila_query_6dXUQfd4nLKEpVkv3OE-qw,manila:33,raw,raw,2
toronto_query_1pxQC0m-6NyXg_vqOKTosQ,toronto:288,raw,raw,2
manila_query_6mN-D17y3GHfMP3JL5x02w,manila:33,raw,raw,1
toronto_query_1rBR6R6A93Wcms4xujg5sw,toronto:14,raw,raw,4
manila_query_6taL1OsAIFDO8fkIlSMnOQ,manila:33,raw,raw,9
toronto_query_1wSm8cZ9chfRDrenZNowuA,toronto:210,raw,raw,11
manila_query_700GDxL0Bjsi126cBq94xQ,manila:163,raw,raw,82
toronto_query_23Vy74BC4K84IZNl1c126Q,toronto:106,raw,raw,15
manila_query_75pKksGK-fSOMUv79hj4dA,manila:43,raw,raw,3
toronto_query_28zidXRy5uSLtoxZdV6EQw,toronto:14,raw,raw,1
manila_query_7D3mUBDM-mx0L_VBkvvKMw,manila:33,raw,raw,1
toronto_query_29u_ZdwKx26WugNo5YPw8w,toronto:6,raw,raw,74
manila_query_7Lwn1uDmuwxBAssHd2R3mQ,manila:33,raw,raw,2
toronto_query_2CVBoEy4siBRUokZPz-8AQ,toronto:52,raw,raw,8
manila_query_7VR-pwnY-wE_f7-wzjnYLw,manila:44,raw,raw,18
toronto_query_2Gk4FlnQRyWf8Ssrsmptyw,toronto:398,raw,raw,34
manila_query_7i1j6Oks7sHO15WJ1U4Eww,manila:43,raw,raw,11
toronto_query_2KKiatQW4Z-yeBXS5MZ6FA,toronto:96,raw,raw,295
manila_query_8bBcw4Uqk_xNz7cV3qK7xA,manila:33,raw,raw,1
toronto_query_2Ky7ahWaxehjGWV2YUUzKQ,toronto:283,raw,raw,139
manila_query_8cNvzVQkoFu0nnYBLfcQWg,manila:58,raw,raw,1
toronto_query_2Pd8Wt-2enEtQS9OlW5GBQ,toronto:83,raw,raw,1
manila_query_8d_yzjbh7RifXBqcb_8Kcg,manila:33,raw,raw,1
toronto_query_2SvczVVs5JBjlSUo-4Nbv0,toronto:369,raw,raw,35
