query_id,place_id,variant,seed,correct_rank
manila_query_-7YHsOWBiYFmYcRzIM0ijg,manila:92,raw,raw,1
toronto_query_-68JeZKxV2XoP0N_6780Og,toronto:55,raw,raw,4
manila_query_-MH02w7P6jmmqnoUdL-55Q,manila:72,raw,raw,1
toronto_query_-85n6JJLXmi04edt5JxhzQ,toronto:21,raw,raw,1
manila_query_-QdSFqylfs0aHx31jOvTVg,manila:183,raw,raw,4
toronto_query_-9p2_cESNINnXfab4o-dKQ,toronto:121,raw,raw,5
manila_query_-WlvwRIHM8K9xtN_z0FAGg,manila:153,raw,raw,1
toronto_query_-BTAllhGXYkM_JsKwxUFMg,toronto:34,raw,raw,1
manila_query_-WuLHZxOTWuUgVSb36RTng,manila:132,raw,raw,7
toronto_query_-FOgEN8RNyKr0s933N-a0w,toronto:112,raw,raw,1
manila_query_-nSvA9_5RjUmwduTYdzXMg,manila:127,raw,raw,1
toronto_query_-IlXU6r8OSJejg6wnFTYMQ,toronto:236,raw,raw,8
manila_query_06IJkHDXUzYhmkDBfur_VA,manila:145,raw,raw,2
toronto_query_-L3Zos1U2E6AA3-ZO_eESA,toronto:253,raw,raw,4
manila_query_0dpZ2L4GasFQDfEcmuYGDA,manila:162,raw,raw,154
toronto_query_-MnI6OlC-vX0Wm56nVPN1A,toronto:200,raw,raw,1
manila_query_0eqyQynxjjPcOfw81OijwQ,manila:192,raw,raw,3
toronto_query_-Pkw8dqFfD76K-CZ7pnCVQ,toronto:258,raw,raw,2
manila_query_0oAiRznp_KrAyN9jPCrC9g,manila:93,raw,raw,48
toronto_query_-UXYzC-9gpKGMoxwuW9nsg,toronto:216,raw,raw,1
manila_query_10s2Moi6EV6yIQzm7jKX7A,manila:132,raw,raw,1
toronto_query_-WjDc7MF3gJT_e45uGc1aQ,toronto:167,raw,raw,1
manila_query_13QdtRht4ibPetyM8XqYJw,manila:162,raw,raw,7
toronto_query_-XdI3_ejRq15FbbZVmd1CQ,toronto:263,raw,raw,1
manila_query_13gKFfLk0eCQAwNRGAOObg,manila:56,raw,raw,13
toronto_query_-ads5LSBBGszV08Y3gPMnw,toronto:231,raw,raw,5
manila_query_1ERhKsZ9wPs71ND3TGoChg,manila:56,raw,raw,1
toronto_query_-lz2NQxNprYC3_4Qvqi5cA,toronto:55,raw,raw,1
manila_query_1OiQ0anq3qZvEvvpUeB6cw,manila:80,raw,raw,163
toronto_query_-mMRHhHdEV1MbWi9yGAseA,toronto:76,raw,raw,29
manila_query_1hUnYvM39mAkxrYho9E35g,manila:93,raw,raw,267
toronto_query_-mR9AEIgaHB3vks8XO-Zjg,toronto:54,raw,raw,12
manila_query_1pq6_qNiey2gSmDEYc7DSg,manila:192,raw,raw,425
toronto_query_-nuzTSNebPnhxxl0sPIRvA,toronto:144,raw,raw,2
manila_query_1q9Oe-sDn8uDKA1nEF6YAg,manila:132,raw,raw,3
toronto_query_-pTkwcrARihStrVGIDO4Ig,toronto:44,raw,raw,2
manila_query_22hFjm0PdkB5l2sdvhjcyQ,manila:71,raw,raw,1
toronto_query_-vu79_9tsdTeLBpu6F3dAw,toronto:36,raw,raw,46
manila_query_2CUcxtuEIwrxTO5FE5wuDg,manila:193,raw,raw,1
toronto_query_-wxvvP_n3CxUDWcjT8RtDA,toronto:298,raw,raw,1
manila_query_2K5cPtZ8h6c35gN8GvrJTw,manila:193,raw,raw,1
toronto_query_03B-eCWTw19HfVCEFIsfKg,toronto:157,raw,raw,1
manila_query_2XAX1PBZFYgCGD7Zw3Ho-A,manila:127,raw,raw,1
toronto_query_07nFfRQUlEllx0wAxtNenQ,toronto:167,raw,raw,1
manila_query_2XDVY87t6SgLM6ZyibTBuA,manila:193,raw,raw,1
toronto_query_0FUYggFkBbqobWeigVk2bw,toronto:231,raw,raw,6
manila_query_2XT5F9TUslMiFjIHpIw-Nw,manila:80,raw,raw,28
toronto_query_0KAuZC0Yyj6lDXj1ZrKQtg,toronto:177,raw,raw,1
manila_query_2u-vvwKlm3LH06deFzWwKw,manila:37,raw,raw,67
toronto_query_0QIYMxMH31Fkt20jz7N7Mg,toronto:272,raw,raw,2
manila_query_3GEozK-tTFmDUl2tbICceQ,manila:65,raw,raw,2
toronto_query_0X8i_bfC8ep7djTiTiMXzQ,toronto:53,raw,raw,3
manila_query_3PGDQrchaDQEVgrtEaeHLA,manila:183,raw,raw,1
toronto_query_0cucd76HIwbREjRK1xSzbA,toronto:222,raw,raw,1
manila_query_3WG9GQZ6BM7XZL1eWJzqyA,manila:132,raw,raw,1
toronto_query_0dYamIMi_1MF82yzVuXioQ,toronto:211,raw,raw,1
manila_query_3X_JO8j9rtuPK5nnnMeLaw,manila:93,raw,raw,74
toronto_query_0iY3HZFTjQ1VZEwYSXNJ3g,toronto:182,raw,raw,1
manila_query_3osUoFaYY2fIJhCmqdRvXw,manila:92,raw,raw,6
toronto_query_0qoToEMkQn0aCLXgd1LXYg,toronto:75,raw,raw,1
manila_query_42bjbZAH5okZpFMxwGOqHQ,manila:131,raw,raw,10
toronto_query_0y4E7K9pLDy4QiR1lWSlTw,toronto:157,raw,raw,1
manila_query_4JbQf5TjbwegBpruRiRmaQ,manila:153,raw,raw,1
toronto_query_0z0sDl_xBBXD102fngbynQ,toronto:240,raw,raw,1
manila_query_4ZDur8DB75EtG8rTM_YSCA,manila:65,raw,raw,3
