query_id,place_id,variant,seed,correct_rank
manila_query_-7YHsOWBiYFmYcRzIM0ijg,manila:92,raw,raw,1
toronto_query_-68JeZKxV2XoP0N_6780Og,toronto:55,raw,raw,119
manila_query_-MH02w7P6jmmqnoUdL-55Q,manila:72,raw,raw,7
toronto_query_-85n6JJLXmi04edt5JxhzQ,toronto:21,raw,raw,80
manila_query_-QdSFqylfs0aHx31jOvTVg,manila:183,raw,raw,232
toronto_query_-9p2_cESNINnXfab4o-dKQ,toronto:121,raw,raw,215
manila_query_-WlvwRIHM8K9xtN_z0FAGg,manila:153,raw,raw,15
toronto_query_-BTAllhGXYkM_JsKwxUFMg,toronto:34,raw,raw,64
manila_query_-WuLHZxOTWuUgVSb36RTng,manila:132,raw,raw,5
toronto_query_-FOgEN8RNyKr0s933N-a0w,toronto:112,raw,raw,208
manila_query_-nSvA9_5RjUmwduTYdzXMg,manila:127,raw,raw,6
toronto_query_-IlXU6r8OSJejg6wnFTYMQ,toronto:236,raw,raw,57
manila_query_06IJkHDXUzYhmkDBfur_VA,manila:145,raw,raw,1
toronto_query_-L3Zos1U2E6AA3-ZO_eESA,toronto:253,raw,raw,17
manila_query_0dpZ2L4GasFQDfEcmuYGDA,manila:162,raw,raw,312
toronto_query_-MnI6OlC-vX0Wm56nVPN1A,toronto:200,raw,raw,15
manila_query_0eqyQynxjjPcOfw81OijwQ,manila:192,raw,raw,542
toronto_query_-Pkw8dqFfD76K-CZ7pnCVQ,toronto:258,raw,raw,23
manila_query_0oAiRznp_KrAyN9jPCrC9g,manila:93,raw,raw,972
toronto_query_-UXYzC-9gpKGMoxwuW9nsg,toronto:216,raw,raw,6
manila_query_10s2Moi6EV6yIQzm7jKX7A,manila:132,raw,raw,24
toronto_query_-WjDc7MF3gJT_e45uGc1aQ,toronto:167,raw,raw,2
manila_query_13QdtRht4ibPetyM8XqYJw,manila:162,raw,raw,137
toronto_query_-XdI3_ejRq15FbbZVmd1CQ,toronto:263,raw,raw,1
manila_query_13gKFfLk0eCQAwNRGAOObg,manila:56,raw,raw,67
toronto_query_-ads5LSBBGszV08Y3gPMnw,toronto:231,raw,raw,90
manila_query_1ERhKsZ9wPs71ND3TGoChg,manila:56,raw,raw,16
toronto_query_-lz2NQxNprYC3_4Qvqi5cA,toronto:55,raw,raw,25
manila_query_1OiQ0anq3qZvEvvpUeB6cw,manila:80,raw,raw,96
toronto_query_-mMRHhHdEV1MbWi9yGAseA,toronto:76,raw,raw,1
manila_query_1hUnYvM39mAkxrYho9E35g,manila:93,raw,raw,611
toronto_query_-mR9AEIgaHB3vks8XO-Zjg,toronto:54,raw,raw,2
manila_query_1pq6_qNiey2gSmDEYc7DSg,manila:192,raw,raw,432
toronto_query_-nuzTSNebPnhxxl0sPIRvA,toronto:144,raw,raw,58
manila_query_1q9Oe-sDn8uDKA1nEF6YAg,manila:132,raw,raw,31
toronto_query_-pTkwcrARihStrVGIDO4Ig,toronto:44,raw,raw,91
manila_query_22hFjm0PdkB5l2sdvhjcyQ,manila:71,raw,raw,2
toronto_query_-vu79_9tsdTeLBpu6F3dAw,toronto:36,raw,raw,1
manila_query_2CUcxtuEIwrxTO5FE5wuDg,manila:193,raw,raw,8
toronto_query_-wxvvP_n3CxUDWcjT8RtDA,toronto:298,raw,raw,7
manila_query_2K5cPtZ8h6c35gN8GvrJTw,manila:193,raw,raw,67
toronto_query_03B-eCWTw19HfVCEFIsfKg,toronto:157,raw,raw,4
manila_query_2XAX1PBZFYgCGD7Zw3Ho-A,manila:127,raw,raw,1
toronto_query_07nFfRQUlEllx0wAxtNenQ,toronto:167,raw,raw,2
manila_query_2XDVY87t6SgLM6ZyibTBuA,manila:193,raw,raw,12
toronto_query_0FUYggFkBbqobWeigVk2bw,toronto:231,raw,raw,98
manila_query_2XT5F9TUslMiFjIHpIw-Nw,manila:80,raw,raw,390
toronto_query_0KAuZC0Yyj6lDXj1ZrKQtg,toronto:177,raw,raw,14
manila_query_2u-vvwKlm3LH06deFzWwKw,manila:37,raw,raw,78
toronto_query_0QIYMxMH31Fkt20jz7N7Mg,toronto:272,raw,raw,8
manila_query_3GEozK-tTFmDUl2tbICceQ,manila:65,raw,raw,1
toronto_query_0X8i_bfC8ep7djTiTiMXzQ,toronto:53,raw,raw,2
manila_query_3PGDQrchaDQEVgrtEaeHLA,manila:183,raw,raw,10
toronto_query_0cucd76HIwbREjRK1xSzbA,toronto:222,raw,raw,1
manila_query_3WG9GQZ6BM7XZL1eWJzqyA,manila:132,raw,raw,1
toronto_query_0dYamIMi_1MF82yzVuXioQ,toronto:211,raw,raw,52
manila_query_3X_JO8j9rtuPK5nnnMeLaw,manila:93,raw,raw,778
toronto_query_0iY3HZFTjQ1VZEwYSXNJ3g,toronto:182,raw,raw,379
manila_query_3osUoFaYY2fIJhCmqdRvXw,manila:92,raw,raw,33
toronto_query_0qoToEMkQn0aCLXgd1LXYg,toronto:75,raw,raw,772
manila_query_42bjbZAH5okZpFMxwGOqHQ,manila:131,raw,raw,634
toronto_query_0y4E7K9pLDy4QiR1lWSlTw,toronto:157,raw,raw,3
manila_query_4JbQf5TjbwegBpruRiRmaQ,manila:153,raw,raw,22
toronto_query_0z0sDl_xBBXD102fngbynQ,toronto:240,raw,raw,1
manila_query_4ZDur8DB75EtG8rTM_YSCA,manila:65,raw,raw,27
toronto_query_1-p7SIcMA5mw844YAIHtlA,toronto:98,raw,raw,90
manila_query_4dixVmjHesNIzlHApZA2yQ,manila:5,raw,raw,227
toronto_query_15S9zfgvE2V5vNEUx71_tg,toronto:36,raw,raw,3
manila_query_4tAIslL3UiU3pw3TwwOiYQ,manila:138,raw,raw,10
toronto_query_16C4dkQaMkwdrTi34Z2D0Q,toronto:272,raw,raw,20
manila_query_4uNK8MKKIiKfmMduUfYtJg,manila:133,raw,raw,50
toronto_query_1E6VtVxoHj-70wUDdoRZzA,toronto:259,raw,raw,1
manila_query_52QiW6Y7UAYiXAGP8puWwQ,manila:65,raw,raw,15
toronto_query_1I3iM5jUjqURfiCoTohEcQ,toronto:249,raw,raw,29
manila_query_57kh0dkpue6ZZddWovdygA,manila:122,raw,raw,135
toronto_query_1McZIqI39Ts6BSmHfod-mA,toronto:121,raw,raw,251
manila_query_5QjHqywf2HIuhx2Mhx4qFw,manila:132,raw,raw,63
toronto_query_1NChQkyte101sGRGi6OIng,toronto:243,raw,raw,103
manila_query_5TzHs95kLMYP-_nMt_1o6w,manila:153,raw,raw,7
toronto_query_1OpWgDbwEAVxmUHZI1bwWg,toronto:282,raw,raw,1
manila_query_6-kCO9vTNGTGZ0oKhMz8mg,manila:131,raw,raw,489
toronto_query_1QJuqHAU5hPtpY4ALgsDhA,toronto:239,raw,raw,1
manila_query_61ilJOPkUhviC9xn5VRTzQ,manila:193,raw,raw,26
toronto_query_1ZKQC_T5JDdyHP1fDFMTiw,toronto:53,raw,raw,1
manila_query_64B_7R11tM45PWLtpiBl9w,manila:138,raw,raw,37
toronto_query_1khF3XnLLmJBXX5pa7eWCw,toronto:269,raw,raw,1
manila_query_6jpxI8d0rQv_OqBkxSQb6Q,manila:103,raw,raw,3
toronto_query_1lDN_BLtaw1oDajhQ_xr4w,toronto:254,raw,raw,2
manila_query_6wvfd_XMdF9ohE_ewCGYfA,manila:153,raw,raw,1
toronto_query_1mj8afoxTVFiqI57KUVdBA,toronto:229,raw,raw,1
manila_query_78iQoG26W5nyzrdEZFIFQA,manila:131,raw,raw,634
toronto_query_1sWQMeL0Slt5rLO0zMW2tA,toronto:230,raw,raw,47
manila_query_79YbPmu6h6sXQ5w8YgRkgg,manila:132,raw,raw,15
toronto_query_1stCvNWKWyRt4Mnv-ZrNTw,toronto:272,raw,raw,15
manila_query_7OgYnAcfIVVAPyILjWG56A,manila:127,raw,raw,74
toronto_query_1yzyYjgzAeC2QCN4YutlFw,toronto:280,raw,raw,2
manila_query_7Q1PmVkI6SZBrg10VpbfIQ,manila:192,raw,raw,453
toronto_query_23FYh8F2sZUh5XQ55ihKYw,toronto:216,raw,raw,32
manila_query_7XYY6U7xwBujZIolBAYisg,manila:127,raw,raw,1
toronto_query_25QZ9Xlz8_Jbsu9uQbnSOQ,toronto:60,raw,raw,225
manila_query_7ZgOKNoJQJKAgG7cR-zuwg,manila:145,raw,raw,5
