query_id,place_id,variant,seed,correct_rank
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila:102,raw,raw,68
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto:33,raw,raw,5
manila_query_-10rV9IlRhgTnk5e_QJbgA,manila:142,raw,raw,335
toronto_query_-3UT7A8bNUkVBgSLW30-ow,toronto:185,raw,raw,29
manila_query_-2h231ovohZWmrsaBllNyw,manila:177,raw,raw,2
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,toronto:88,raw,raw,1
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,manila:160,raw,raw,173
toronto_query_-4mlNvZUZnbmRaGbiIndoA,toronto:102,raw,raw,1
manila_query_-5pMypBbFEXHPOTYNJl_EA,manila:116,raw,raw,3
toronto_query_-5HBlqC41yTbYA1NM7dz1A,toronto:156,raw,raw,27
manila_query_-6NSbTuzpeyDbSXKeGAasg,manila:190,raw,raw,1
toronto_query_-5RKNbex7In9Ys4mH40wXA,toronto:3,raw,raw,784
manila_query_-6_2C-ExaVhx4ONvHOvffw,manila:67,raw,raw,279
toronto_query_-5ryd5v5eXUsmP9y4p6w_g,toronto:346,raw,raw,612
manila_query_-6_XaKv0Rrp2Jl0G9m_8NQ,manila:88,raw,raw,20
toronto_query_-5z50PgNYnxK8Ns2WmF_TQ,toronto:301,raw,raw,22
manila_query_-7YHsOWBiYFmYcRzIM0ijg,manila:92,raw,raw,1
toronto_query_-68JeZKxV2XoP0N_6780Og,toronto:55,raw,raw,1
manila_query_-81llwEm_ZxNy7Sa7Xrjlw,manila:53,raw,raw,13
toronto_query_-6ZIqrL48IaL1dCCO7bDVQ,toronto:351,raw,raw,1
manila_query_-85J_HceaTP2S0IavwkQ-A,manila:119,raw,raw,430
toronto_query_-7C0G-8afrBbN3hImbBHsA,toronto:346,raw,raw,95
manila_query_-9tG6ERjH4jVcWo9jkVvBg,manila:29,raw,raw,1
toronto_query_-7bDZLvVOVk7ethfd1yomg,toronto:251,raw,raw,15
manila_query_-AXkFLZ0HchDGYvJ_KZ3dQ,manila:13,raw,raw,27
toronto_query_-85n6JJLXmi04edt5JxhzQ,toronto:21,raw,raw,818
manila_query_-ColYSDtqqoE3TZ4eZHu8g,manila:189,raw,raw,283
toronto_query_-8BknWmZh2lEnEeect73Ww,toronto:273,raw,raw,1
manila_query_-ELxcda6ePiuO6nR3VP3-A,manila:20,raw,raw,6
toronto_query_-8NbZpIbjwqAXwoRMmYddg,toronto:196,raw,raw,35
manila_query_-EVOy4h35ZUyBK4r6uBM5g,manila:15,raw,raw,73
toronto_query_-8Q-Otkctyr1cXAnmn2BEw,toronto:23,raw,raw,2
manila_query_-EthLwRJMwt-Shb-xpIYlA,manila:119,raw,raw,429
toronto_query_-8imnyri_5yPaHzqoBtiSg,toronto:274,raw,raw,79
manila_query_-GD9SrklFbEy7mNAK9uIXg,manila:143,raw,raw,5
toronto_query_-8zrNMH6voa2ZtBaGNpoYQ,toronto:130,raw,raw,1
manila_query_-GRDcYlSjwLZPQ0LqKatqA,manila:171,raw,raw,169
toronto_query_-90qYles5GKU3ikhCYP3xg,toronto:265,raw,raw,1
manila_query_-GYvqZ8BYSfzGUbFI13obA,manila:109,raw,raw,31
toronto_query_-95Ypw11XUgNqZdY5m4GCw,toronto:85,raw,raw,123
manila_query_-HF88JWAO1GDy0F6B4ZeZg,manila:202,raw,raw,15
toronto_query_-9p2_cESNINnXfab4o-dKQ,toronto:121,raw,raw,95
manila_query_-KU1q5fdqSI_GghxKumbeg,manila:67,raw,raw,147
toronto_query_-Af6Q3npKjccLu7TwYvlsQ,toronto:197,raw,raw,1
manila_query_-KoSUCrB2w1FscwO9vyRlw,manila:31,raw,raw,132
toronto_query_-AlgHQUWzDPe9bpb8ZAzSA,toronto:171,raw,raw,48
manila_query_-LBCdeO8C8kj5IjX1m3XTA,manila:173,raw,raw,119
toronto_query_-B-3B3MjxX0UdrDIo-8kmA,toronto:101,raw,raw,7
manila_query_-MH02w7P6jmmqnoUdL-55Q,manila:72,raw,raw,16
toronto_query_-B136fRwqMBMXoc03yy-PQ,toronto:102,raw,raw,2
manila_query_-MKMMHEd33H1_45AJ8B5AA,manila:20,raw,raw,5
toronto_query_-BTAllhGXYkM_JsKwxUFMg,toronto:34,raw,raw,216
manila_query_-N4wDG2Fhm38ZVy0hGp8_A,manila:106,raw,raw,68
toronto_query_-Cdr8zjFdZw7nzz8_rwM4w,toronto:389,raw,raw,135
manila_query_-P2actpgy_mRkcbLVKBjkQ,manila:94,raw,raw,13
toronto_query_-DB8UBv2Rg4kTi6HTqrhOw,toronto:228,raw,raw,33
manila_query_-PR9Q6-AlT31oRE_Ep_fnQ,manila:135,raw,raw,178
toronto_query_-Dr7KE__egl6kS-yslctCg,toronto:196,raw,raw,75
manila_query_-Qc1bZWefrpkNPZ60zZS5Q,manila:23,raw,raw,5
toronto_query_-EilBTWhr8vjdDW-B7MU8A,toronto:27,raw,raw,168
manila_query_-QdSFqylfs0aHx31jOvTVg,manila:183,raw,raw,5
toronto_query_-FOgEN8RNyKr0s933N-a0w,toronto:112,raw,raw,17
manila_query_-QvNwUfMuYwx4zaJzG9hHA,manila:134,raw,raw,3
toronto_query_-FRsj6TVpdbM-sdJNwZZbw,toronto:58,raw,raw,3
manila_query_-RZzhLSoiUGq-PShtIhzxw,manila:54,raw,raw,47
toronto_query_-FohtR51AFcyGSLgiTdXzw,toronto:207,raw,raw,1
manila_query_-SSrBkppXcUPQnmvRyEZaA,manila:102,raw,raw,432
toronto_query_-HBbI6fcMz-R3CyduFEoDg,toronto:426,raw,raw,65
manila_query_-Tmeby1UCsrkKNvVnN7L5g,manila:87,raw,raw,226
toronto_query_-IlXU6r8OSJejg6wnFTYMQ,toronto:236,raw,raw,255
manila_query_-TrGJy3CeaXApOffGndlqg,manila:41,raw,raw,74
toronto_query_-Iyv6ydukEfueu-CphPhwg,toronto:218,raw,raw,8
manila_query_-Tvw2ZcjPmZrmxcJ3PNHwQ,manila:33,raw,raw,7
toronto_query_-J6MOLqIZtzsA-CH6ie5Cg,toronto:101,raw,raw,26
manila_query_-WlvwRIHM8K9xtN_z0FAGg,manila:153,raw,raw,4
toronto_query_-JY9Ip12RNDaK_geCga4LA,toronto:192,raw,raw,97
manila_query_-WuLHZxOTWuUgVSb36RTng,manila:132,raw,raw,123
toronto_query_-K6Ci0V3ZYp50_DrMghntA,toronto:103,raw,raw,1
manila_query_-YADzGuflGFk0TrwgbgGQA,manila:82,raw,raw,1
toronto_query_-KU5g574x3Cah05LVtG_Pw,toronto:418,raw,raw,520
manila_query_-YswrllPgEq1Q_LYD0mD0A,manila:181,raw,raw,173
toronto_query_-L3Zos1U2E6AA3-ZO_eESA,toronto:253,raw,raw,29
manila_query_-Z3CXTi1QhF_Ste8t8vrJA,manila:16,raw,raw,435
toronto_query_-LZN7DIyP80uvFh2O8KVXw,toronto:366,raw,raw,1
manila_query_-ZbYcdqL0C0ximLGFEriNA,manila:51,raw,raw,136
toronto_query_-M3eMqHp0OhecS-hoh58aQ,toronto:354,raw,raw,74
manila_query_-ZyenisXeFL1kaebCpUNAQ,manila:59,raw,raw,112
toronto_query_-MFll3mcOLNHfSZyGy5VIw,toronto:102,raw,raw,16
manila_query_-aK1h18UZREBqmVQH9KSvw,manila:163,raw,raw,71
toronto_query_-MnI6OlC-vX0Wm56nVPN1A,toronto:200,raw,raw,4
manila_query_-cNGgBgyFrf92tQ2SjMnVw,manila:46,raw,raw,121
toronto_query_-MvRj243NBTPnognhgb4Cg,toronto:421,raw,raw,53
manila_query_-cmAo9dkimIih2B7T4UHfg,manila:140,raw,raw,83
toronto_query_-N8Ief4Q3CWSOSauaoVHkw,toronto:244,raw,raw,5
manila_query_-dvVr_QHKim5_WyUsv_Z4A,manila:142,raw,raw,114
toronto_query_-OZxhiQ5zPqGdSRrqUMKfQ,toronto:151,raw,raw,1
manila_query_-fizm8lmdD_ORe0_j5qnJQ,manila:6,raw,raw,4
toronto_query_-Pkw8dqFfD76K-CZ7pnCVQ,toronto:258,raw,raw,46
manila_query_-hNuMbgiWK_ZPELfuWj5FQ,manila:89,raw,raw,4
toronto_query_-PuMS2UqNh7dbLLfWE37yg,toronto:273,raw,raw,2
manila_query_-j6mppkd4Jgu3tb_sYI6VQ,manila:112,raw,raw,40
toronto_query_-QUiAjaoWBhG_dfuJoGE1U,toronto:33,raw,raw,4
manila_query_-kzKiwvLUKkZ412OUf7plA,manila:49,raw,raw,40
toronto_query_-RRZczbbpmzvlgM3CP3gJg,toronto:273,raw,raw,1
manila_query_-m0wkgOij-fNF2mPhFRz1Q,manila:22,raw,raw,1
