query_id,place_id,variant,seed,correct_rank
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila:102,raw,raw,408
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto:33,raw,raw,7
manila_query_-10rV9IlRhgTnk5e_QJbgA,manila:142,raw,raw,147
toronto_query_-3UT7A8bNUkVBgSLW30-ow,toronto:185,raw,raw,56
manila_query_-2h231ovohZWmrsaBllNyw,manila:177,raw,raw,1
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,toronto:88,raw,raw,16
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,manila:160,raw,raw,190
toronto_query_-4mlNvZUZnbmRaGbiIndoA,toronto:102,raw,raw,16
manila_query_-5pMypBbFEXHPOTYNJl_EA,manila:116,raw,raw,3
toronto_query_-5HBlqC41yTbYA1NM7dz1A,toronto:156,raw,raw,274
manila_query_-6NSbTuzpeyDbSXKeGAasg,manila:190,raw,raw,34
toronto_query_-5RKNbex7In9Ys4mH40wXA,toronto:3,raw,raw,779
manila_query_-6_2C-ExaVhx4ONvHOvffw,manila:67,raw,raw,138
toronto_query_-5ryd5v5eXUsmP9y4p6w_g,toronto:346,raw,raw,338
manila_query_-6_XaKv0Rrp2Jl0G9m_8NQ,manila:88,raw,raw,1
toronto_query_-5z50PgNYnxK8Ns2WmF_TQ,toronto:301,raw,raw,33
manila_query_-7YHsOWBiYFmYcRzIM0ijg,manila:92,raw,raw,12
toronto_query_-68JeZKxV2XoP0N_6780Og,toronto:55,raw,raw,1
manila_query_-81llwEm_ZxNy7Sa7Xrjlw,manila:53,raw,raw,112
toronto_query_-6ZIqrL48IaL1dCCO7bDVQ,toronto:351,raw,raw,1
manila_query_-85J_HceaTP2S0IavwkQ-A,manila:119,raw,raw,561
toronto_query_-7C0G-8afrBbN3hImbBHsA,toronto:346,raw,raw,223
manila_query_-9tG6ERjH4jVcWo9jkVvBg,manila:29,raw,raw,1
toronto_query_-7bDZLvVOVk7ethfd1yomg,toronto:251,raw,raw,1
manila_query_-AXkFLZ0HchDGYvJ_KZ3dQ,manila:13,raw,raw,72
toronto_query_-85n6JJLXmi04edt5JxhzQ,toronto:21,raw,raw,59
manila_query_-ColYSDtqqoE3TZ4eZHu8g,manila:189,raw,raw,17
toronto_query_-8BknWmZh2lEnEeect73Ww,toronto:273,raw,raw,1
manila_query_-ELxcda6ePiuO6nR3VP3-A,manila:20,raw,raw,3
