query_id,place_id,variant,seed,correct_rank
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph:162,raw,raw,1
london_query_-5QOE2AlZX8rEz8ONtGRrg,london:131,raw,raw,1
manila_query_-7YHsOWBiYFmYcRzIM0ijg,manila:92,raw,raw,78
toronto_query_-68JeZKxV2XoP0N_6780Og,toronto:55,raw,raw,3
zurich_query_-Bz7by7mnVU_HZbXc8FmpQ,zurich:111,raw,raw,134
cph_query_-0_HsZnndjHv76QpTyNFCA,cph:242,raw,raw,1
london_query_03VxrSUHoB-y1D50kXwi8g,london:131,raw,raw,1
manila_query_-MH02w7P6jmmqnoUdL-55Q,manila:72,raw,raw,1
toronto_query_-85n6JJLXmi04edt5JxhzQ,toronto:21,raw,raw,1
zurich_query_-F7hOUVha_xHAoDddsUYdw,zurich:99,raw,raw,2
cph_query_-9ZOGirqZl2EVYWN1WLERg,cph:162,raw,raw,1
london_query_1Eg5rI9xa5LZvdovTIAuuw,london:131,raw,raw,1
manila_query_-QdSFqylfs0aHx31jOvTVg,manila:183,raw,raw,4
toronto_query_-9p2_cESNINnXfab4o-dKQ,toronto:121,raw,raw,4
zurich_query_-Kb55YIF941j2DBFO5gVjA,zurich:111,raw,raw,28
cph_query_-AowxxrsOr_xM02-ZyrQ5A,cph:96,raw,raw,1
london_query_1J6HNmkEx_IU6H8Pbfiz5A,london:14,raw,raw,3
manila_query_-WlvwRIHM8K9xtN_z0FAGg,manila:153,raw,raw,5
toronto_query_-BTAllhGXYkM_JsKwxUFMg,toronto:34,raw,raw,1
zurich_query_-nhCCSRwlsxqJsUbzqZvCQ,zurich:83,raw,raw,187
cph_query_-I7HyKa_KIzMp2uMsvqUAg,cph:54,raw,raw,4
london_query_23mB_oNP-u5WezV_PrIvdA,london:127,raw,raw,1
manila_query_-WuLHZxOTWuUgVSb36RTng,manila:132,raw,raw,1
toronto_query_-FOgEN8RNyKr0s933N-a0w,toronto:112,raw,raw,4
zurich_query_-tYWpAACOq7RfVvZJ-BAcQ,zurich:30,raw,raw,83
cph_query_-JMzfm4NuuBt61JuZ2sggw,cph:395,raw,raw,1
london_query_2CvuxTR9UjmgVi_pn3eRCw,london:13,raw,raw,6
manila_query_-nSvA9_5RjUmwduTYdzXMg,manila:127,raw,raw,1
toronto_query_-IlXU6r8OSJejg6wnFTYMQ,toronto:236,raw,raw,4
zurich_query_-uQ-4tnYcOJ9WPXRG-ou3w,zurich:98,raw,raw,2
cph_query_-Mwdj8AXbTR5wrPmQKRbhQ,cph:33,raw,raw,1
london_query_2p9TzTMcyIWfAcOobHF8DA,london:19,raw,raw,2
manila_query_06IJkHDXUzYhmkDBfur_VA,manila:145,raw,raw,2
toronto_query_-L3Zos1U2E6AA3-ZO_eESA,toronto:253,raw,raw,2
zurich_query_0AlvsX9XlPHoz4joTTL7hQ,zurich:8,raw,raw,1
cph_query_-N9mbKdWcHyUUsU1379EgA,cph:176,raw,raw,1
