query_id,place_id,variant,seed,correct_rank
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph:162,raw,raw,20
london_query_-5QOE2AlZX8rEz8ONtGRrg,london:131,raw,raw,1
manila_query_-7YHsOWBiYFmYcRzIM0ijg,manila:92,raw,raw,1
toronto_query_-68JeZKxV2XoP0N_6780Og,toronto:55,raw,raw,76
zurich_query_-Bz7by7mnVU_HZbXc8FmpQ,zurich:111,raw,raw,1
cph_query_-0_HsZnndjHv76QpTyNFCA,cph:242,raw,raw,14
london_query_03VxrSUHoB-y1D50kXwi8g,london:131,raw,raw,1
manila_query_-MH02w7P6jmmqnoUdL-55Q,manila:72,raw,raw,11
toronto_query_-85n6JJLXmi04edt5JxhzQ,toronto:21,raw,raw,115
zurich_query_-F7hOUVha_xHAoDddsUYdw,zurich:99,raw,raw,1128
cph_query_-9ZOGirqZl2EVYWN1WLERg,cph:162,raw,raw,8
london_query_1Eg5rI9xa5LZvdovTIAuuw,london:131,raw,raw,1
manila_query_-QdSFqylfs0aHx31jOvTVg,manila:183,raw,raw,18
toronto_query_-9p2_cESNINnXfab4o-dKQ,toronto:121,raw,raw,7
zurich_query_-Kb55YIF941j2DBFO5gVjA,zurich:111,raw,raw,4
cph_query_-AowxxrsOr_xM02-ZyrQ5A,cph:96,raw,raw,1
london_query_1J6HNmkEx_IU6H8Pbfiz5A,london:14,raw,raw,38
manila_query_-WlvwRIHM8K9xtN_z0FAGg,manila:153,raw,raw,2
toronto_query_-BTAllhGXYkM_JsKwxUFMg,toronto:34,raw,raw,203
zurich_query_-nhCCSRwlsxqJsUbzqZvCQ,zurich:83,raw,raw,634
cph_query_-I7HyKa_KIzMp2uMsvqUAg,cph:54,raw,raw,78
london_query_23mB_oNP-u5WezV_PrIvdA,london:127,raw,raw,1
manila_query_-WuLHZxOTWuUgVSb36RTng,manila:132,raw,raw,19
toronto_query_-FOgEN8RNyKr0s933N-a0w,toronto:112,raw,raw,5
zurich_query_-tYWpAACOq7RfVvZJ-BAcQ,zurich:30,raw,raw,16
cph_query_-JMzfm4NuuBt61JuZ2sggw,cph:395,raw,raw,36
london_query_2CvuxTR9UjmgVi_pn3eRCw,london:13,raw,raw,1
manila_query_-nSvA9_5RjUmwduTYdzXMg,manila:127,raw,raw,2
toronto_query_-IlXU6r8OSJejg6wnFTYMQ,toronto:236,raw,raw,103
zurich_query_-uQ-4tnYcOJ9WPXRG-ou3w,zurich:98,raw,raw,157
cph_query_-Mwdj8AXbTR5wrPmQKRbhQ,cph:33,raw,raw,1
london_query_2p9TzTMcyIWfAcOobHF8DA,london:19,raw,raw,23
manila_query_06IJkHDXUzYhmkDBfur_VA,manila:145,raw,raw,1
toronto_query_-L3Zos1U2E6AA3-ZO_eESA,toronto:253,raw,raw,15
zurich_query_0AlvsX9XlPHoz4joTTL7hQ,zurich:8,raw,raw,2
cph_query_-N9mbKdWcHyUUsU1379EgA,cph:176,raw,raw,3
london_query_37HDcR6_eeIT-XYkUZd50Q,london:103,raw,raw,104
manila_query_0dpZ2L4GasFQDfEcmuYGDA,manila:162,raw,raw,405
toronto_query_-MnI6OlC-vX0Wm56nVPN1A,toronto:200,raw,raw,12
zurich_query_0I7IdNKcKWGXL-wmkUdx2A,zurich:65,raw,raw,181
cph_query_-Q4-mvnV6y-0yK62OXn-1w,cph:297,raw,raw,31
london_query_3NzV73KPXxB_hEUtR5sfXg,london:35,raw,raw,3
manila_query_0eqyQynxjjPcOfw81OijwQ,manila:192,raw,raw,152
toronto_query_-Pkw8dqFfD76K-CZ7pnCVQ,toronto:258,raw,raw,264
zurich_query_0PrObi7NiUNPMe7_RDu2Ng,zurich:46,raw,raw,73
cph_query_-V4aUy1yd0AbFfY-xX0BAg,cph:500,raw,raw,1
london_query_44BgmUEKfxzeDtStu2a3xQ,london:19,raw,raw,3
manila_query_0oAiRznp_KrAyN9jPCrC9g,manila:93,raw,raw,308
toronto_query_-UXYzC-9gpKGMoxwuW9nsg,toronto:216,raw,raw,1
zurich_query_0g61-9tYhD3Y5qh7eiB92g,zurich:22,raw,raw,46
cph_query_-XYLPst0OjYGoPVJKGP1aA,cph:33,raw,raw,2
london_query_4MerFqSHOR14TlQ5Y57S5w,london:14,raw,raw,38
manila_query_10s2Moi6EV6yIQzm7jKX7A,manila:132,raw,raw,1
toronto_query_-WjDc7MF3gJT_e45uGc1aQ,toronto:167,raw,raw,1
zurich_query_0gHh8OHgmM804LVr0Ocrag,zurich:35,raw,raw,15
cph_query_-frTQqAHIP40ewjdIxDJBw,cph:167,raw,raw,1
london_query_4YExQX7ry-_Tep3W_XWV6Q,london:35,raw,raw,164
manila_query_13QdtRht4ibPetyM8XqYJw,manila:162,raw,raw,42
toronto_query_-XdI3_ejRq15FbbZVmd1CQ,toronto:263,raw,raw,4
zurich_query_0lHgqSrbw8SSQej38K9wpQ,zurich:48,raw,raw,1
cph_query_-i70s-8HOLTOxPlJ5gKrGQ,cph:353,raw,raw,21
london_query_50FCDAuB6UVDfMNcW3X2Gw,london:131,raw,raw,2
manila_query_13gKFfLk0eCQAwNRGAOObg,manila:56,raw,raw,8
toronto_query_-ads5LSBBGszV08Y3gPMnw,toronto:231,raw,raw,22
zurich_query_1-TXtjFv1nAkC2AZXfhuDg,zurich:23,raw,raw,224
cph_query_-imQTwA1XraXuSl_jtrlrA,cph:483,raw,raw,8
london_query_54gsc51DE_L9fWXsWZGolA,london:19,raw,raw,10
manila_query_1ERhKsZ9wPs71ND3TGoChg,manila:56,raw,raw,4
toronto_query_-lz2NQxNprYC3_4Qvqi5cA,toronto:55,raw,raw,11
zurich_query_1CD06hkUp0XDd7N6Y1RghA,zurich:30,raw,raw,74
cph_query_-mLsMgdih89CRTQ9RDAj1Q,cph:87,raw,raw,12
london_query_5hZQj7l0dB9_CpEkq5SPWg,london:13,raw,raw,4
manila_query_1OiQ0anq3qZvEvvpUeB6cw,manila:80,raw,raw,846
toronto_query_-mMRHhHdEV1MbWi9yGAseA,toronto:76,raw,raw,22
zurich_query_1Gbv-ITAWABuKvB-vybtbA,zurich:73,raw,raw,2
cph_query_-oBh-fYjAYo24x6M8D0lWw,cph:162,raw,raw,43
london_query_66t_osG2MX0gRm23ywSa3Q,london:127,raw,raw,2
manila_query_1hUnYvM39mAkxrYho9E35g,manila:93,raw,raw,885
toronto_query_-mR9AEIgaHB3vks8XO-Zjg,toronto:54,raw,raw,3
zurich_query_1P8PVI8p0te-kxNgF6zucg,zurich:98,raw,raw,171
cph_query_-oTXImGH023IuCDVn46WYA,cph:373,raw,raw,1
london_query_6If49S0CVwiAYm--4t2Zrg,london:128,raw,raw,5
manila_query_1pq6_qNiey2gSmDEYc7DSg,manila:192,raw,raw,264
toronto_query_-nuzTSNebPnhxxl0sPIRvA,toronto:144,raw,raw,69
zurich_query_1XTUGbMOOuFptKzrKIz5_A,zurich:65,raw,raw,3
cph_query_-tISfMWaE5FGPTeeXqplrQ,cph:480,raw,raw,4
london_query_6XCo8gIZmpANnjRj22jzjw,london:25,raw,raw,23
manila_query_1q9Oe-sDn8uDKA1nEF6YAg,manila:132,raw,raw,21
toronto_query_-pTkwcrARihStrVGIDO4Ig,toronto:44,raw,raw,13
zurich_query_1_p29h0NxnHX-e_GtZaRfw,zurich:48,raw,raw,25
cph_query_00OXg_wJ_XrDnMFx-lm1ZQ,cph:340,raw,raw,420
london_query_6ZSqefbehcVgKTm1lL7WEA,london:128,raw,raw,20
manila_query_22hFjm0PdkB5l2sdvhjcyQ,manila:71,raw,raw,35
toronto_query_-vu79_9tsdTeLBpu6F3dAw,toronto:36,raw,raw,237
zurich_query_1e0t46J1yAA5mi40DQanSw,zurich:65,raw,raw,480
cph_query_00pvqUDofpD6_7l3Hu3yUw,cph:160,raw,raw,3
london_query_6zz0lh6MRgDjitZEptF_yw,london:25,raw,raw,1
manila_query_2CUcxtuEIwrxTO5FE5wuDg,manila:193,raw,raw,6
toronto_query_-wxvvP_n3CxUDWcjT8RtDA,toronto:298,raw,raw,1
zurich_query_1gwfkFw04RWiCAVQGW4P0w,zurich:83,raw,raw,458
cph_query_01ewLXfu0_WYoeJOii7Y7w,cph:483,raw,raw,1
london_query_72cHyebAezwux4sLgsHLjA,london:128,raw,raw,3
manila_query_2K5cPtZ8h6c35gN8GvrJTw,manila:193,raw,raw,18
toronto_query_03B-eCWTw19HfVCEFIsfKg,toronto:157,raw,raw,12
zurich_query_1t7sis2OsVUtMV9DNwrTqg,zurich:0,raw,raw,32
cph_query_05vfiCASuj5BWHOAcKoobw,cph:31,raw,raw,164
london_query_7cE3MmgDGqc73eJx8kp25A,london:131,raw,raw,1
manila_query_2XAX1PBZFYgCGD7Zw3Ho-A,manila:127,raw,raw,3
toronto_query_07nFfRQUlEllx0wAxtNenQ,toronto:167,raw,raw,2
zurich_query_250Ue0K1becaoUmSelpLBw,zurich:111,raw,raw,4
cph_query_07-C0vYjXzi70Kzxsb5p6Q,cph:232,raw,raw,226
london_query_7hiO3i7vA5sLmmaoOGOD7g,london:128,raw,raw,2
manila_query_2XDVY87t6SgLM6ZyibTBuA,manila:193,raw,raw,5
toronto_query_0FUYggFkBbqobWeigVk2bw,toronto:231,raw,raw,91
zurich_query_2GRIzN98hYlW6aVBIN-2yg,zurich:20,raw,raw,50
cph_query_09ZHqbVpGM4oojsEEuQF0A,cph:62,raw,raw,2
london_query_7jdmaCoeBiRtHmOvnD1eHQ,london:35,raw,raw,167
manila_query_2XT5F9TUslMiFjIHpIw-Nw,manila:80,raw,raw,376
toronto_query_0KAuZC0Yyj6lDXj1ZrKQtg,toronto:177,raw,raw,1
zurich_query_2JDcYTHaE9jNeRAZ_kqcJw,zurich:10,raw,raw,414
cph_query_0AwyGQrdCBCF5jL3Z-XN5g,cph:96,raw,raw,1
london_query_7yuqU-Cjf_ITlbM5kvEU_g,london:35,raw,raw,6
manila_query_2u-vvwKlm3LH06deFzWwKw,manila:37,raw,raw,458
toronto_query_0QIYMxMH31Fkt20jz7N7Mg,toronto:272,raw,raw,1
zurich_query_2Ri3E2zAifPDIlNg4mPZ6g,zurich:55,raw,raw,40
cph_query_0Bg71YQfRQJhiUPZc3eGDQ,cph:66,raw,raw,8
london_query_90iuBlJkVoqBZ95UESMeEA,london:14,raw,raw,95
manila_query_3GEozK-tTFmDUl2tbICceQ,manila:65,raw,raw,2
toronto_query_0X8i_bfC8ep7djTiTiMXzQ,toronto:53,raw,raw,31
zurich_query_2iXgOqFJhlC9sIlkiuHX_Q,zurich:9,raw,raw,1
cph_query_0CxN8XQv8rMN7xWJ3jYQ2Q,cph:144,raw,raw,948
london_query_91GUXxKSFC7iJ3U091JeoQ,london:103,raw,raw,99
manila_query_3PGDQrchaDQEVgrtEaeHLA,manila:183,raw,raw,1
toronto_query_0cucd76HIwbREjRK1xSzbA,toronto:222,raw,raw,1
zurich_query_2s9OxwUSeb0aihfJaqu_DQ,zurich:0,raw,raw,16
cph_query_0D3R4Is2HXn3UZl6qOnPfg,cph:338,raw,raw,23
london_query_9D_EP5YY7yaHM1Vo01CkUw,london:35,raw,raw,10
manila_query_3WG9GQZ6BM7XZL1eWJzqyA,manila:132,raw,raw,1
toronto_query_0dYamIMi_1MF82yzVuXioQ,toronto:211,raw,raw,10
zurich_query_39S6XXw_om7IYdMDzB_5-w,zurich:98,raw,raw,114
cph_query_0FzlD54EM8Xj1S714QR0og,cph:152,raw,raw,9
london_query_A15MlErzYyzKRcgFe0oPwA,london:127,raw,raw,1
manila_query_3X_JO8j9rtuPK5nnnMeLaw,manila:93,raw,raw,115
toronto_query_0iY3HZFTjQ1VZEwYSXNJ3g,toronto:182,raw,raw,142
zurich_query_3Mku5mBkhVkgbuE2Cu0iXw,zurich:9,raw,raw,1
cph_query_0ML-hbkp6lBJU-DKvsZOZQ,cph:456,raw,raw,22
london_query_ACseZY3rYSx76tmkpZ8EHA,london:127,raw,raw,1
manila_query_3osUoFaYY2fIJhCmqdRvXw,manila:92,raw,raw,1
toronto_query_0qoToEMkQn0aCLXgd1LXYg,toronto:75,raw,raw,693
zurich_query_3SYdw7Mwd9Y1cbU8aVeivQ,zurich:73,raw,raw,1
cph_query_0UMOu8XQzchjJKaYJWoI3A,cph:133,raw,raw,1
london_query_AJmBETESu4IoHmUGPSJHkw,london:14,raw,raw,101
manila_query_42bjbZAH5okZpFMxwGOqHQ,manila:131,raw,raw,690
toronto_query_0y4E7K9pLDy4QiR1lWSlTw,toronto:157,raw,raw,2
zurich_query_3hwN0IgqflMQUbZlN73-UA,zurich:30,raw,raw,77
cph_query_0VyRmBzra7QrRh-7OrmPBw,cph:162,raw,raw,44
london_query_AYtvDp4qcbO-oAluU92DGg,london:0,raw,raw,609
manila_query_4JbQf5TjbwegBpruRiRmaQ,manila:153,raw,raw,3
toronto_query_0z0sDl_xBBXD102fngbynQ,toronto:240,raw,raw,1
zurich_query_3iH9JpSKC5j5MDodSjQPGA,zurich:55,raw,raw,16
cph_query_0XFAEaFb6nxJE3QfcpCa_g,cph:405,raw,raw,13
london_query_AnmvEqJKrQwOlKC4cmnOkg,london:13,raw,raw,1
manila_query_4ZDur8DB75EtG8rTM_YSCA,manila:65,raw,raw,11
toronto_query_1-p7SIcMA5mw844YAIHtlA,toronto:98,raw,raw,1
