query_id,place_id,variant,seed,correct_rank
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph:162,raw,raw,84
london_query_-5QOE2AlZX8rEz8ONtGRrg,london:131,raw,raw,1
manila_query_-7YHsOWBiYFmYcRzIM0ijg,manila:92,raw,raw,1
toronto_query_-68JeZKxV2XoP0N_6780Og,toronto:55,raw,raw,340
zurich_query_-Bz7by7mnVU_HZbXc8FmpQ,zurich:111,raw,raw,10
cph_query_-0_HsZnndjHv76QpTyNFCA,cph:242,raw,raw,83
london_query_03VxrSUHoB-y1D50kXwi8g,london:131,raw,raw,1
manila_query_-MH02w7P6jmmqnoUdL-55Q,manila:72,raw,raw,11
toronto_query_-85n6JJLXmi04edt5JxhzQ,toronto:21,raw,raw,161
zurich_query_-F7hOUVha_xHAoDddsUYdw,zurich:99,raw,raw,484
cph_query_-9ZOGirqZl2EVYWN1WLERg,cph:162,raw,raw,328
london_query_1Eg5rI9xa5LZvdovTIAuuw,london:131,raw,raw,1
manila_query_-QdSFqylfs0aHx31jOvTVg,manila:183,raw,raw,285
toronto_query_-9p2_cESNINnXfab4o-dKQ,toronto:121,raw,raw,483
zurich_query_-Kb55YIF941j2DBFO5gVjA,zurich:111,raw,raw,19
cph_query_-AowxxrsOr_xM02-ZyrQ5A,cph:96,raw,raw,1
london_query_1J6HNmkEx_IU6H8Pbfiz5A,london:14,raw,raw,8
manila_query_-WlvwRIHM8K9xtN_z0FAGg,manila:153,raw,raw,35
toronto_query_-BTAllhGXYkM_JsKwxUFMg,toronto:34,raw,raw,94
zurich_query_-nhCCSRwlsxqJsUbzqZvCQ,zurich:83,raw,raw,516
cph_query_-I7HyKa_KIzMp2uMsvqUAg,cph:54,raw,raw,15
london_query_23mB_oNP-u5WezV_PrIvdA,london:127,raw,raw,75
manila_query_-WuLHZxOTWuUgVSb36RTng,manila:132,raw,raw,7
toronto_query_-FOgEN8RNyKr0s933N-a0w,toronto:112,raw,raw,506
zurich_query_-tYWpAACOq7RfVvZJ-BAcQ,zurich:30,raw,raw,2
cph_query_-JMzfm4NuuBt61JuZ2sggw,cph:395,raw,raw,58
london_query_2CvuxTR9UjmgVi_pn3eRCw,london:13,raw,raw,2
manila_query_-nSvA9_5RjUmwduTYdzXMg,manila:127,raw,raw,6
toronto_query_-IlXU6r8OSJejg6wnFTYMQ,toronto:236,raw,raw,99
zurich_query_-uQ-4tnYcOJ9WPXRG-ou3w,zurich:98,raw,raw,447
cph_query_-Mwdj8AXbTR5wrPmQKRbhQ,cph:33,raw,raw,1
london_query_2p9TzTMcyIWfAcOobHF8DA,london:19,raw,raw,11
manila_query_06IJkHDXUzYhmkDBfur_VA,manila:145,raw,raw,1
toronto_query_-L3Zos1U2E6AA3-ZO_eESA,toronto:253,raw,raw,25
zurich_query_0AlvsX9XlPHoz4joTTL7hQ,zurich:8,raw,raw,5
cph_query_-N9mbKdWcHyUUsU1379EgA,cph:176,raw,raw,2
london_query_37HDcR6_eeIT-XYkUZd50Q,london:103,raw,raw,6
manila_query_0dpZ2L4GasFQDfEcmuYGDA,manila:162,raw,raw,777
toronto_query_-MnI6OlC-vX0Wm56nVPN1A,toronto:200,raw,raw,19
zurich_query_0I7IdNKcKWGXL-wmkUdx2A,zurich:65,raw,raw,162
cph_query_-Q4-mvnV6y-0yK62OXn-1w,cph:297,raw,raw,44
london_query_3NzV73KPXxB_hEUtR5sfXg,london:35,raw,raw,6
manila_query_0eqyQynxjjPcOfw81OijwQ,manila:192,raw,raw,648
toronto_query_-Pkw8dqFfD76K-CZ7pnCVQ,toronto:258,raw,raw,27
zurich_query_0PrObi7NiUNPMe7_RDu2Ng,zurich:46,raw,raw,539
cph_query_-V4aUy1yd0AbFfY-xX0BAg,cph:500,raw,raw,3
london_query_44BgmUEKfxzeDtStu2a3xQ,london:19,raw,raw,8
manila_query_0oAiRznp_KrAyN9jPCrC9g,manila:93,raw,raw,1842
toronto_query_-UXYzC-9gpKGMoxwuW9nsg,toronto:216,raw,raw,8
zurich_query_0g61-9tYhD3Y5qh7eiB92g,zurich:22,raw,raw,24
cph_query_-XYLPst0OjYGoPVJKGP1aA,cph:33,raw,raw,3
london_query_4MerFqSHOR14TlQ5Y57S5w,london:14,raw,raw,32
manila_query_10s2Moi6EV6yIQzm7jKX7A,manila:132,raw,raw,52
toronto_query_-WjDc7MF3gJT_e45uGc1aQ,toronto:167,raw,raw,2
zurich_query_0gHh8OHgmM804LVr0Ocrag,zurich:35,raw,raw,19
cph_query_-frTQqAHIP40ewjdIxDJBw,cph:167,raw,raw,7
london_query_4YExQX7ry-_Tep3W_XWV6Q,london:35,raw,raw,443
manila_query_13QdtRht4ibPetyM8XqYJw,manila:162,raw,raw,423
toronto_query_-XdI3_ejRq15FbbZVmd1CQ,toronto:263,raw,raw,1
zurich_query_0lHgqSrbw8SSQej38K9wpQ,zurich:48,raw,raw,1
cph_query_-i70s-8HOLTOxPlJ5gKrGQ,cph:353,raw,raw,9
london_query_50FCDAuB6UVDfMNcW3X2Gw,london:131,raw,raw,1
manila_query_13gKFfLk0eCQAwNRGAOObg,manila:56,raw,raw,119
toronto_query_-ads5LSBBGszV08Y3gPMnw,toronto:231,raw,raw,184
zurich_query_1-TXtjFv1nAkC2AZXfhuDg,zurich:23,raw,raw,501
cph_query_-imQTwA1XraXuSl_jtrlrA,cph:483,raw,raw,99
london_query_54gsc51DE_L9fWXsWZGolA,london:19,raw,raw,1
manila_query_1ERhKsZ9wPs71ND3TGoChg,manila:56,raw,raw,35
toronto_query_-lz2NQxNprYC3_4Qvqi5cA,toronto:55,raw,raw,36
zurich_query_1CD06hkUp0XDd7N6Y1RghA,zurich:30,raw,raw,2
cph_query_-mLsMgdih89CRTQ9RDAj1Q,cph:87,raw,raw,18
london_query_5hZQj7l0dB9_CpEkq5SPWg,london:13,raw,raw,64
manila_query_1OiQ0anq3qZvEvvpUeB6cw,manila:80,raw,raw,346
toronto_query_-mMRHhHdEV1MbWi9yGAseA,toronto:76,raw,raw,12
