query_id,place_id,variant,seed,correct_rank
amman_query_-39Q9edqZUArYHa41OPDoQ,amman:31,raw,raw,1
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston:87,raw,raw,1
cph_query_--FyHVca3HP-QgUmcAvToA,cph:208,raw,raw,1
london_query_-0u7VsCOCAmwH4RFsN5BoA,london:51,raw,raw,73
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila:102,raw,raw,5
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi:2,raw,raw,1178
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto:33,raw,raw,2
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich:64,raw,raw,18
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman:21,raw,raw,1
boston_query_--VtRctVkqAafFr5b_6GXg,boston:262,raw,raw,6
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph:162,raw,raw,1
london_query_-4Vq2O1PhPmG6WK-yV402Q,london:2,raw,raw,2
manila_query_-10rV9IlRhgTnk5e_QJbgA,manila:142,raw,raw,20
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,nairobi:18,raw,raw,1
toronto_query_-3UT7A8bNUkVBgSLW30-ow,toronto:185,raw,raw,1
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,zurich:13,raw,raw,6
amman_query_-BJoV1t0rKwEzk0bsZplVQ,amman:37,raw,raw,1545
boston_query_-0n5FDAuOditKvxIekIbBg,boston:239,raw,raw,1
cph_query_--xKnCCc_4tDGo80iM-A_g,cph:345,raw,raw,1
london_query_-4pmBOZmF-ynXSkWw5BAew,london:5,raw,raw,75
manila_query_-2h231ovohZWmrsaBllNyw,manila:177,raw,raw,7
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,nairobi:10,raw,raw,1
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,toronto:88,raw,raw,1
zurich_query_-4StYjY5sT1S23ls5heCbg,zurich:104,raw,raw,223
amman_query_-D0IlKF__f0c9DPAKbiYnw,amman:23,raw,raw,114
boston_query_-3hM-MR6uuw3se14vw3G0w,boston:84,raw,raw,73
cph_query_-05vIhjxDNupFcgaM90L3w,cph:71,raw,raw,9
london_query_-5QOE2AlZX8rEz8ONtGRrg,london:131,raw,raw,1
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,manila:160,raw,raw,120
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,nairobi:9,raw,raw,1
toronto_query_-4mlNvZUZnbmRaGbiIndoA,toronto:102,raw,raw,15
zurich_query_-71-BK_yAOJ1soK0OQWIcg,zurich:44,raw,raw,2
amman_query_-EAmCN9i5BGEadZIccXEyA,amman:30,raw,raw,1
boston_query_-4vuSn0vvcBVOccgQqFlow,boston:149,raw,raw,6
cph_query_-07-gME-zaQLhCsFrSInSg,cph:241,raw,raw,7
london_query_-7U9wY8ynnu3oZ1g_-0xww,london:104,raw,raw,13
manila_query_-5pMypBbFEXHPOTYNJl_EA,manila:116,raw,raw,2
nairobi_query_-rWgRitoKSYrdczUKUiOrA,nairobi:22,raw,raw,1
toronto_query_-5HBlqC41yTbYA1NM7dz1A,toronto:156,raw,raw,1
zurich_query_-7bB9HS2MqV7UT7vRyROfg,zurich:19,raw,raw,1
amman_query_-L_vanPrT4RcWlLbzCqMKA,amman:29,raw,raw,1
boston_query_-5-CNr3q7kmRGcDSMueI4w,boston:234,raw,raw,1
cph_query_-0_HsZnndjHv76QpTyNFCA,cph:242,raw,raw,42
london_query_-7cNAk24ZhuoOowcvDoImw,london:126,raw,raw,3
manila_query_-6NSbTuzpeyDbSXKeGAasg,manila:190,raw,raw,1
nairobi_query_-yxXz3in11JFniZQAa7m2A,nairobi:10,raw,raw,1
toronto_query_-5RKNbex7In9Ys4mH40wXA,toronto:3,raw,raw,2
zurich_query_-ANYzSHAsjItBx6yJauT3A,zurich:14,raw,raw,42
amman_query_-MUBUlzvFxQS_zFg6xNhVg,amman:6,raw,raw,10
boston_query_-6RLrPXAeunQaNK6m645ZA,boston:237,raw,raw,1
cph_query_-2N5Dmf5tOm5N83KXgvjDw,cph:459,raw,raw,1
london_query_-8xWvI5d3Z6gfsRDb_kEQQ,london:15,raw,raw,37
manila_query_-6_2C-ExaVhx4ONvHOvffw,manila:67,raw,raw,45
nairobi_query_0-ZdPdUGwVdDwKbIOxQCBA,nairobi:15,raw,raw,1
toronto_query_-5ryd5v5eXUsmP9y4p6w_g,toronto:346,raw,raw,28
zurich_query_-Bz7by7mnVU_HZbXc8FmpQ,zurich:111,raw,raw,33
amman_query_-N1g8CEJP4UIaWH8Qqja2g,amman:26,raw,raw,76
boston_query_-7KZUz5u8-7ja98pf8etVA,boston:176,raw,raw,105
cph_query_-3uNzD-M1uI2jZeGqOkpXg,cph:7,raw,raw,76
london_query_-9FGszdwftnBlzMuP0c_NQ,london:18,raw,raw,1
manila_query_-6_XaKv0Rrp2Jl0G9m_8NQ,manila:88,raw,raw,101
nairobi_query_01juXwMfxX_a4pfhpqt66g,nairobi:10,raw,raw,1
toronto_query_-5z50PgNYnxK8Ns2WmF_TQ,toronto:301,raw,raw,1
zurich_query_-D3dDkhM5rjIJhj1SPdroA,zurich:96,raw,raw,1
amman_query_-VdxqGX8d8L_OiSEN5CtDw,amman:0,raw,raw,22
boston_query_-8cIAPzC7_za-xCEWsIoK2,boston:248,raw,raw,2
cph_query_-4KruxIYZ3a3GYE0tOKn2w,cph:333,raw,raw,1
london_query_-9KgeyegI3TaGMqglsDENg,london:111,raw,raw,1
manila_query_-7YHsOWBiYFmYcRzIM0ijg,manila:92,raw,raw,2
nairobi_query_09aysNUjwNAPHsHo-R-IdA,nairobi:21,raw,raw,1
toronto_query_-68JeZKxV2XoP0N_6780Og,toronto:55,raw,raw,1
zurich_query_-E0qyEWY7jSPMOpGqiEG-A,zurich:7,raw,raw,1
amman_query_-XWB_1fOm8NW5dQx9p5IKg,amman:35,raw,raw,169
boston_query_-9Lur-PAHqcMspWszAgfqw,boston:249,raw,raw,1
cph_query_-4RqBOkDhigU8JsdQZINkQ,cph:94,raw,raw,4
london_query_-FGaYVNFN5ALUsVDNixL_g,london:122,raw,raw,1
manila_query_-81llwEm_ZxNy7Sa7Xrjlw,manila:53,raw,raw,1
nairobi_query_0ByAmUG6wFySvLcHHQ0Sdg,nairobi:10,raw,raw,1
toronto_query_-6ZIqrL48IaL1dCCO7bDVQ,toronto:351,raw,raw,1
zurich_query_-F7hOUVha_xHAoDddsUYdw,zurich:99,raw,raw,13
