query_id,place_id,city,condition,seed,pred_lat,pred_lon,true_lat,true_lon,error_km,effective_mse
amman_query_-39Q9edqZUArYHa41OPDoQ,amman:31,amman,direction,1236,31.949841,35.922371,31.999358,35.879608,6.8255,15.6800
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston:87,boston,direction,1236,35.580341,139.664307,42.398486,-71.107798,10797.7650,15.6800
cph_query_--FyHVca3HP-QgUmcAvToA,cph:208,cph,direction,1236,56.009632,12.736630,55.696390,12.519278,37.3796,15.6800
london_query_-0u7VsCOCAmwH4RFsN5BoA,london:51,london,direction,1236,51.490978,-0.194873,51.468922,-0.126438,5.3362,15.6800
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila:102,manila,direction,1236,14.609620,121.005890,14.567746,121.047486,6.4588,15.6800
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi:2,nairobi,direction,1236,-1.040897,36.741028,-1.364671,36.766126,36.1101,15.6800
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto:33,toronto,direction,1236,40.076065,116.606239,43.738266,-79.429596,10557.6676,15.6800
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich:64,zurich,direction,1236,33.487000,126.554497,47.420370,8.506906,9106.6639,15.6800
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman:21,amman,direction,1236,-22.441336,-68.919296,31.937649,35.849155,12642.4163,15.6800
boston_query_--VtRctVkqAafFr5b_6GXg,boston:262,boston,direction,1236,42.361416,-71.092117,42.304708,-71.073356,6.4915,15.6800
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph:162,cph,direction,1236,59.403599,17.943077,55.711783,12.592544,519.6489,15.6800
london_query_-4Vq2O1PhPmG6WK-yV402Q,london:2,london,direction,1236,51.558289,-0.178871,51.523822,-0.178555,3.8326,15.6800
manila_query_-10rV9IlRhgTnk5e_QJbgA,manila:142,manila,direction,1236,13.429528,123.411484,14.553068,121.063485,282.4647,15.6800
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,nairobi:18,nairobi,direction,1236,-1.040897,36.741028,-1.254382,36.691417,24.3708,15.6800
toronto_query_-3UT7A8bNUkVBgSLW30-ow,toronto:185,toronto,direction,1236,-34.882782,138.658020,43.710996,-79.360762,16632.5029,15.6800
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,zurich:13,zurich,direction,1236,47.352081,8.619289,47.394793,8.470135,12.1947,15.6800
amman_query_-BJoV1t0rKwEzk0bsZplVQ,amman:37,amman,direction,1236,32.865963,13.124756,31.978364,35.915587,2137.3289,15.6800
boston_query_-0n5FDAuOditKvxIekIbBg,boston:239,boston,direction,1236,40.742268,-73.955727,42.380288,-71.076932,300.8756,15.6800
cph_query_--xKnCCc_4tDGo80iM-A_g,cph:345,cph,direction,1236,55.676037,12.568359,55.681840,12.535123,2.1814,15.6800
london_query_-4pmBOZmF-ynXSkWw5BAew,london:5,london,direction,1236,51.649609,-0.170073,51.535260,-0.170542,12.7150,15.6800
manila_query_-2h231ovohZWmrsaBllNyw,manila:177,manila,direction,1236,14.584208,121.056732,14.589862,121.079849,2.5659,15.6800
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,nairobi:10,nairobi,direction,1236,-26.042625,28.014606,-1.273521,36.800827,2910.3605,15.6800
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,toronto:88,toronto,direction,1236,43.647972,-79.395401,43.643736,-79.402861,0.7630,15.6800
zurich_query_-4StYjY5sT1S23ls5heCbg,zurich:104,zurich,direction,1236,46.517181,6.625093,47.384664,8.477789,170.5231,15.6800
amman_query_-D0IlKF__f0c9DPAKbiYnw,amman:23,amman,direction,1236,19.538296,-99.192123,31.946058,35.850294,12552.5436,15.6800
boston_query_-3hM-MR6uuw3se14vw3G0w,boston:84,boston,direction,1236,37.843189,-122.290405,42.355516,-71.105953,4316.5596,15.6800
cph_query_-05vIhjxDNupFcgaM90L3w,cph:71,cph,direction,1236,56.047958,12.696998,55.679677,12.568518,41.7284,15.6800
london_query_-5QOE2AlZX8rEz8ONtGRrg,london:131,london,direction,1236,50.966103,-1.348915,51.518989,-0.186234,101.6350,15.6800
