query_id,place_id,city,condition,seed,pred_lat,pred_lon,true_lat,true_lon,error_km,effective_mse
amman_query_-39Q9edqZUArYHa41OPDoQ,amman:31,amman,hardened,1236,31.949663,35.884094,31.999358,35.879608,5.5420,15.6800
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston:87,boston,hardened,1236,-40.910908,-73.148232,42.398486,-71.107798,9265.8645,15.6800
cph_query_--FyHVca3HP-QgUmcAvToA,cph:208,cph,hardened,1236,57.631584,12.098020,55.696390,12.519278,216.7172,15.6800
london_query_-0u7VsCOCAmwH4RFsN5BoA,london:51,london,hardened,1236,51.487797,-0.189428,51.468922,-0.126438,4.8409,15.6800
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila:102,manila,hardened,1236,14.609620,121.005890,14.567746,121.047486,6.4588,15.6800
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi:2,nairobi,hardened,1236,-1.040897,36.741028,-1.364671,36.766126,36.1101,15.6800
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto:33,toronto,hardened,1236,43.775585,-79.346054,43.738266,-79.429596,7.8891,15.6800
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich:64,zurich,hardened,1236,33.487000,126.554497,47.420370,8.506906,9106.6639,15.6800
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman:21,amman,hardened,1236,-22.441336,-68.919296,31.937649,35.849155,12642.4163,15.6800
boston_query_--VtRctVkqAafFr5b_6GXg,boston:262,boston,hardened,1236,42.393478,-71.118942,42.304708,-71.073356,10.5578,15.6800
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph:162,cph,hardened,1236,55.659557,12.591007,55.711783,12.592544,5.8080,15.6800
london_query_-4Vq2O1PhPmG6WK-yV402Q,london:2,london,hardened,1236,53.288551,-6.198885,51.523822,-0.178555,452.8956,15.6800
manila_query_-10rV9IlRhgTnk5e_QJbgA,manila:142,manila,hardened,1236,14.274808,121.102959,14.553068,121.063485,31.2319,15.6800
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,nairobi:18,nairobi,hardened,1236,-4.298825,15.329360,-1.254382,36.691417,2396.2851,15.6800
toronto_query_-3UT7A8bNUkVBgSLW30-ow,toronto:185,toronto,hardened,1236,-34.882782,138.658020,43.710996,-79.360762,16632.5029,15.6800
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,zurich:13,zurich,hardened,1236,47.499783,8.729211,47.394793,8.470135,22.7120,15.6800
amman_query_-BJoV1t0rKwEzk0bsZplVQ,amman:37,amman,hardened,1236,31.949841,35.922371,31.978364,35.915587,3.2355,15.6800
boston_query_-0n5FDAuOditKvxIekIbBg,boston:239,boston,hardened,1236,40.744499,-73.953835,42.380288,-71.076932,300.5969,15.6800
cph_query_--xKnCCc_4tDGo80iM-A_g,cph:345,cph,hardened,1236,55.677246,12.567302,55.681840,12.535123,2.0811,15.6800
london_query_-4pmBOZmF-ynXSkWw5BAew,london:5,london,hardened,1236,51.649609,-0.170073,51.535260,-0.170542,12.7150,15.6800
manila_query_-2h231ovohZWmrsaBllNyw,manila:177,manila,hardened,1236,14.584208,121.056732,14.589862,121.079849,2.5659,15.6800
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,nairobi:10,nairobi,hardened,1236,-1.228967,36.804867,-1.273521,36.800827,4.9745,15.6800
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,toronto:88,toronto,hardened,1236,43.648125,-79.395790,43.643736,-79.402861,0.7496,15.6800
zurich_query_-4StYjY5sT1S23ls5heCbg,zurich:104,zurich,hardened,1236,46.197498,6.195167,47.384664,8.477789,218.2150,15.6800
amman_query_-D0IlKF__f0c9DPAKbiYnw,amman:23,amman,hardened,1236,53.338150,83.789291,31.946058,35.850294,4469.3251,15.6800
boston_query_-3hM-MR6uuw3se14vw3G0w,boston:84,boston,hardened,1236,34.087879,-118.216690,42.355516,-71.105953,4161.7620,15.6800
cph_query_-05vIhjxDNupFcgaM90L3w,cph:71,cph,hardened,1236,54.888138,10.409783,55.679677,12.568518,162.5776,15.6800
london_query_-5QOE2AlZX8rEz8ONtGRrg,london:131,london,hardened,1236,51.456680,-0.975465,51.518989,-0.186234,55.0828,15.6800
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,manila:160,manila,hardened,1236,15.772430,120.735794,14.614392,121.074872,133.8100,15.6800
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,nairobi:9,nairobi,hardened,1236,-6.395979,106.835999,-1.275838,36.794777,7786.3977,15.6800
toronto_query_-4mlNvZUZnbmRaGbiIndoA,toronto:102,toronto,hardened,1236,43.652859,-79.401344,43.653097,-79.398314,0.2452,15.6800
zurich_query_-71-BK_yAOJ1soK0OQWIcg,zurich:44,zurich,hardened,1236,47.626789,7.915692,47.408626,8.440654,46.2887,15.6800
amman_query_-EAmCN9i5BGEadZIccXEyA,amman:30,amman,hardened,1236,38.036652,23.803438,32.001434,35.876522,1286.4128,15.6800
boston_query_-4vuSn0vvcBVOccgQqFlow,boston:149,boston,hardened,1236,38.905285,-77.060379,42.343408,-71.091326,632.1350,15.6800
cph_query_-07-gME-zaQLhCsFrSInSg,cph:241,cph,hardened,1236,60.897545,22.844276,55.669586,12.610691,832.4205,15.6800
london_query_-7U9wY8ynnu3oZ1g_-0xww,london:104,london,hardened,1236,53.444946,-2.226305,51.534225,-0.082836,257.2728,15.6800
manila_query_-5pMypBbFEXHPOTYNJl_EA,manila:116,manila,hardened,1236,-6.364804,106.833961,14.567987,121.050187,2806.3594,15.6800
