query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,clipping_fraction,weight_top10pct_share,placement,label,backbone,seed,gallery_size
amman_query_-39Q9edqZUArYHa41OPDoQ,amman_database_230ybQVhceCf4Sln4SPOMQ,1,0.8768175840377808,toronto_database_-HIFoIXSJfYwqYk6KOUtrQ,0.8644453287124634,0.012372255325317383,amman_database_230ybQVhceCf4Sln4SPOMQ,1,1,114.12662611297657,0.2507728934288025,2.514303787393146e-07,0.0,0.10000001639127731,uniform,uniform same-energy,resnet18,1234,0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,0.9479985237121582,boston_database_0XkG0EUDAUX3eUfdrB2wyw,0.905106782913208,0.042891740798950195,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,1,114.12764686977957,0.25078102946281433,2.513712900054088e-07,0.0001844618091126904,0.10000001639127731,uniform,uniform same-energy,resnet18,1234,0
cph_query_--FyHVca3HP-QgUmcAvToA,cph_database_0dcx1DoaGzM3QYU_47-ctA,17,0.8608031868934631,zurich_database_0HkaGQJfrR9isq2wbtootQ,0.8860111832618713,-0.025207996368408203,zurich_database_0HkaGQJfrR9isq2wbtootQ,0,0,114.14989790016817,0.2507774531841278,2.500866855825734e-07,0.0049424911849200726,0.09999999403953552,uniform,uniform same-energy,resnet18,1234,0
london_query_-0u7VsCOCAmwH4RFsN5BoA,london_database_f9ng8k9Ngt4UWja_a-mjaw,197,0.7857582569122314,zurich_database_0r57m1gsoV4j_t4xOqtL7A,0.8415243625640869,-0.05576610565185547,zurich_database_0r57m1gsoV4j_t4xOqtL7A,0,0,114.12730364483232,0.25077372789382935,2.5139115678030066e-07,0.00010308159835403785,0.09999999403953552,uniform,uniform same-energy,resnet18,1234,0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila_database_Zr6IH7wDsmdaq7VyLJLKDg,54,0.8252776861190796,manila_database_7vOvfavBmZmLG0s8XGaBbA,0.8689256906509399,-0.04364800453186035,manila_database_7vOvfavBmZmLG0s8XGaBbA,0,0,114.12673510009765,0.2507741451263428,2.5142406911982107e-07,0.0,0.10000000149011612,uniform,uniform same-energy,resnet18,1234,0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi_database_fdXQFliJlP2K6rvw_jLOnQ,1999,0.5367037057876587,amman_database_5ymzd7ILNCKrAYOn-vJkbg,0.8386567831039429,-0.3019530773162842,amman_database_5ymzd7ILNCKrAYOn-vJkbg,0,0,114.12689613112022,0.25077372789382935,2.514147467991279e-07,1.0850694707187358e-05,0.09999999403953552,uniform,uniform same-energy,resnet18,1234,0
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto_database_0ItNHOVZYAjAFyIWcZNw3Q,15,0.8474583625793457,zurich_database_VgwLuWhpDSqjlB2NYlCDAw,0.8597888946533203,-0.01233053207397461,zurich_database_VgwLuWhpDSqjlB2NYlCDAw,0,0,114.21071679809417,0.25076574087142944,2.46608863108122e-07,0.01922743022441864,0.10000000894069672,uniform,uniform same-energy,resnet18,1234,0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich_database_6NPG2JUZ0tfT5suxTsfVhQ,103,0.826824426651001,boston_database_7T5vnHPW4Xd12sc2X_jLfw,0.8709406852722168,-0.04411625862121582,boston_database_7T5vnHPW4Xd12sc2X_jLfw,0,0,114.12688189338064,0.2507779896259308,2.514155710287014e-07,0.0,0.10000000894069672,uniform,uniform same-energy,resnet18,1234,0
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman_database_Ld8UF_WG7d620clwmhmA7w,1,0.9185887575149536,amman_database_8r07G8v9DPBbTM53Lqo7uw,0.8836536407470703,0.0349351167678833,amman_database_Ld8UF_WG7d620clwmhmA7w,1,1,114.1268558728048,0.2507794499397278,2.514170773793012e-07,0.0,0.09999999403953552,uniform,uniform same-energy,resnet18,1234,0
boston_query_--VtRctVkqAafFr5b_6GXg,boston_database_UwsH5HN1NhjYYf2i_SZMMw,171,0.8137509822845459,manila_database_5epuq5tYovqXrYnobxqP_A,0.8810936212539673,-0.06734263896942139,manila_database_5epuq5tYovqXrYnobxqP_A,0,0,114.12701396248066,0.25077250599861145,2.514079255888646e-07,4.882812572759576e-05,0.10000000149011612,uniform,uniform same-energy,resnet18,1234,0
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph_database_m8v7yRzg-Ahnt8itIkwjQA,1,0.9168095588684082,zurich_database_4FlzweEjVGvnW3C9lZIYrw,0.8915570378303528,0.02525252103805542,cph_database_m8v7yRzg-Ahnt8itIkwjQA,1,1,114.12672822695514,0.2507750391960144,2.514244670237531e-07,5.425347353593679e-06,0.10000000149011612,uniform,uniform same-energy,resnet18,1234,0
london_query_-4Vq2O1PhPmG6WK-yV402Q,london_database_ZMtlIMgqMeKcrAIPxCMp3g,1,0.9020429253578186,london_database_8m5P4YTaevUpbWaQ62dnUA,0.8912729024887085,0.010770022869110107,london_database_ZMtlIMgqMeKcrAIPxCMp3g,1,1,114.30857354060593,0.250778466463089,2.4111432139761746e-07,0.04111870750784874,0.10000000149011612,uniform,uniform same-energy,resnet18,1234,0
manila_query_-10rV9IlRhgTnk5e_QJbgA,manila_database_8aFsf-s2G5vsaCKgNpxZxA,561,0.7735832929611206,manila_database_403INTlXpIBnsRFhSgUFOw,0.8697371482849121,-0.0961538553237915,manila_database_403INTlXpIBnsRFhSgUFOw,0,0,114.1272761487283,0.2507728934288025,2.5139274839602876e-07,5.967881952528842e-05,0.10000001639127731,uniform,uniform same-energy,resnet18,1234,0
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,nairobi_database_XdvgQAdvS4ZnbRq1lFmPvA,7,0.8614736795425415,amman_database_29z1w1EW9-qTj7neMnnIig,0.882936418056488,-0.021462738513946533,amman_database_29z1w1EW9-qTj7neMnnIig,0,1,114.12674295513094,0.25077036023139954,2.514236143724702e-07,0.0,0.10000000894069672,uniform,uniform same-energy,resnet18,1234,0
toronto_query_-3UT7A8bNUkVBgSLW30-ow,toronto_database_ahYWgqSEuXW1UvHqjcvhbg,62,0.7842100858688354,boston_database_4ZbdgBgOEO3l9iL-DzVnYA,0.8212344646453857,-0.03702437877655029,boston_database_4ZbdgBgOEO3l9iL-DzVnYA,0,0,114.1896378694439,0.25077131390571594,2.4780871399343596e-07,0.01400824636220932,0.10000000149011612,uniform,uniform same-energy,resnet18,1234,0
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,zurich_database_62HR56sCdEq3XIADUUPmBw,15,0.8493664264678955,manila_database_8CX3mu74pWVyEWzhNrVcbQ,0.8742192983627319,-0.024852871894836426,manila_database_8CX3mu74pWVyEWzhNrVcbQ,0,0,114.14586784201363,0.25077539682388306,2.503188625269104e-07,0.0042968750931322575,0.09999998658895493,uniform,uniform same-energy,resnet18,1234,0
amman_query_-BJoV1t0rKwEzk0bsZplVQ,amman_database_RybCghn6dxdppOd3XPQXhw,1767,0.6490421891212463,amman_database_TAHAih6CiD8ZHZpJqmk4NA,0.8609253168106079,-0.21188312768936157,amman_database_TAHAih6CiD8ZHZpJqmk4NA,0,0,114.1268720742771,0.2507748603820801,2.5141613946289e-07,0.0,0.09999999403953552,uniform,uniform same-energy,resnet18,1234,0
boston_query_-0n5FDAuOditKvxIekIbBg,boston_database_7Spns0cJFoQxJhHcHR_Yok,1,0.8566781282424927,manila_database_3ED-M6yl_Y4YZkenDNv49Q,0.8066155314445496,0.050062596797943115,boston_database_7Spns0cJFoQxJhHcHR_Yok,1,1,114.1445642634806,0.2507784366607666,2.5039400952664437e-07,0.00426432304084301,0.10000000149011612,uniform,uniform same-energy,resnet18,1234,0
cph_query_--xKnCCc_4tDGo80iM-A_g,cph_database_2_XsYL2TeW-tmupH9iXwiw,1,0.8992284536361694,cph_database_8c5u5uYeDofXlMnU-Fevhw,0.8905962705612183,0.008632183074951172,cph_database_2_XsYL2TeW-tmupH9iXwiw,1,1,114.1367544430465,0.2507784366607666,2.508446925730823e-07,0.0025607638526707888,0.10000000149011612,uniform,uniform same-energy,resnet18,1234,0
london_query_-4pmBOZmF-ynXSkWw5BAew,london_database_5a908C1LT7cfUlW0-urdfA,1,0.8659444451332092,london_database_4RzAdYnKozeLgXC156TdBw,0.8488020896911621,0.01714235544204712,london_database_5a908C1LT7cfUlW0-urdfA,1,1,114.41377642745577,0.25077053904533386,2.3534377646683424e-07,0.06295030564069748,0.10000000149011612,uniform,uniform same-energy,resnet18,1234,0
manila_query_-2h231ovohZWmrsaBllNyw,manila_database_AtwA7nHo3oRCY9gITWUBSw,146,0.8162374496459961,cph_database_XtStyqOnyclJ6DFytgpC0Q,0.8665058612823486,-0.05026841163635254,cph_database_XtStyqOnyclJ6DFytgpC0Q,0,0,114.14294371752634,0.2507748603820801,2.5048746010725154e-07,0.0036783854011446238,0.09999999403953552,uniform,uniform same-energy,resnet18,1234,0
