query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,placement,label,backbone,seed,gallery_size
amman_query_-39Q9edqZUArYHa41OPDoQ,amman_database_230ybQVhceCf4Sln4SPOMQ,1,0.8703881502151489,manila_database_6-Ge4mVQgHummzC1udZtig,0.8549857139587402,0.015402436256408691,amman_database_230ybQVhceCf4Sln4SPOMQ,1,1,36.07644364179877,0.2507728636264801,16.04855728149414,learned,learned support (DCRF),resnet18,1234,0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,0.9400919675827026,boston_database_0XkG0EUDAUX3eUfdrB2wyw,0.9071651697158813,0.03292679786682129,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,1,36.08541745077666,0.2507810890674591,16.015430450439453,learned,learned support (DCRF),resnet18,1234,0
cph_query_--FyHVca3HP-QgUmcAvToA,cph_database_0dcx1DoaGzM3QYU_47-ctA,78,0.8260068893432617,boston_database_DU3FJGAh3PrB45a580xbGg,0.879239559173584,-0.053232669830322266,boston_database_DU3FJGAh3PrB45a580xbGg,0,0,36.104735610888106,0.2507774829864502,15.94434928894043,learned,learned support (DCRF),resnet18,1234,0
london_query_-0u7VsCOCAmwH4RFsN5BoA,london_database_f9ng8k9Ngt4UWja_a-mjaw,137,0.791540265083313,toronto_database_8aHbQwynhIr0XfyXIGqbdA,0.8412562012672424,-0.04971593618392944,toronto_database_8aHbQwynhIr0XfyXIGqbdA,0,0,36.353387700386996,0.25077375769615173,15.057108879089355,learned,learned support (DCRF),resnet18,1234,0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila_database_Zr6IH7wDsmdaq7VyLJLKDg,46,0.8284075856208801,manila_database_7vOvfavBmZmLG0s8XGaBbA,0.8702452778816223,-0.04183769226074219,manila_database_7vOvfavBmZmLG0s8XGaBbA,0,0,36.06995580253375,0.25077417492866516,16.07254981994629,learned,learned support (DCRF),resnet18,1234,0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi_database_fdXQFliJlP2K6rvw_jLOnQ,2000,0.5186582207679749,amman_database_5ymzd7ILNCKrAYOn-vJkbg,0.8344942331314087,-0.31583601236343384,amman_database_5ymzd7ILNCKrAYOn-vJkbg,0,0,36.06673637127683,0.25077375769615173,16.084468841552734,learned,learned support (DCRF),resnet18,1234,0
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto_database_0ItNHOVZYAjAFyIWcZNw3Q,1,0.8600436449050903,zurich_database_VgwLuWhpDSqjlB2NYlCDAw,0.85533607006073,0.0047075748443603516,toronto_database_0ItNHOVZYAjAFyIWcZNw3Q,1,1,36.27365223721575,0.25076571106910706,15.33610725402832,learned,learned support (DCRF),resnet18,1234,0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich_database_TZZASHVyX8JX4JCtjaZu8A,114,0.8249831795692444,zurich_database_2IFVvdawkgwfoEkc1UpdCw,0.8630810379981995,-0.03809785842895508,zurich_database_2IFVvdawkgwfoEkc1UpdCw,0,0,36.06849751510422,0.2507780194282532,16.07794761657715,learned,learned support (DCRF),resnet18,1234,0
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman_database_Ld8UF_WG7d620clwmhmA7w,1,0.8958678245544434,amman_database_ONY-rsH_3nthK111PVrqsg,0.868735671043396,0.027132153511047363,amman_database_Ld8UF_WG7d620clwmhmA7w,1,1,36.06690683979544,0.2507794201374054,16.083837509155273,learned,learned support (DCRF),resnet18,1234,0
boston_query_--VtRctVkqAafFr5b_6GXg,boston_database_UwsH5HN1NhjYYf2i_SZMMw,167,0.8062383532524109,manila_database_5epuq5tYovqXrYnobxqP_A,0.8728753328323364,-0.06663697957992554,manila_database_5epuq5tYovqXrYnobxqP_A,0,0,36.08121861581808,0.25077253580093384,16.030921936035156,learned,learned support (DCRF),resnet18,1234,0
