query_id,place_id,variant,seed,correct_rank
0000_query_0000002225,kitti360:0000_p0,raw,raw,7
0000_query_0000001786,kitti360:0000_p1,raw,raw,65
0000_query_0000001796,kitti360:0000_p1,raw,raw,2
0000_query_0000001805,kitti360:0000_p1,raw,raw,1
0000_query_0000001813,kitti360:0000_p1,raw,raw,1
0000_query_0000001821,kitti360:0000_p1,raw,raw,5
0000_query_0000001828,kitti360:0000_p1,raw,raw,1
0000_query_0000001835,kitti360:0000_p1,raw,raw,1
0000_query_0000001842,kitti360:0000_p1,raw,raw,1
0000_query_0000001849,kitti360:0000_p1,raw,raw,1
0000_query_0000001856,kitti360:0000_p1,raw,raw,1
0000_query_0000001863,kitti360:0000_p1,raw,raw,1
0000_query_0000001871,kitti360:0000_p1,raw,raw,1
0000_query_0000001880,kitti360:0000_p1,raw,raw,2
0000_query_0000001890,kitti360:0000_p1,raw,raw,559
0000_query_0000001900,kitti360:0000_p1,raw,raw,1014
0000_query_0000001909,kitti360:0000_p1,raw,raw,979
0000_query_0000006327,kitti360:0000_p2,raw,raw,671
0000_query_0000006343,kitti360:0000_p2,raw,raw,136
0000_query_0000006361,kitti360:0000_p2,raw,raw,274
0000_query_0000006374,kitti360:0000_p2,raw,raw,259
0000_query_0000006384,kitti360:0000_p2,raw,raw,472
0000_query_0000006392,kitti360:0000_p2,raw,raw,456
0000_query_0000007742,kitti360:0000_p2,raw,raw,635
0000_query_0000007751,kitti360:0000_p2,raw,raw,698
0000_query_0000007761,kitti360:0000_p2,raw,raw,68
0000_query_0000007771,kitti360:0000_p2,raw,raw,308
0000_query_0000007781,kitti360:0000_p2,raw,raw,5
0000_query_0000007789,kitti360:0000_p2,raw,raw,6
0000_query_0000007796,kitti360:0000_p2,raw,raw,104
0000_query_0000007803,kitti360:0000_p2,raw,raw,54
0000_query_0000007809,kitti360:0000_p2,raw,raw,89
0000_query_0000007815,kitti360:0000_p2,raw,raw,567
0000_query_0000007821,kitti360:0000_p2,raw,raw,341
0000_query_0000007827,kitti360:0000_p2,raw,raw,20
0000_query_0000007833,kitti360:0000_p2,raw,raw,265
0000_query_0000007839,kitti360:0000_p2,raw,raw,315
0000_query_0000007845,kitti360:0000_p2,raw,raw,248
0000_query_0000007852,kitti360:0000_p2,raw,raw,396
0000_query_0000007860,kitti360:0000_p2,raw,raw,373
0000_query_0000007868,kitti360:0000_p2,raw,raw,1
0000_query_0000007876,kitti360:0000_p2,raw,raw,3
0000_query_0000005898,kitti360:0000_p3,raw,raw,44
0000_query_0000005910,kitti360:0000_p3,raw,raw,145
0000_query_0000005922,kitti360:0000_p3,raw,raw,7
0000_query_0000005935,kitti360:0000_p3,raw,raw,1
0000_query_0000005951,kitti360:0000_p3,raw,raw,2
