query_id,place_id,condition,seed,correct_rank
0000_query_0000002225,kitti360:0000_p0,isotropic,1234,6
0000_query_0000002225,kitti360:0000_p0,transfer_3,1234,21
0000_query_0000002225,kitti360:0000_p0,isotropic,1235,4
0000_query_0000002225,kitti360:0000_p0,transfer_3,1235,13
0000_query_0000002225,kitti360:0000_p0,isotropic,1236,6
0000_query_0000002225,kitti360:0000_p0,transfer_3,1236,9
0000_query_0000001786,kitti360:0000_p1,isotropic,1234,67
0000_query_0000001786,kitti360:0000_p1,transfer_3,1234,53
0000_query_0000001786,kitti360:0000_p1,isotropic,1235,67
0000_query_0000001786,kitti360:0000_p1,transfer_3,1235,56
0000_query_0000001786,kitti360:0000_p1,isotropic,1236,59
0000_query_0000001786,kitti360:0000_p1,transfer_3,1236,90
0000_query_0000001796,kitti360:0000_p1,isotropic,1234,2
0000_query_0000001796,kitti360:0000_p1,transfer_3,1234,88
0000_query_0000001796,kitti360:0000_p1,isotropic,1235,2
0000_query_0000001796,kitti360:0000_p1,transfer_3,1235,68
0000_query_0000001796,kitti360:0000_p1,isotropic,1236,2
0000_query_0000001796,kitti360:0000_p1,transfer_3,1236,93
0000_query_0000001805,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001805,kitti360:0000_p1,transfer_3,1234,1
0000_query_0000001805,kitti360:0000_p1,isotropic,1235,1
0000_query_0000001805,kitti360:0000_p1,transfer_3,1235,1
0000_query_0000001805,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001805,kitti360:0000_p1,transfer_3,1236,1
0000_query_0000001813,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001813,kitti360:0000_p1,transfer_3,1234,50
0000_query_0000001813,kitti360:0000_p1,isotropic,1235,1
0000_query_0000001813,kitti360:0000_p1,transfer_3,1235,23
0000_query_0000001813,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001813,kitti360:0000_p1,transfer_3,1236,11
0000_query_0000001821,kitti360:0000_p1,isotropic,1234,10
0000_query_0000001821,kitti360:0000_p1,transfer_3,1234,70
0000_query_0000001821,kitti360:0000_p1,isotropic,1235,7
0000_query_0000001821,kitti360:0000_p1,transfer_3,1235,71
0000_query_0000001821,kitti360:0000_p1,isotropic,1236,8
0000_query_0000001821,kitti360:0000_p1,transfer_3,1236,121
0000_query_0000001828,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001828,kitti360:0000_p1,transfer_3,1234,13
0000_query_0000001828,kitti360:0000_p1,isotropic,1235,1
0000_query_0000001828,kitti360:0000_p1,transfer_3,1235,11
0000_query_0000001828,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001828,kitti360:0000_p1,transfer_3,1236,7
0000_query_0000001835,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001835,kitti360:0000_p1,transfer_3,1234,6
0000_query_0000001835,kitti360:0000_p1,isotropic,1235,1
0000_query_0000001835,kitti360:0000_p1,transfer_3,1235,3
0000_query_0000001835,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001835,kitti360:0000_p1,transfer_3,1236,7
0000_query_0000001842,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001842,kitti360:0000_p1,transfer_3,1234,1
0000_query_0000001842,kitti360:0000_p1,isotropic,1235,1
0000_query_0000001842,kitti360:0000_p1,transfer_3,1235,1
0000_query_0000001842,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001842,kitti360:0000_p1,transfer_3,1236,1
0000_query_0000001849,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001849,kitti360:0000_p1,transfer_3,1234,28
0000_query_0000001849,kitti360:0000_p1,isotropic,1235,1
0000_query_0000001849,kitti360:0000_p1,transfer_3,1235,18
0000_query_0000001849,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001849,kitti360:0000_p1,transfer_3,1236,23
0000_query_0000001856,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001856,kitti360:0000_p1,transfer_3,1234,3
0000_query_0000001856,kitti360:0000_p1,isotropic,1235,1
0000_query_0000001856,kitti360:0000_p1,transfer_3,1235,1
0000_query_0000001856,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001856,kitti360:0000_p1,transfer_3,1236,7
0000_query_0000001863,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001863,kitti360:0000_p1,transfer_3,1234,5
0000_query_0000001863,kitti360:0000_p1,isotropic,1235,1
0000_query_0000001863,kitti360:0000_p1,transfer_3,1235,21
0000_query_0000001863,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001863,kitti360:0000_p1,transfer_3,1236,13
0000_query_0000001871,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001871,kitti360:0000_p1,transfer_3,1234,1
0000_query_0000001871,kitti360:0000_p1,isotropic,1235,1
0000_query_0000001871,kitti360:0000_p1,transfer_3,1235,2
0000_query_0000001871,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001871,kitti360:0000_p1,transfer_3,1236,1
0000_query_0000001880,kitti360:0000_p1,isotropic,1234,1
0000_query_0000001880,kitti360:0000_p1,transfer_3,1234,37
0000_query_0000001880,kitti360:0000_p1,isotropic,1235,2
0000_query_0000001880,kitti360:0000_p1,transfer_3,1235,30
0000_query_0000001880,kitti360:0000_p1,isotropic,1236,1
0000_query_0000001880,kitti360:0000_p1,transfer_3,1236,52
0000_query_0000001890,kitti360:0000_p1,isotropic,1234,553
0000_query_0000001890,kitti360:0000_p1,transfer_3,1234,930
0000_query_0000001890,kitti360:0000_p1,isotropic,1235,602
0000_query_0000001890,kitti360:0000_p1,transfer_3,1235,982
0000_query_0000001890,kitti360:0000_p1,isotropic,1236,656
0000_query_0000001890,kitti360:0000_p1,transfer_3,1236,878
0000_query_0000001900,kitti360:0000_p1,isotropic,1234,1074
0000_query_0000001900,kitti360:0000_p1,transfer_3,1234,1022
0000_query_0000001900,kitti360:0000_p1,isotropic,1235,1063
0000_query_0000001900,kitti360:0000_p1,transfer_3,1235,942
0000_query_0000001900,kitti360:0000_p1,isotropic,1236,1016
0000_query_0000001900,kitti360:0000_p1,transfer_3,1236,1109
0000_query_0000001909,kitti360:0000_p1,isotropic,1234,968
0000_query_0000001909,kitti360:0000_p1,transfer_3,1234,945
0000_query_0000001909,kitti360:0000_p1,isotropic,1235,1012
0000_query_0000001909,kitti360:0000_p1,transfer_3,1235,963
0000_query_0000001909,kitti360:0000_p1,isotropic,1236,990
0000_query_0000001909,kitti360:0000_p1,transfer_3,1236,940
0000_query_0000006327,kitti360:0000_p2,isotropic,1234,761
0000_query_0000006327,kitti360:0000_p2,transfer_3,1234,473
0000_query_0000006327,kitti360:0000_p2,isotropic,1235,644
0000_query_0000006327,kitti360:0000_p2,transfer_3,1235,706
0000_query_0000006327,kitti360:0000_p2,isotropic,1236,701
0000_query_0000006327,kitti360:0000_p2,transfer_3,1236,489
0000_query_0000006343,kitti360:0000_p2,isotropic,1234,189
0000_query_0000006343,kitti360:0000_p2,transfer_3,1234,119
0000_query_0000006343,kitti360:0000_p2,isotropic,1235,169
0000_query_0000006343,kitti360:0000_p2,transfer_3,1235,178
0000_query_0000006343,kitti360:0000_p2,isotropic,1236,154
0000_query_0000006343,kitti360:0000_p2,transfer_3,1236,139
0000_query_0000006361,kitti360:0000_p2,isotropic,1234,187
0000_query_0000006361,kitti360:0000_p2,transfer_3,1234,514
0000_query_0000006361,kitti360:0000_p2,isotropic,1235,248
0000_query_0000006361,kitti360:0000_p2,transfer_3,1235,663
0000_query_0000006361,kitti360:0000_p2,isotropic,1236,217
0000_query_0000006361,kitti360:0000_p2,transfer_3,1236,478
0000_query_0000006374,kitti360:0000_p2,isotropic,1234,266
0000_query_0000006374,kitti360:0000_p2,transfer_3,1234,277
0000_query_0000006374,kitti360:0000_p2,isotropic,1235,286
0000_query_0000006374,kitti360:0000_p2,transfer_3,1235,337
0000_query_0000006374,kitti360:0000_p2,isotropic,1236,314
0000_query_0000006374,kitti360:0000_p2,transfer_3,1236,447
0000_query_0000006384,kitti360:0000_p2,isotropic,1234,602
0000_query_0000006384,kitti360:0000_p2,transfer_3,1234,570
0000_query_0000006384,kitti360:0000_p2,isotropic,1235,647
0000_query_0000006384,kitti360:0000_p2,transfer_3,1235,477
0000_query_0000006384,kitti360:0000_p2,isotropic,1236,688
0000_query_0000006384,kitti360:0000_p2,transfer_3,1236,534
0000_query_0000006392,kitti360:0000_p2,isotropic,1234,433
0000_query_0000006392,kitti360:0000_p2,transfer_3,1234,289
0000_query_0000006392,kitti360:0000_p2,isotropic,1235,448
0000_query_0000006392,kitti360:0000_p2,transfer_3,1235,269
0000_query_0000006392,kitti360:0000_p2,isotropic,1236,438
0000_query_0000006392,kitti360:0000_p2,transfer_3,1236,259
0000_query_0000007742,kitti360:0000_p2,isotropic,1234,649
0000_query_0000007742,kitti360:0000_p2,transfer_3,1234,318
0000_query_0000007742,kitti360:0000_p2,isotropic,1235,717
0000_query_0000007742,kitti360:0000_p2,transfer_3,1235,258
0000_query_0000007742,kitti360:0000_p2,isotropic,1236,647
0000_query_0000007742,kitti360:0000_p2,transfer_3,1236,257
0000_query_0000007751,kitti360:0000_p2,isotropic,1234,839
0000_query_0000007751,kitti360:0000_p2,transfer_3,1234,147
0000_query_0000007751,kitti360:0000_p2,isotropic,1235,723
0000_query_0000007751,kitti360:0000_p2,transfer_3,1235,252
0000_query_0000007751,kitti360:0000_p2,isotropic,1236,705
0000_query_0000007751,kitti360:0000_p2,transfer_3,1236,186
0000_query_0000007761,kitti360:0000_p2,isotropic,1234,55
0000_query_0000007761,kitti360:0000_p2,transfer_3,1234,209
0000_query_0000007761,kitti360:0000_p2,isotropic,1235,80
0000_query_0000007761,kitti360:0000_p2,transfer_3,1235,80
0000_query_0000007761,kitti360:0000_p2,isotropic,1236,111
0000_query_0000007761,kitti360:0000_p2,transfer_3,1236,295
0000_query_0000007771,kitti360:0000_p2,isotropic,1234,273
0000_query_0000007771,kitti360:0000_p2,transfer_3,1234,772
0000_query_0000007771,kitti360:0000_p2,isotropic,1235,346
0000_query_0000007771,kitti360:0000_p2,transfer_3,1235,776
0000_query_0000007771,kitti360:0000_p2,isotropic,1236,272
0000_query_0000007771,kitti360:0000_p2,transfer_3,1236,855
0000_query_0000007781,kitti360:0000_p2,isotropic,1234,5
0000_query_0000007781,kitti360:0000_p2,transfer_3,1234,8
0000_query_0000007781,kitti360:0000_p2,isotropic,1235,4
0000_query_0000007781,kitti360:0000_p2,transfer_3,1235,8
0000_query_0000007781,kitti360:0000_p2,isotropic,1236,4
0000_query_0000007781,kitti360:0000_p2,transfer_3,1236,14
0000_query_0000007789,kitti360:0000_p2,isotropic,1234,4
0000_query_0000007789,kitti360:0000_p2,transfer_3,1234,14
0000_query_0000007789,kitti360:0000_p2,isotropic,1235,4
0000_query_0000007789,kitti360:0000_p2,transfer_3,1235,7
0000_query_0000007789,kitti360:0000_p2,isotropic,1236,5
0000_query_0000007789,kitti360:0000_p2,transfer_3,1236,7
0000_query_0000007796,kitti360:0000_p2,isotropic,1234,87
0000_query_0000007796,kitti360:0000_p2,transfer_3,1234,366
0000_query_0000007796,kitti360:0000_p2,isotropic,1235,109
0000_query_0000007796,kitti360:0000_p2,transfer_3,1235,390
0000_query_0000007796,kitti360:0000_p2,isotropic,1236,49
0000_query_0000007796,kitti360:0000_p2,transfer_3,1236,322
0000_query_0000007803,kitti360:0000_p2,isotropic,1234,25
0000_query_0000007803,kitti360:0000_p2,transfer_3,1234,279
0000_query_0000007803,kitti360:0000_p2,isotropic,1235,67
0000_query_0000007803,kitti360:0000_p2,transfer_3,1235,172
0000_query_0000007803,kitti360:0000_p2,isotropic,1236,26
0000_query_0000007803,kitti360:0000_p2,transfer_3,1236,180
0000_query_0000007809,kitti360:0000_p2,isotropic,1234,81
0000_query_0000007809,kitti360:0000_p2,transfer_3,1234,136
0000_query_0000007809,kitti360:0000_p2,isotropic,1235,73
0000_query_0000007809,kitti360:0000_p2,transfer_3,1235,223
0000_query_0000007809,kitti360:0000_p2,isotropic,1236,90
0000_query_0000007809,kitti360:0000_p2,transfer_3,1236,68
0000_query_0000007815,kitti360:0000_p2,isotropic,1234,676
0000_query_0000007815,kitti360:0000_p2,transfer_3,1234,848
0000_query_0000007815,kitti360:0000_p2,isotropic,1235,704
0000_query_0000007815,kitti360:0000_p2,transfer_3,1235,812
0000_query_0000007815,kitti360:0000_p2,isotropic,1236,674
0000_query_0000007815,kitti360:0000_p2,transfer_3,1236,575
0000_query_0000007821,kitti360:0000_p2,isotropic,1234,302
0000_query_0000007821,kitti360:0000_p2,transfer_3,1234,160
0000_query_0000007821,kitti360:0000_p2,isotropic,1235,263
0000_query_0000007821,kitti360:0000_p2,transfer_3,1235,82
0000_query_0000007821,kitti360:0000_p2,isotropic,1236,263
0000_query_0000007821,kitti360:0000_p2,transfer_3,1236,211
0000_query_0000007827,kitti360:0000_p2,isotropic,1234,16
0000_query_0000007827,kitti360:0000_p2,transfer_3,1234,43
0000_query_0000007827,kitti360:0000_p2,isotropic,1235,21
0000_query_0000007827,kitti360:0000_p2,transfer_3,1235,46
0000_query_0000007827,kitti360:0000_p2,isotropic,1236,29
0000_query_0000007827,kitti360:0000_p2,transfer_3,1236,20
0000_query_0000007833,kitti360:0000_p2,isotropic,1234,383
0000_query_0000007833,kitti360:0000_p2,transfer_3,1234,174
0000_query_0000007833,kitti360:0000_p2,isotropic,1235,286
0000_query_0000007833,kitti360:0000_p2,transfer_3,1235,239
