query_id,place_id,placement,seed,correct_rank
0000_query_0000002225,kitti360:0000_p0,learned,1234,6
0000_query_0000001786,kitti360:0000_p1,learned,1234,67
0000_query_0000001796,kitti360:0000_p1,learned,1234,2
0000_query_0000001805,kitti360:0000_p1,learned,1234,1
0000_query_0000001813,kitti360:0000_p1,learned,1234,1
0000_query_0000001821,kitti360:0000_p1,learned,1234,10
0000_query_0000001828,kitti360:0000_p1,learned,1234,1
0000_query_0000001835,kitti360:0000_p1,learned,1234,1
0000_query_0000001842,kitti360:0000_p1,learned,1234,1
0000_query_0000001849,kitti360:0000_p1,learned,1234,1
0000_query_0000001856,kitti360:0000_p1,learned,1234,1
0000_query_0000001863,kitti360:0000_p1,learned,1234,1
0000_query_0000001871,kitti360:0000_p1,learned,1234,1
0000_query_0000001880,kitti360:0000_p1,learned,1234,1
0000_query_0000001890,kitti360:0000_p1,learned,1234,554
0000_query_0000001900,kitti360:0000_p1,learned,1234,1074
0000_query_0000001909,kitti360:0000_p1,learned,1234,969
0000_query_0000006327,kitti360:0000_p2,learned,1234,759
0000_query_0000006343,kitti360:0000_p2,learned,1234,189
0000_query_0000006361,kitti360:0000_p2,learned,1234,187
0000_query_0000006374,kitti360:0000_p2,learned,1234,267
0000_query_0000006384,kitti360:0000_p2,learned,1234,598
0000_query_0000006392,kitti360:0000_p2,learned,1234,434
0000_query_0000007742,kitti360:0000_p2,learned,1234,649
0000_query_0000007751,kitti360:0000_p2,learned,1234,839
0000_query_0000007761,kitti360:0000_p2,learned,1234,55
0000_query_0000007771,kitti360:0000_p2,learned,1234,273
0000_query_0000007781,kitti360:0000_p2,learned,1234,5
0000_query_0000007789,kitti360:0000_p2,learned,1234,4
0000_query_0000007796,kitti360:0000_p2,learned,1234,88
0000_query_0000007803,kitti360:0000_p2,learned,1234,25
0000_query_0000007809,kitti360:0000_p2,learned,1234,81
0000_query_0000007815,kitti360:0000_p2,learned,1234,673
0000_query_0000007821,kitti360:0000_p2,learned,1234,302
0000_query_0000007827,kitti360:0000_p2,learned,1234,16
0000_query_0000007833,kitti360:0000_p2,learned,1234,376
0000_query_0000007839,kitti360:0000_p2,learned,1234,328
0000_query_0000007845,kitti360:0000_p2,learned,1234,208
0000_query_0000007852,kitti360:0000_p2,learned,1234,387
0000_query_0000007860,kitti360:0000_p2,learned,1234,315
0000_query_0000007868,kitti360:0000_p2,learned,1234,1
0000_query_0000007876,kitti360:0000_p2,learned,1234,2
0000_query_0000005898,kitti360:0000_p3,learned,1234,10
0000_query_0000005910,kitti360:0000_p3,learned,1234,177
0000_query_0000005922,kitti360:0000_p3,learned,1234,5
0000_query_0000005935,kitti360:0000_p3,learned,1234,1
0000_query_0000005951,kitti360:0000_p3,learned,1234,3
0000_query_0000005962,kitti360:0000_p3,learned,1234,10
0000_query_0000005971,kitti360:0000_p3,learned,1234,75
0000_query_0000005979,kitti360:0000_p3,learned,1234,10
