query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,clipping_fraction,weight_top10pct_share,placement,operator,label,backbone,seed,gallery_size
amman_query_-39Q9edqZUArYHa41OPDoQ,amman_database_230ybQVhceCf4Sln4SPOMQ,1,0.8704077005386353,manila_database_6-Ge4mVQgHummzC1udZtig,0.8549950122833252,0.015412688255310059,amman_database_230ybQVhceCf4Sln4SPOMQ,1,1,36.076454997178075,0.2507728934288025,16.04851531982422,0.0016927083488553762,0.10000001639127731,uniform,legacy,uniform same-energy,resnet18,1234,0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,0.9400941133499146,boston_database_0XkG0EUDAUX3eUfdrB2wyw,0.9071760773658752,0.03291803598403931,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,1,36.0854329674211,0.25078102946281433,16.01537322998047,0.00345594622194767,0.10000001639127731,uniform,legacy,uniform same-energy,resnet18,1234,0
cph_query_--FyHVca3HP-QgUmcAvToA,cph_database_0dcx1DoaGzM3QYU_47-ctA,78,0.8260232210159302,boston_database_DU3FJGAh3PrB45a580xbGg,0.8792627453804016,-0.053239524364471436,boston_database_DU3FJGAh3PrB45a580xbGg,0,0,36.10475171623535,0.2507774531841278,15.944290161132812,0.008175997994840145,0.09999999403953552,uniform,legacy,uniform same-energy,resnet18,1234,0
london_query_-0u7VsCOCAmwH4RFsN5BoA,london_database_f9ng8k9Ngt4UWja_a-mjaw,137,0.7915437817573547,toronto_database_8aHbQwynhIr0XfyXIGqbdA,0.8412564396858215,-0.0497126579284668,toronto_database_8aHbQwynhIr0XfyXIGqbdA,0,0,36.353453167477085,0.25077372789382935,15.05688190460205,0.05302191898226738,0.09999999403953552,uniform,legacy,uniform same-energy,resnet18,1234,0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila_database_Zr6IH7wDsmdaq7VyLJLKDg,46,0.8283843994140625,manila_database_7vOvfavBmZmLG0s8XGaBbA,0.8702346682548523,-0.041850268840789795,manila_database_7vOvfavBmZmLG0s8XGaBbA,0,0,36.06996559481105,0.2507741451263428,16.072513580322266,0.000732421875,0.10000000149011612,uniform,legacy,uniform same-energy,resnet18,1234,0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi_database_fdXQFliJlP2K6rvw_jLOnQ,2000,0.5186666250228882,amman_database_5ymzd7ILNCKrAYOn-vJkbg,0.8344665765762329,-0.3157999515533447,amman_database_5ymzd7ILNCKrAYOn-vJkbg,0,0,36.066748731306966,0.25077372789382935,16.084423065185547,0.00022786458430346102,0.09999999403953552,uniform,legacy,uniform same-energy,resnet18,1234,0
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto_database_0ItNHOVZYAjAFyIWcZNw3Q,1,0.8600424528121948,zurich_database_VgwLuWhpDSqjlB2NYlCDAw,0.8553169965744019,0.004725456237792969,toronto_database_0ItNHOVZYAjAFyIWcZNw3Q,1,1,36.273712732330374,0.25076574087142944,15.335893630981445,0.04057617112994194,0.10000000894069672,uniform,legacy,uniform same-energy,resnet18,1234,0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich_database_TZZASHVyX8JX4JCtjaZu8A,114,0.8249971270561218,zurich_database_2IFVvdawkgwfoEkc1UpdCw,0.863075315952301,-0.0380781888961792,zurich_database_2IFVvdawkgwfoEkc1UpdCw,0,0,36.06850215199136,0.2507779896259308,16.077930450439453,0.0005154079990461469,0.10000000894069672,uniform,legacy,uniform same-energy,resnet18,1234,0
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman_database_Ld8UF_WG7d620clwmhmA7w,1,0.8958563804626465,amman_database_ONY-rsH_3nthK111PVrqsg,0.8687165975570679,0.027139782905578613,amman_database_Ld8UF_WG7d620clwmhmA7w,1,1,36.06691765524441,0.2507794499397278,16.083797454833984,0.0002821180678438395,0.09999999403953552,uniform,legacy,uniform same-energy,resnet18,1234,0
boston_query_--VtRctVkqAafFr5b_6GXg,boston_database_UwsH5HN1NhjYYf2i_SZMMw,167,0.8062441349029541,manila_database_5epuq5tYovqXrYnobxqP_A,0.8728705644607544,-0.06662642955780029,manila_database_5epuq5tYovqXrYnobxqP_A,0,0,36.08123515091327,0.25077250599861145,16.030860900878906,0.0025499132461845875,0.10000000149011612,uniform,legacy,uniform same-energy,resnet18,1234,0
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph_database_m8v7yRzg-Ahnt8itIkwjQA,1,0.916893720626831,zurich_database_JlQZqZETcsktpyAY5mc1pg,0.8813009262084961,0.03559279441833496,cph_database_m8v7yRzg-Ahnt8itIkwjQA,1,1,36.06628885887991,0.2507750391960144,16.08612632751465,0.00014105903392191976,0.10000000149011612,uniform,legacy,uniform same-energy,resnet18,1234,0
