query_id,condition,seed,pred_lat,pred_lon,true_lat,true_lon,error_km,refused,model
amman_query_-39Q9edqZUArYHa41OPDoQ,clean,1234,31.955000,35.910000,31.999358,35.879608,5.7049,0,gpt-5
amman_query_-6eEB_fS2eePRNUql6vOrQ,clean,1234,31.770000,35.260000,31.937649,35.849155,58.6845,0,gpt-5
amman_query_-BJoV1t0rKwEzk0bsZplVQ,clean,1234,31.955200,35.910600,31.978364,35.915587,2.6183,0,gpt-5
amman_query_-D0IlKF__f0c9DPAKbiYnw,clean,1234,34.020900,-6.841600,31.946058,35.850294,3959.9072,0,gpt-5
amman_query_-EAmCN9i5BGEadZIccXEyA,clean,1234,33.939000,35.594500,32.001434,35.876522,217.0479,0,gpt-5
amman_query_-L_vanPrT4RcWlLbzCqMKA,clean,1234,31.953900,35.910600,31.958243,35.852087,5.5414,0,gpt-5
amman_query_-MUBUlzvFxQS_zFg6xNhVg,clean,1234,36.191000,44.009000,31.968966,35.841534,886.1762,0,gpt-5
amman_query_-N1g8CEJP4UIaWH8Qqja2g,clean,1234,31.958000,35.859000,31.956696,35.847420,1.1021,0,gpt-5
amman_query_-VdxqGX8d8L_OiSEN5CtDw,clean,1234,15.588000,32.559000,31.983953,35.832464,1852.9989,0,gpt-5
amman_query_-XWB_1fOm8NW5dQx9p5IKg,clean,1234,31.953000,35.923000,31.984011,35.900124,4.0678,0,gpt-5
amman_query_-iXxlTRmA5JphamcIjxBbA,clean,1234,31.951600,35.923900,32.029374,35.840189,11.7096,0,gpt-5
amman_query_-qij8CFaEYNp4JW3rF9oqQ,clean,1234,4.711000,-74.072000,31.996352,35.884292,11584.2275,0,gpt-5
amman_query_-t_-moqpBTWSiKU7mS-lgQ,clean,1234,31.778000,35.235000,31.948052,35.850809,61.1533,0,gpt-5
amman_query_0-2jyV8XAzdAOYMkdyQVLw,clean,1234,36.191000,44.009000,31.970600,35.840690,886.1399,0,gpt-5
amman_query_051WRvR5gI1vde606oseFw,clean,1234,41.008200,28.978400,31.948302,35.850846,1179.0737,0,gpt-5
amman_query_0CjrhmzpvqXBOIBsGB6LcQ,clean,1234,31.956600,35.910600,31.936361,35.848843,6.2465,0,gpt-5
amman_query_0IvHKlYEfFEP39KRxr9UZg,clean,1234,31.971000,35.856000,31.941886,35.847469,3.3359,0,gpt-5
amman_query_0NfGsYmI9MkLl0JzfO-tJg,clean,1234,31.778000,35.217000,31.978879,35.916274,69.7036,0,gpt-5
amman_query_0PLHged3iWJuuv8xOPB5rA,clean,1234,31.956000,35.860000,31.958905,35.854412,0.6183,0,gpt-5
amman_query_0R0A_PhOAjP-uMDPM7p7mA,clean,1234,31.956000,35.878000,31.958702,35.853572,2.3241,0,gpt-5
amman_query_0RRGZCCzxqj8dJzhN-RnQQ,clean,1234,31.955200,35.910600,31.967991,35.842017,6.6245,0,gpt-5
amman_query_0fPb7in-cHyh0MAM_N6Zwg,clean,1234,31.955000,35.910000,31.942440,35.847242,6.0838,0,gpt-5
amman_query_0mtodUgJmOV4UK-0AiTGHg,clean,1234,31.955800,35.864900,31.957841,35.850878,1.3422,0,gpt-5
amman_query_0rJM3ZzX3JzTTpl0GCia8w,clean,1234,41.010000,28.970000,31.966763,35.902553,1180.2472,0,gpt-5
amman_query_12LbsAl_T_jgw2JHgbR5ng,clean,1234,37.983800,23.727500,31.984105,35.900009,1292.5008,0,gpt-5
amman_query_1HafWFxuyylXLnDzCoapDA,clean,1234,31.953900,35.910600,31.985877,35.897811,3.7548,0,gpt-5
amman_query_1IWpn2b6V75KvNFoTU8UOQ,clean,1234,31.957000,35.873000,31.957222,35.848997,2.2646,0,gpt-5
amman_query_1Nmy4JnYnb5zA_JmbkDWBQ,clean,1234,31.953000,35.930000,31.980710,35.835015,9.4752,0,gpt-5
amman_query_1Tf2dWuS4el8fREHH1_k0w,clean,1234,41.015000,28.950000,31.955989,35.847630,1180.1270,0,gpt-5
amman_query_1TysYQA0N2AnJ5lzQWP07w,clean,1234,31.955200,35.945000,31.934255,35.846195,9.6093,0,gpt-5
amman_query_1VTBGOTuAwvnyE1o4Pbm0Q,clean,1234,31.778000,35.235000,31.947981,35.850798,61.1499,0,gpt-5
amman_query_1_jzc52w72UKyKztvVoygQ,clean,1234,32.080600,34.780500,31.947488,35.850682,101.9808,0,gpt-5
amman_query_1jA0_v7p_4KHVbia4DG7Bw,clean,1234,31.953900,35.910600,31.943147,35.846882,6.1296,0,gpt-5
amman_query_1n6vx0uExn56MfvA6toRJw,clean,1234,39.947000,32.646000,31.997765,35.882059,930.4587,0,gpt-5
amman_query_1qMrYvXqBvZDS0XUd5cEtg,clean,1234,31.950000,35.930000,31.937378,35.849925,7.6849,0,gpt-5
amman_query_1rZerb0T7z_1E7yKfEBCtA,clean,1234,31.953000,35.910000,31.968570,35.841738,6.6684,0,gpt-5
amman_query_1uJbVMOMqlPVx4GYc2BgOA,clean,1234,31.778000,35.219000,31.958280,35.846258,62.5345,0,gpt-5
amman_query_23YO5CD18Cg_wG_ZhqhbQQ,clean,1234,27.153000,-13.203000,31.945762,35.850234,4735.1182,0,gpt-5
