query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,none,positive,20,toronto:244,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,none,positive,15,amman:30,amman:31,15.680004,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,1234,none,positive,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,1234,none,positive,1,boston:87,boston:87,15.679997,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,1234,none,positive,4,amman:23,amman:21,15.680000,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_3,1234,none,positive,11,cph:279,amman:21,15.679995,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,isotropic,1234,none,positive,48,nairobi:20,boston:262,15.680000,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_3,1234,none,positive,292,nairobi:5,boston:262,15.680002,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,1234,none,positive,1125,amman:35,amman:37,15.680000,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,transfer_3,1234,none,positive,1329,toronto:27,amman:37,15.679995,36.1773
boston_query_-0n5FDAuOditKvxIekIbBg,isotropic,1234,none,positive,1,boston:239,boston:239,15.679997,36.1773
boston_query_-0n5FDAuOditKvxIekIbBg,transfer_3,1234,none,positive,23,london:84,boston:239,15.680000,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,1234,none,positive,29,amman:4,amman:23,15.680000,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,transfer_3,1234,none,positive,71,amman:4,amman:23,15.679995,36.1773
boston_query_-3hM-MR6uuw3se14vw3G0w,isotropic,1234,none,positive,424,boston:47,boston:84,15.680000,36.1773
boston_query_-3hM-MR6uuw3se14vw3G0w,transfer_3,1234,none,positive,1181,boston:47,boston:84,15.679998,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,1234,none,positive,80,manila:67,amman:30,15.679998,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,transfer_3,1234,none,positive,73,nairobi:10,amman:30,15.679998,36.1773
boston_query_-4vuSn0vvcBVOccgQqFlow,isotropic,1234,none,positive,580,nairobi:20,boston:149,15.680000,36.1773
boston_query_-4vuSn0vvcBVOccgQqFlow,transfer_3,1234,none,positive,616,london:63,boston:149,15.680000,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,none,positive,159,nairobi:20,amman:29,15.679998,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,transfer_3,1234,none,positive,195,nairobi:20,amman:29,15.679998,36.1773
boston_query_-5-CNr3q7kmRGcDSMueI4w,isotropic,1234,none,positive,2,nairobi:18,boston:234,15.679998,36.1773
boston_query_-5-CNr3q7kmRGcDSMueI4w,transfer_3,1234,none,positive,96,toronto:236,boston:234,15.679997,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,1234,none,positive,65,amman:23,amman:6,15.679997,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,transfer_3,1234,none,positive,155,manila:72,amman:6,15.680000,36.1773
boston_query_-6RLrPXAeunQaNK6m645ZA,isotropic,1234,none,positive,28,london:125,boston:237,15.680002,36.1773
boston_query_-6RLrPXAeunQaNK6m645ZA,transfer_3,1234,none,positive,2,manila:171,boston:237,15.679998,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,isotropic,1234,none,positive,167,manila:29,amman:26,15.679998,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,transfer_3,1234,none,positive,375,amman:11,amman:26,15.679997,36.1773
boston_query_-7KZUz5u8-7ja98pf8etVA,isotropic,1234,none,positive,1382,manila:183,boston:176,15.680000,36.1773
boston_query_-7KZUz5u8-7ja98pf8etVA,transfer_3,1234,none,positive,1879,manila:183,boston:176,15.680000,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,isotropic,1234,none,positive,25,cph:279,amman:0,15.680000,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,transfer_3,1234,none,positive,689,manila:67,amman:0,15.679996,36.1773
boston_query_-8cIAPzC7_za-xCEWsIoK2,isotropic,1234,none,positive,226,toronto:88,boston:248,15.680002,36.1773
boston_query_-8cIAPzC7_za-xCEWsIoK2,transfer_3,1234,none,positive,229,london:21,boston:248,15.679998,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,isotropic,1234,none,positive,905,amman:30,amman:35,15.679998,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,transfer_3,1234,none,positive,146,london:131,amman:35,15.679997,36.1773
boston_query_-9Lur-PAHqcMspWszAgfqw,isotropic,1234,none,positive,31,zurich:35,boston:249,15.679998,36.1773
boston_query_-9Lur-PAHqcMspWszAgfqw,transfer_3,1234,none,positive,2,amman:1,boston:249,15.679998,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,isotropic,1234,none,positive,2,toronto:244,amman:11,15.680000,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,transfer_3,1234,none,positive,11,amman:4,amman:11,15.680002,36.1773
boston_query_-9gbUk-DmX9AOqntuN1nEm,isotropic,1234,none,positive,624,london:34,boston:168,15.679995,36.1773
boston_query_-9gbUk-DmX9AOqntuN1nEm,transfer_3,1234,none,positive,807,london:119,boston:168,15.680000,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,isotropic,1234,none,positive,24,toronto:244,amman:32,15.679997,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,transfer_3,1234,none,positive,188,manila:53,amman:32,15.680000,36.1773
boston_query_-AJWNV55EAzvKArt5mMYqg,isotropic,1234,none,positive,332,zurich:111,boston:144,15.679997,36.1773
boston_query_-AJWNV55EAzvKArt5mMYqg,transfer_3,1234,none,positive,1090,zurich:5,boston:144,15.680000,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,isotropic,1234,none,positive,33,amman:4,amman:23,15.680000,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,transfer_3,1234,none,positive,61,amman:35,amman:23,15.679998,36.1773
boston_query_-Ae9_7GnntvqV8myNb9fhv,isotropic,1234,none,positive,201,toronto:244,boston:191,15.680000,36.1773
boston_query_-Ae9_7GnntvqV8myNb9fhv,transfer_3,1234,none,positive,555,zurich:22,boston:191,15.680000,36.1773
amman_query_0-2jyV8XAzdAOYMkdyQVLw,isotropic,1234,none,positive,20,toronto:274,amman:6,15.679998,36.1773
amman_query_0-2jyV8XAzdAOYMkdyQVLw,transfer_3,1234,none,positive,76,cph:162,amman:6,15.679997,36.1773
boston_query_-BE36-GG_yM6YS57M_uMTQ,isotropic,1234,none,positive,337,boston:47,boston:84,15.679997,36.1773
boston_query_-BE36-GG_yM6YS57M_uMTQ,transfer_3,1234,none,positive,658,boston:47,boston:84,15.679998,36.1773
amman_query_051WRvR5gI1vde606oseFw,isotropic,1234,none,positive,53,amman:6,amman:23,15.679997,36.1773
amman_query_051WRvR5gI1vde606oseFw,transfer_3,1234,none,positive,145,amman:4,amman:23,15.680000,36.1773
boston_query_-CNeDzWqfei0F-1CmA8N9A,isotropic,1234,none,positive,152,nairobi:10,boston:156,15.680000,36.1773
boston_query_-CNeDzWqfei0F-1CmA8N9A,transfer_3,1234,none,positive,401,manila:89,boston:156,15.680002,36.1773
amman_query_0CjrhmzpvqXBOIBsGB6LcQ,isotropic,1234,none,positive,11,cph:279,amman:21,15.679997,36.1773
amman_query_0CjrhmzpvqXBOIBsGB6LcQ,transfer_3,1234,none,positive,41,manila:143,amman:21,15.680008,36.1773
boston_query_-D-onyWSIw3M1SbsxL7X-g,isotropic,1234,none,positive,484,toronto:273,boston:27,15.679997,36.1773
boston_query_-D-onyWSIw3M1SbsxL7X-g,transfer_3,1234,none,positive,466,toronto:273,boston:27,15.680002,36.1773
amman_query_0IvHKlYEfFEP39KRxr9UZg,isotropic,1234,none,positive,1,amman:22,amman:22,15.680000,36.1773
amman_query_0IvHKlYEfFEP39KRxr9UZg,transfer_3,1234,none,positive,1,amman:22,amman:22,15.680001,36.1773
boston_query_-DYvemYiNwx_BmPSrlUWIA,isotropic,1234,none,positive,985,zurich:61,boston:144,15.680000,36.1773
boston_query_-DYvemYiNwx_BmPSrlUWIA,transfer_3,1234,none,positive,1386,boston:19,boston:144,15.679997,36.1773
amman_query_0NfGsYmI9MkLl0JzfO-tJg,isotropic,1234,none,positive,1747,toronto:3,amman:37,15.680000,36.1773
amman_query_0NfGsYmI9MkLl0JzfO-tJg,transfer_3,1234,none,positive,600,toronto:3,amman:37,15.679998,36.1773
boston_query_-DZ2jmUKLylFospVHUJx9w,isotropic,1234,none,positive,439,zurich:61,boston:144,15.679998,36.1773
