query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,clipping_fraction,weight_top10pct_share,placement,operator,label,backbone,seed,gallery_size
amman_query_-39Q9edqZUArYHa41OPDoQ,amman_database_R8Ij4xihH7Ic6-CiDTeF5Q,3,0.8154209852218628,amman_database_nWYyW9ndofku1hRS683yLQ,0.8422895669937134,-0.026868581771850586,amman_database_nWYyW9ndofku1hRS683yLQ,1,1,24.153639187064122,0.2507728934288025,249.871337890625,0.0,0.10000001639127731,uniform,blur,uniform same-energy,resnet18,1234,0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,0.8347166776657104,boston_database_jLZBxhi43xRqNGpFX8eD5g,0.8253359794616699,0.009380698204040527,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,1,24.33618373497792,0.25078102946281433,239.5863037109375,0.0,0.10000001639127731,uniform,blur,uniform same-energy,resnet18,1234,0
cph_query_--FyHVca3HP-QgUmcAvToA,cph_database_0dcx1DoaGzM3QYU_47-ctA,460,0.7580163478851318,boston_database_DU3FJGAh3PrB45a580xbGg,0.8635497093200684,-0.10553336143493652,boston_database_DU3FJGAh3PrB45a580xbGg,0,0,24.130496513661154,0.2507774531841278,251.20640563964844,0.00015733507461845875,0.09999999403953552,uniform,blur,uniform same-energy,resnet18,1234,0
london_query_-0u7VsCOCAmwH4RFsN5BoA,london_database_f9ng8k9Ngt4UWja_a-mjaw,76,0.7413384914398193,manila_database_7KGkKqqwR9hI-v8IpCScuw,0.776866614818573,-0.03552812337875366,manila_database_7KGkKqqwR9hI-v8IpCScuw,0,0,24.459664283971428,0.25077372789382935,232.87020874023438,0.0,0.09999999403953552,uniform,blur,uniform same-energy,resnet18,1234,0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila_database_Zr6IH7wDsmdaq7VyLJLKDg,283,0.7392115592956543,toronto_database_0x_H_shrKIZbQbS2YCzNCA,0.8214647769927979,-0.08225321769714355,toronto_database_0x_H_shrKIZbQbS2YCzNCA,0,0,24.14237765266587,0.2507741451263428,250.52011108398438,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi_database_fdXQFliJlP2K6rvw_jLOnQ,1998,0.5091051459312439,zurich_database_4-7L3aTGT-P2Zip2jLHH2Q,0.8142755031585693,-0.30517035722732544,zurich_database_4-7L3aTGT-P2Zip2jLHH2Q,0,0,24.08751435863362,0.25077372789382935,253.70494079589844,0.0,0.09999999403953552,uniform,blur,uniform same-energy,resnet18,1234,0
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto_database_0QyuPlWm96qqrBB0CnKhCA,106,0.758216142654419,amman_database_7idHK50JT-7rDnVryRzV2w,0.8032122850418091,-0.04499614238739014,amman_database_7idHK50JT-7rDnVryRzV2w,0,0,24.450095892074295,0.25076574087142944,233.3838348388672,0.0,0.10000000894069672,uniform,blur,uniform same-energy,resnet18,1234,0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich_database_-HCJzG0hfWp37masmZHY6A,850,0.656959056854248,boston_database_8WsAQjjSY5TY-dZDlgJQrg,0.7903435230255127,-0.13338446617126465,boston_database_8WsAQjjSY5TY-dZDlgJQrg,0,0,24.086003310390026,0.2507779896259308,253.79322814941406,0.0,0.10000000894069672,uniform,blur,uniform same-energy,resnet18,1234,0
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman_database_Ld8UF_WG7d620clwmhmA7w,2,0.8102266788482666,amman_database_83JeviUS_J6DBsBA1i9tuA,0.815244197845459,-0.005017518997192383,amman_database_83JeviUS_J6DBsBA1i9tuA,1,1,24.051322284485725,0.2507794499397278,255.82803344726562,0.0,0.09999999403953552,uniform,blur,uniform same-energy,resnet18,1234,0
boston_query_--VtRctVkqAafFr5b_6GXg,boston_database_UwsH5HN1NhjYYf2i_SZMMw,401,0.717595100402832,manila_database_5epuq5tYovqXrYnobxqP_A,0.7822530269622803,-0.06465792655944824,manila_database_5epuq5tYovqXrYnobxqP_A,0,0,24.23651934162863,0.25077250599861145,245.14804077148438,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph_database_Ql2MXoTNSGeDQGwctdxVdA,1,0.8692003488540649,cph_database_6fnBKZ5y6JLHZ30W5ZJgRg,0.8660427927970886,0.0031575560569763184,cph_database_Ql2MXoTNSGeDQGwctdxVdA,1,1,24.06782633342164,0.2507750391960144,254.85768127441406,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
london_query_-4Vq2O1PhPmG6WK-yV402Q,london_database_ZMtlIMgqMeKcrAIPxCMp3g,18,0.7395007610321045,toronto_database_8qOq6ZJGQFAHGlRgRSoFTQ,0.7632043361663818,-0.023703575134277344,toronto_database_8qOq6ZJGQFAHGlRgRSoFTQ,0,0,24.364464671146653,0.250778466463089,238.0312042236328,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
manila_query_-10rV9IlRhgTnk5e_QJbgA,manila_database_0wqg4yZy3oY5f47OYg5ZqA,954,0.681735634803772,amman_database_03BobRbPyEDe0jl1HDZCYw,0.7877414226531982,-0.10600578784942627,amman_database_03BobRbPyEDe0jl1HDZCYw,0,0,24.855017215220197,0.2507728934288025,212.60752868652344,0.0,0.10000001639127731,uniform,blur,uniform same-energy,resnet18,1234,0
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,nairobi_database_0_-U_Nygj4_rZ69fGe11pw,390,0.7578649520874023,boston_database_3ao-DEd7AMSSjNH2xSoM6g,0.8186622858047485,-0.06079733371734619,boston_database_3ao-DEd7AMSSjNH2xSoM6g,0,0,24.05967689879176,0.25077036023139954,255.33636474609375,0.0,0.10000000894069672,uniform,blur,uniform same-energy,resnet18,1234,0
toronto_query_-3UT7A8bNUkVBgSLW30-ow,toronto_database_ahYWgqSEuXW1UvHqjcvhbg,126,0.6414728164672852,manila_database_1S5f9WNYeS_HLywcQmxSEg,0.6968294382095337,-0.055356621742248535,manila_database_1S5f9WNYeS_HLywcQmxSEg,0,0,24.61984554556093,0.25077131390571594,224.4376983642578,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,zurich_database_QPh-xm_k65r5XMkcuJeS3Q,66,0.7900700569152832,zurich_database_1goWOvtyEe9_94kIF29nZA,0.8310692310333252,-0.04099917411804199,zurich_database_1goWOvtyEe9_94kIF29nZA,0,0,24.540151100543575,0.25077539682388306,228.59422302246094,0.00018988715601153672,0.09999998658895493,uniform,blur,uniform same-energy,resnet18,1234,0
amman_query_-BJoV1t0rKwEzk0bsZplVQ,amman_database_RybCghn6dxdppOd3XPQXhw,1584,0.637753963470459,toronto_database_-8epnekopgTu-r95toPhbg,0.8098477125167847,-0.17209374904632568,toronto_database_-8epnekopgTu-r95toPhbg,0,0,24.080609767817556,0.2507748603820801,254.10861206054688,0.00015190972771961242,0.09999999403953552,uniform,blur,uniform same-energy,resnet18,1234,0
boston_query_-0n5FDAuOditKvxIekIbBg,boston_database_0-UUkPasBJ3e3InjW6isBg,1,0.7519582509994507,zurich_database_5MssajSCpVJWC-NNGYm-EQ,0.7239719033241272,0.027986347675323486,boston_database_0-UUkPasBJ3e3InjW6isBg,1,1,25.101502484342255,0.2507784366607666,200.876953125,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
cph_query_--xKnCCc_4tDGo80iM-A_g,cph_database_2_XsYL2TeW-tmupH9iXwiw,146,0.77899569272995,cph_database_Ql2MXoTNSGeDQGwctdxVdA,0.8347507119178772,-0.055755019187927246,cph_database_Ql2MXoTNSGeDQGwctdxVdA,0,0,24.172402874202525,0.2507784366607666,248.79409790039062,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
london_query_-4pmBOZmF-ynXSkWw5BAew,london_database_5a908C1LT7cfUlW0-urdfA,14,0.8197003602981567,cph_database_3W8E1rSSw3j39aRIQxFwww,0.8483419418334961,-0.028641581535339355,cph_database_3W8E1rSSw3j39aRIQxFwww,0,0,24.476543353375785,0.25077053904533386,231.96690368652344,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
manila_query_-2h231ovohZWmrsaBllNyw,manila_database_3YYbSazXEctb158TDECM7Q,135,0.7798929214477539,cph_database_0nZJCIlWvN21hdTwFT-XOQ,0.8363341093063354,-0.05644118785858154,cph_database_0nZJCIlWvN21hdTwFT-XOQ,0,0,24.2801067191046,0.2507748603820801,242.699951171875,0.0,0.09999999403953552,uniform,blur,uniform same-energy,resnet18,1234,0
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,nairobi_database_LSnVsJjFK6VuEpGNIOYDaw,179,0.7906842827796936,zurich_database_4-amN7nLphQF0Qv7LEKCqQ,0.8575562238693237,-0.06687194108963013,zurich_database_4-amN7nLphQF0Qv7LEKCqQ,0,0,24.471351099689336,0.2507757842540741,232.24440002441406,0.007313367910683155,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,toronto_database_76nIzPCLBw3jsfFraKvLlg,1,0.8575817346572876,toronto_database_5ey9E_udkLByc3LTBLFD3A,0.8569475412368774,0.0006341934204101562,toronto_database_76nIzPCLBw3jsfFraKvLlg,1,1,24.50212080487773,0.25077104568481445,230.60476684570312,0.0,0.09999999403953552,uniform,blur,uniform same-energy,resnet18,1234,0
zurich_query_-4StYjY5sT1S23ls5heCbg,zurich_database_0xDpDYmaqAvDwfmwyFRFZw,1,0.8862673044204712,cph_database_oON-aTb_EaJmZBKUGJsSYw,0.8509407043457031,0.035326600074768066,zurich_database_0xDpDYmaqAvDwfmwyFRFZw,1,1,24.4296806320395,0.25077372789382935,234.48350524902344,0.0,0.09999999403953552,uniform,blur,uniform same-energy,resnet18,1234,0
amman_query_-D0IlKF__f0c9DPAKbiYnw,amman_database_83JeviUS_J6DBsBA1i9tuA,35,0.7403756380081177,amman_database_q8IKz1dYe84bII8aKmSgZw,0.8080616593360901,-0.06768602132797241,amman_database_q8IKz1dYe84bII8aKmSgZw,0,0,24.054932123581082,0.2507750391960144,255.615478515625,0.0008246527868323028,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
boston_query_-3hM-MR6uuw3se14vw3G0w,boston_database_Ald8XklVXJv2wFOcWoD7SA,241,0.7492097020149231,boston_database_4FDiXrluACXMwFexJ7QSmA,0.860695481300354,-0.11148577928543091,boston_database_4FDiXrluACXMwFexJ7QSmA,0,0,24.430427359688395,0.2507822811603546,234.4431915283203,0.0016927083488553762,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
cph_query_-05vIhjxDNupFcgaM90L3w,cph_database_T7zbMe-_pVjIRayCf9mfQw,7,0.8119016289710999,manila_database_1-NjZL9b8KTrSIldAnLivA,0.8467894792556763,-0.034887850284576416,manila_database_1-NjZL9b8KTrSIldAnLivA,0,1,24.46093991795494,0.2507733702659607,232.80181884765625,0.0,0.10000000894069672,uniform,blur,uniform same-energy,resnet18,1234,0
london_query_-5QOE2AlZX8rEz8ONtGRrg,london_database_7NuzdrMI9lHNaBHwtbChxQ,5,0.7353689670562744,boston_database_fVeuY3ynZHyW94n3W-J3cA,0.7696373462677002,-0.03426837921142578,boston_database_fVeuY3ynZHyW94n3W-J3cA,1,1,24.34512968715383,0.2507743537425995,239.09329223632812,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,manila_database_-VWrhS101xkbdgoKX_ctiw,546,0.7440201044082642,amman_database_7idHK50JT-7rDnVryRzV2w,0.8292856216430664,-0.08526551723480225,amman_database_7idHK50JT-7rDnVryRzV2w,0,0,24.44408752337553,0.25076866149902344,233.70693969726562,0.0,0.10000000149011612,uniform,blur,uniform same-energy,resnet18,1234,0
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,nairobi_database_7MRW-3Ez_WmqEo7oDHnYJw,134,0.6959753632545471,london_database_JeQXfjTo6VURMPAXsqqrqw,0.7625661492347717,-0.06659078598022461,london_database_JeQXfjTo6VURMPAXsqqrqw,0,0,24.31786214162948,0.250775545835495,240.59918212890625,0.0009874132229015231,0.10000000894069672,uniform,blur,uniform same-energy,resnet18,1234,0
toronto_query_-4mlNvZUZnbmRaGbiIndoA,toronto_database_aGiRwJJAlM_N-HVpKyVj_Q,1,0.838751494884491,toronto_database_-LZo-J5Xo0ON1W4rweR9EA,0.8235126733779907,0.015238821506500244,toronto_database_aGiRwJJAlM_N-HVpKyVj_Q,1,1,24.484799892988313,0.25077539682388306,231.5263214111328,0.0,0.09999998658895493,uniform,blur,uniform same-energy,resnet18,1234,0
