query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,clipping_fraction,weight_top10pct_share,placement,operator,label,backbone,seed,gallery_size
amman_query_-39Q9edqZUArYHa41OPDoQ,amman_database_230ybQVhceCf4Sln4SPOMQ,1,0.8219109773635864,boston_database_4XdWG8DPkgNgP9gTgG4z7A,0.8152559995651245,0.006654977798461914,amman_database_230ybQVhceCf4Sln4SPOMQ,1,1,36.07645396486964,0.2507728934288025,16.048519134521484,0.0015896267723292112,0.10000001639127731,uniform,correlated,uniform same-energy,resnet18,1234,0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,0.9321686625480652,boston_database_0XkG0EUDAUX3eUfdrB2wyw,0.8912607431411743,0.04090791940689087,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,1,36.0854329674211,0.25078102946281433,16.01537322998047,0.0032986111473292112,0.10000001639127731,uniform,correlated,uniform same-energy,resnet18,1234,0
cph_query_--FyHVca3HP-QgUmcAvToA,cph_database_0Q0gtEqeli73OIL6hl2ULA,79,0.8195147514343262,zurich_database_0HkaGQJfrR9isq2wbtootQ,0.8782109022140503,-0.05869615077972412,zurich_database_0HkaGQJfrR9isq2wbtootQ,0,0,36.104753015056275,0.2507774531841278,15.94428539276123,0.0084364153444767,0.09999999403953552,uniform,correlated,uniform same-energy,resnet18,1234,0
london_query_-0u7VsCOCAmwH4RFsN5BoA,london_database_f9ng8k9Ngt4UWja_a-mjaw,142,0.7757470607757568,toronto_database_8aHbQwynhIr0XfyXIGqbdA,0.8201637268066406,-0.04441666603088379,toronto_database_8aHbQwynhIr0XfyXIGqbdA,0,0,36.353453167477085,0.25077372789382935,15.05688190460205,0.05486653745174408,0.09999999403953552,uniform,correlated,uniform same-energy,resnet18,1234,0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila_database_Zr6IH7wDsmdaq7VyLJLKDg,69,0.7985297441482544,manila_database_7SvIlqofRbYQV3lrbSx6XQ,0.8503179550170898,-0.05178821086883545,manila_database_7SvIlqofRbYQV3lrbSx6XQ,0,0,36.06996507942749,0.2507741451263428,16.0725154876709,0.0008246527868323028,0.10000000149011612,uniform,correlated,uniform same-energy,resnet18,1234,0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi_database_fdXQFliJlP2K6rvw_jLOnQ,2000,0.4963538944721222,boston_database_1CSb8crQRMh-oNn0kHeBYQ,0.8317371606826782,-0.33538326621055603,boston_database_1CSb8crQRMh-oNn0kHeBYQ,0,0,36.066749761311065,0.25077372789382935,16.08441925048828,0.00017903646221384406,0.09999999403953552,uniform,correlated,uniform same-energy,resnet18,1234,0
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto_database_cpH_YNfOfuzoHjMkPVBH8w,2,0.8595925569534302,cph_database_5GKxJZYxgwMMJsgDfMxZ1w,0.8636879324913025,-0.0040953755378723145,cph_database_5GKxJZYxgwMMJsgDfMxZ1w,1,1,36.273713272469124,0.25076574087142944,15.335891723632812,0.04154188185930252,0.10000000894069672,uniform,correlated,uniform same-energy,resnet18,1234,0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich_database_6NPG2JUZ0tfT5suxTsfVhQ,301,0.7826018333435059,cph_database_4DAmgI9qwyw3BPfQFAwfGg,0.8445407152175903,-0.06193888187408447,cph_database_4DAmgI9qwyw3BPfQFAwfGg,0,0,36.0685031824114,0.2507779896259308,16.077926635742188,0.0003580729244276881,0.10000000894069672,uniform,correlated,uniform same-energy,resnet18,1234,0
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman_database_Ld8UF_WG7d620clwmhmA7w,1,0.8975694179534912,amman_database_ONY-rsH_3nthK111PVrqsg,0.8628692030906677,0.034700214862823486,amman_database_Ld8UF_WG7d620clwmhmA7w,1,1,36.06691765524441,0.2507794499397278,16.083797454833984,0.0002929687616415322,0.09999999403953552,uniform,correlated,uniform same-energy,resnet18,1234,0
boston_query_--VtRctVkqAafFr5b_6GXg,boston_database_-kNQJwASjleD9ms-Y23wMQ,195,0.8030613660812378,manila_database_5epuq5tYovqXrYnobxqP_A,0.8649023175239563,-0.061840951442718506,manila_database_5epuq5tYovqXrYnobxqP_A,0,0,36.08123566763601,0.25077250599861145,16.030858993530273,0.002506510354578495,0.10000000149011612,uniform,correlated,uniform same-energy,resnet18,1234,0
