query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,clipping_fraction,weight_top10pct_share,placement,operator,label,backbone,seed,gallery_size
amman_query_-39Q9edqZUArYHa41OPDoQ,amman_database_230ybQVhceCf4Sln4SPOMQ,1,0.8704068064689636,manila_database_6-Ge4mVQgHummzC1udZtig,0.8549948334693909,0.015411972999572754,amman_database_230ybQVhceCf4Sln4SPOMQ,1,1,36.076455513332384,0.2507728934288025,16.048513412475586,0.0016927083488553762,0.10000001639127731,uniform,gaussian,uniform same-energy,resnet18,1234,0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,0.9400938153266907,boston_database_0XkG0EUDAUX3eUfdrB2wyw,0.907168447971344,0.03292536735534668,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,1,36.085434001866034,0.25078102946281433,16.015369415283203,0.00345594622194767,0.10000001639127731,uniform,gaussian,uniform same-energy,resnet18,1234,0
cph_query_--FyHVca3HP-QgUmcAvToA,cph_database_0dcx1DoaGzM3QYU_47-ctA,78,0.8260195255279541,boston_database_DU3FJGAh3PrB45a580xbGg,0.8792542219161987,-0.05323469638824463,boston_database_DU3FJGAh3PrB45a580xbGg,0,0,36.104753015056275,0.2507774531841278,15.94428539276123,0.008175997994840145,0.09999999403953552,uniform,gaussian,uniform same-energy,resnet18,1234,0
london_query_-0u7VsCOCAmwH4RFsN5BoA,london_database_f9ng8k9Ngt4UWja_a-mjaw,137,0.7915432453155518,toronto_database_8aHbQwynhIr0XfyXIGqbdA,0.8412594199180603,-0.049716174602508545,toronto_database_8aHbQwynhIr0XfyXIGqbdA,0,0,36.353453992698796,0.25077372789382935,15.056879043579102,0.05302191898226738,0.09999999403953552,uniform,gaussian,uniform same-energy,resnet18,1234,0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila_database_Zr6IH7wDsmdaq7VyLJLKDg,46,0.8283780813217163,manila_database_7vOvfavBmZmLG0s8XGaBbA,0.8702365159988403,-0.04185843467712402,manila_database_7vOvfavBmZmLG0s8XGaBbA,0,0,36.069966625578374,0.2507741451263428,16.072509765625,0.000732421875,0.10000000149011612,uniform,gaussian,uniform same-energy,resnet18,1234,0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi_database_fdXQFliJlP2K6rvw_jLOnQ,2000,0.5186717510223389,amman_database_5ymzd7ILNCKrAYOn-vJkbg,0.8344652056694031,-0.3157934546470642,amman_database_5ymzd7ILNCKrAYOn-vJkbg,0,0,36.066749761311065,0.25077372789382935,16.08441925048828,0.00022786458430346102,0.09999999403953552,uniform,gaussian,uniform same-energy,resnet18,1234,0
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto_database_0ItNHOVZYAjAFyIWcZNw3Q,1,0.8600473403930664,zurich_database_VgwLuWhpDSqjlB2NYlCDAw,0.8553160429000854,0.004731297492980957,toronto_database_0ItNHOVZYAjAFyIWcZNw3Q,1,1,36.273713002399745,0.25076574087142944,15.335892677307129,0.04057617112994194,0.10000000894069672,uniform,gaussian,uniform same-energy,resnet18,1234,0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich_database_TZZASHVyX8JX4JCtjaZu8A,114,0.8249912261962891,zurich_database_2IFVvdawkgwfoEkc1UpdCw,0.8630610704421997,-0.038069844245910645,zurich_database_2IFVvdawkgwfoEkc1UpdCw,0,0,36.068502667201344,0.2507779896259308,16.07792854309082,0.0005154079990461469,0.10000000894069672,uniform,gaussian,uniform same-energy,resnet18,1234,0
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman_database_Ld8UF_WG7d620clwmhmA7w,1,0.8958662748336792,amman_database_ONY-rsH_3nthK111PVrqsg,0.8687210083007812,0.02714526653289795,amman_database_Ld8UF_WG7d620clwmhmA7w,1,1,36.06691868528857,0.2507794499397278,16.08379364013672,0.0002821180678438395,0.09999999403953552,uniform,gaussian,uniform same-energy,resnet18,1234,0
boston_query_--VtRctVkqAafFr5b_6GXg,boston_database_UwsH5HN1NhjYYf2i_SZMMw,167,0.8062314987182617,manila_database_5epuq5tYovqXrYnobxqP_A,0.8728631138801575,-0.06663161516189575,manila_database_5epuq5tYovqXrYnobxqP_A,0,0,36.081236184358815,0.25077250599861145,16.03085708618164,0.0025499132461845875,0.10000000149011612,uniform,gaussian,uniform same-energy,resnet18,1234,0
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph_database_m8v7yRzg-Ahnt8itIkwjQA,1,0.9168934226036072,zurich_database_JlQZqZETcsktpyAY5mc1pg,0.8812962770462036,0.035597145557403564,cph_database_m8v7yRzg-Ahnt8itIkwjQA,1,1,36.066289888774946,0.2507750391960144,16.086122512817383,0.00014105903392191976,0.10000000149011612,uniform,gaussian,uniform same-energy,resnet18,1234,0
london_query_-4Vq2O1PhPmG6WK-yV402Q,london_database_ZMtlIMgqMeKcrAIPxCMp3g,1,0.8905925750732422,london_database_8m5P4YTaevUpbWaQ62dnUA,0.8782355785369873,0.012356996536254883,london_database_ZMtlIMgqMeKcrAIPxCMp3g,1,1,36.295159685728656,0.250778466463089,15.260346412658691,0.04944661632180214,0.10000000149011612,uniform,gaussian,uniform same-energy,resnet18,1234,0
manila_query_-10rV9IlRhgTnk5e_QJbgA,manila_database_8aFsf-s2G5vsaCKgNpxZxA,546,0.7689346075057983,manila_database_403INTlXpIBnsRFhSgUFOw,0.8685493469238281,-0.09961473941802979,manila_database_403INTlXpIBnsRFhSgUFOw,0,0,36.31709031622427,0.2507728934288025,15.183480262756348,0.04122721403837204,0.10000001639127731,uniform,gaussian,uniform same-energy,resnet18,1234,0
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,nairobi_database_XdvgQAdvS4ZnbRq1lFmPvA,6,0.8554354906082153,nairobi_database_8EpNpg4GR6Luc8vhHaWjNQ,0.873002827167511,-0.017567336559295654,nairobi_database_8EpNpg4GR6Luc8vhHaWjNQ,0,1,36.06712881940639,0.25077036023139954,16.08301544189453,0.00030381945543922484,0.10000000894069672,uniform,gaussian,uniform same-energy,resnet18,1234,0
toronto_query_-3UT7A8bNUkVBgSLW30-ow,toronto_database_ahYWgqSEuXW1UvHqjcvhbg,57,0.7708182334899902,boston_database_4ZbdgBgOEO3l9iL-DzVnYA,0.8149977922439575,-0.044179558753967285,boston_database_4ZbdgBgOEO3l9iL-DzVnYA,0,0,36.239374220091236,0.25077131390571594,15.45763111114502,0.03422309085726738,0.10000000149011612,uniform,gaussian,uniform same-energy,resnet18,1234,0
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,zurich_database_62HR56sCdEq3XIADUUPmBw,14,0.8476911783218384,toronto_database_8WmAPKRjvJVk_G6ITzFa3g,0.8715101480484009,-0.0238189697265625,toronto_database_8WmAPKRjvJVk_G6ITzFa3g,0,0,36.16206805769294,0.25077539682388306,15.735246658325195,0.01747504249215126,0.09999998658895493,uniform,gaussian,uniform same-energy,resnet18,1234,0
amman_query_-BJoV1t0rKwEzk0bsZplVQ,amman_database_RybCghn6dxdppOd3XPQXhw,1809,0.6465649604797363,amman_database_TAHAih6CiD8ZHZpJqmk4NA,0.8523241281509399,-0.2057591676712036,amman_database_TAHAih6CiD8ZHZpJqmk4NA,0,0,36.068626834590816,0.2507748603820801,16.077468872070312,0.0006130642141215503,0.09999999403953552,uniform,gaussian,uniform same-energy,resnet18,1234,0
boston_query_-0n5FDAuOditKvxIekIbBg,boston_database_0-UUkPasBJ3e3InjW6isBg,1,0.8434484004974365,manila_database_3ED-M6yl_Y4YZkenDNv49Q,0.8128854036331177,0.030562996864318848,boston_database_0-UUkPasBJ3e3InjW6isBg,1,1,36.244000029048145,0.2507784366607666,15.44117546081543,0.02935112826526165,0.10000000149011612,uniform,gaussian,uniform same-energy,resnet18,1234,0
cph_query_--xKnCCc_4tDGo80iM-A_g,cph_database_2_XsYL2TeW-tmupH9iXwiw,1,0.8951778411865234,toronto_database_4u5iuDYlmff6eOykSBG4Aw,0.8943750858306885,0.0008027553558349609,cph_database_2_XsYL2TeW-tmupH9iXwiw,1,1,36.118858234216,0.2507784366607666,15.892584800720215,0.0101453997194767,0.10000000149011612,uniform,gaussian,uniform same-energy,resnet18,1234,0
london_query_-4pmBOZmF-ynXSkWw5BAew,london_database_5a908C1LT7cfUlW0-urdfA,1,0.8628263473510742,boston_database_87FhiPPfL3LnNnixjZ3Img,0.8538732528686523,0.008953094482421875,london_database_5a908C1LT7cfUlW0-urdfA,1,1,36.44377137624812,0.25077053904533386,14.746984481811523,0.07968207448720932,0.10000000149011612,uniform,gaussian,uniform same-energy,resnet18,1234,0
manila_query_-2h231ovohZWmrsaBllNyw,manila_database_AtwA7nHo3oRCY9gITWUBSw,108,0.8116406202316284,cph_database_XtStyqOnyclJ6DFytgpC0Q,0.8633742928504944,-0.05173367261886597,cph_database_XtStyqOnyclJ6DFytgpC0Q,0,0,36.12993259929429,0.2507748603820801,15.852110862731934,0.011968315578997135,0.09999999403953552,uniform,gaussian,uniform same-energy,resnet18,1234,0
