query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,clipping_fraction,weight_top10pct_share,placement,operator,label,backbone,seed,gallery_size
amman_query_-39Q9edqZUArYHa41OPDoQ,amman_database_230ybQVhceCf4Sln4SPOMQ,1,0.8762009143829346,amman_database_83JeviUS_J6DBsBA1i9tuA,0.8544272780418396,0.02177363634109497,amman_database_230ybQVhceCf4Sln4SPOMQ,1,1,36.076454997178075,0.2507728934288025,16.04851531982422,0.0,0.10000001639127731,uniform,mosaic,uniform same-energy,resnet18,1234,0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,0.9501579999923706,boston_database_0XkG0EUDAUX3eUfdrB2wyw,0.9059907793998718,0.04416722059249878,boston_database_-XpWzw3N73sfAC2jKTbD5Q,1,1,36.085434001866034,0.25078102946281433,16.015369415283203,0.0,0.10000001639127731,uniform,mosaic,uniform same-energy,resnet18,1234,0
cph_query_--FyHVca3HP-QgUmcAvToA,cph_database_0dcx1DoaGzM3QYU_47-ctA,43,0.8441193103790283,boston_database_DU3FJGAh3PrB45a580xbGg,0.8871550559997559,-0.04303574562072754,boston_database_DU3FJGAh3PrB45a580xbGg,0,0,36.10475223576368,0.2507774531841278,15.94428825378418,0.0023437500931322575,0.09999999403953552,uniform,mosaic,uniform same-energy,resnet18,1234,0
london_query_-0u7VsCOCAmwH4RFsN5BoA,london_database_6MbCpJaLFsTGxLRixQ3Grg,206,0.7839030027389526,zurich_database_0r57m1gsoV4j_t4xOqtL7A,0.8367667198181152,-0.0528637170791626,zurich_database_0r57m1gsoV4j_t4xOqtL7A,0,0,36.353453167477085,0.25077372789382935,15.05688190460205,0.0,0.09999999403953552,uniform,mosaic,uniform same-energy,resnet18,1234,0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,manila_database_Zr6IH7wDsmdaq7VyLJLKDg,56,0.8265895247459412,manila_database_7vOvfavBmZmLG0s8XGaBbA,0.8802692890167236,-0.05367976427078247,manila_database_7vOvfavBmZmLG0s8XGaBbA,0,0,36.069966110194684,0.2507741451263428,16.072511672973633,0.0,0.10000000149011612,uniform,mosaic,uniform same-energy,resnet18,1234,0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,nairobi_database_fdXQFliJlP2K6rvw_jLOnQ,1999,0.5228824615478516,zurich_database_4-7L3aTGT-P2Zip2jLHH2Q,0.829780101776123,-0.3068976402282715,zurich_database_4-7L3aTGT-P2Zip2jLHH2Q,0,0,36.066748731306966,0.25077372789382935,16.084423065185547,0.0,0.09999999403953552,uniform,mosaic,uniform same-energy,resnet18,1234,0
toronto_query_-1caqsIDW4YpUBZB98J9uV,toronto_database_0ItNHOVZYAjAFyIWcZNw3Q,24,0.8485859632492065,zurich_database_VgwLuWhpDSqjlB2NYlCDAw,0.8696258068084717,-0.021039843559265137,zurich_database_VgwLuWhpDSqjlB2NYlCDAw,0,0,36.273713272469124,0.25076574087142944,15.335891723632812,0.012239583767950535,0.10000000894069672,uniform,mosaic,uniform same-energy,resnet18,1234,0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,zurich_database_TZZASHVyX8JX4JCtjaZu8A,147,0.8102514147758484,boston_database_7T5vnHPW4Xd12sc2X_jLfw,0.8592920303344727,-0.04904061555862427,boston_database_7T5vnHPW4Xd12sc2X_jLfw,0,0,36.068501636781434,0.2507779896259308,16.077932357788086,0.0,0.10000000894069672,uniform,mosaic,uniform same-energy,resnet18,1234,0
amman_query_-6eEB_fS2eePRNUql6vOrQ,amman_database_Ld8UF_WG7d620clwmhmA7w,1,0.9210300445556641,amman_database_4JYN6Wp8p1aN_2b6dP1Yyw,0.8822430372238159,0.038787007331848145,amman_database_Ld8UF_WG7d620clwmhmA7w,1,1,36.06691868528857,0.2507794499397278,16.08379364013672,0.0,0.09999999403953552,uniform,mosaic,uniform same-energy,resnet18,1234,0
boston_query_--VtRctVkqAafFr5b_6GXg,boston_database_UwsH5HN1NhjYYf2i_SZMMw,262,0.8042302131652832,manila_database_5epuq5tYovqXrYnobxqP_A,0.8846696615219116,-0.08043944835662842,manila_database_5epuq5tYovqXrYnobxqP_A,0,0,36.081236184358815,0.25077250599861145,16.03085708618164,0.0,0.10000000149011612,uniform,mosaic,uniform same-energy,resnet18,1234,0
cph_query_--kN3Y3n0x47vWa8WX-a8w,cph_database_m8v7yRzg-Ahnt8itIkwjQA,1,0.9105395078659058,zurich_database_4FlzweEjVGvnW3C9lZIYrw,0.8904311060905457,0.020108401775360107,cph_database_m8v7yRzg-Ahnt8itIkwjQA,1,1,36.066289888774946,0.2507750391960144,16.086122512817383,0.0,0.10000000149011612,uniform,mosaic,uniform same-energy,resnet18,1234,0
london_query_-4Vq2O1PhPmG6WK-yV402Q,london_database_ZMtlIMgqMeKcrAIPxCMp3g,1,0.903444230556488,london_database_8m5P4YTaevUpbWaQ62dnUA,0.897678792476654,0.005765438079833984,london_database_ZMtlIMgqMeKcrAIPxCMp3g,1,1,36.29515941432231,0.250778466463089,15.260347366333008,0.02938910573720932,0.10000000149011612,uniform,mosaic,uniform same-energy,resnet18,1234,0
manila_query_-10rV9IlRhgTnk5e_QJbgA,manila_database_8aFsf-s2G5vsaCKgNpxZxA,745,0.7695155143737793,manila_database_403INTlXpIBnsRFhSgUFOw,0.8719135522842407,-0.10239803791046143,manila_database_403INTlXpIBnsRFhSgUFOw,0,0,36.31708895232277,0.2507728934288025,15.18348503112793,0.0,0.10000001639127731,uniform,mosaic,uniform same-energy,resnet18,1234,0
