query_id,condition,seed,opt_steps,optimised_against,correct_rank,top1_place,correct_place,effective_mse,psnr,weight_top10pct_share,weight_mean_square,surrogate_sim_start,surrogate_sim_end
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,1234,20,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,2.815361,2.815361
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,1234,20,none,1,boston:87,boston:87,15.679998,36.1773,0.100000,1.000000,2.798285,2.798285
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,1234,20,none,20,london:8,cph:208,15.679997,36.1773,0.100000,1.000000,2.808749,2.808749
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,1234,20,none,1,london:51,london:51,15.679997,36.1773,0.100000,1.000000,2.844994,2.844994
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,1234,20,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,2.815361,2.815361
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,1234,20,none,1,boston:87,boston:87,15.679997,36.1773,0.100000,1.000000,2.798285,2.798285
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,1234,20,none,17,zurich:38,cph:208,15.680000,36.1773,0.100000,1.000000,2.808749,2.808749
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform_crossdraw,1234,20,none,2,london:21,london:51,15.679997,36.1773,0.100000,1.000000,2.844994,2.844994
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,1,amman:31,amman:31,15.680000,36.1773,0.540520,1.000000,2.815389,2.427005
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.679996,36.1773,0.520956,1.000000,2.798317,2.459612
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,27,boston:206,cph:208,15.679997,36.1773,0.526575,1.000000,2.808750,2.402046
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,2,manila:54,london:51,15.680001,36.1773,0.546792,1.000000,2.844990,2.512875
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,1,amman:31,amman:31,15.680000,36.1773,0.540520,1.000000,2.815389,2.427005
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.679997,36.1773,0.520956,1.000000,2.798317,2.459612
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,2,boston:206,cph:208,15.680000,36.1773,0.526575,1.000000,2.808750,2.402046
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,4,toronto:200,london:51,15.679996,36.1773,0.546792,1.000000,2.844990,2.512875
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,1,amman:31,amman:31,15.680000,36.1773,0.755832,1.000000,2.815389,2.110659
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.679998,36.1773,0.692822,1.000000,2.798317,2.286960
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,17,boston:206,cph:208,15.679998,36.1773,0.723180,1.000000,2.808750,2.117965
