query_id,condition,seed,opt_steps,optimised_against,correct_rank,top1_place,correct_place,effective_mse,psnr,weight_top10pct_share,weight_mean_square,surrogate_sim_start,surrogate_sim_end
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,1234,5,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,3.795182,3.795182
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,1234,5,none,1,boston:87,boston:87,15.680000,36.1773,0.100000,1.000000,3.786110,3.786110
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,1234,5,none,1,cph:208,cph:208,15.679998,36.1773,0.100000,1.000000,3.789929,3.789929
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,1234,5,none,1,london:51,london:51,15.679997,36.1773,0.100000,1.000000,3.834258,3.834258
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform,1234,5,none,1,manila:102,manila:102,15.680000,36.1773,0.100000,1.000000,3.870478,3.870478
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform,1234,5,none,1706,zurich:30,nairobi:2,15.680000,36.1773,0.100000,1.000000,3.862968,3.862968
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform,1234,5,none,2,manila:72,toronto:33,15.679995,36.1773,0.100000,1.000000,3.824699,3.824699
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform,1234,5,none,1,zurich:64,zurich:64,15.679998,36.1773,0.100000,1.000000,3.780969,3.780969
amman_query_-6eEB_fS2eePRNUql6vOrQ,uniform,1234,5,none,1,amman:21,amman:21,15.679997,36.1773,0.100000,1.000000,3.842427,3.842427
boston_query_--VtRctVkqAafFr5b_6GXg,uniform,1234,5,none,8,nairobi:22,boston:262,15.680000,36.1773,0.100000,1.000000,3.892914,3.892914
cph_query_--kN3Y3n0x47vWa8WX-a8w,uniform,1234,5,none,1,cph:162,cph:162,15.679997,36.1773,0.100000,1.000000,3.876317,3.876317
london_query_-4Vq2O1PhPmG6WK-yV402Q,uniform,1234,5,none,1,london:2,london:2,15.680000,36.1773,0.100000,1.000000,3.870084,3.870084
manila_query_-10rV9IlRhgTnk5e_QJbgA,uniform,1234,5,none,2,manila:29,manila:142,15.679998,36.1773,0.100000,1.000000,3.826219,3.826219
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,uniform,1234,5,none,1,nairobi:18,nairobi:18,15.679997,36.1773,0.100000,1.000000,3.819069,3.819069
toronto_query_-3UT7A8bNUkVBgSLW30-ow,uniform,1234,5,none,1,toronto:185,toronto:185,15.680000,36.1773,0.100000,1.000000,3.774113,3.774113
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,uniform,1234,5,none,1,zurich:13,zurich:13,15.680000,36.1773,0.100000,1.000000,3.870654,3.870654
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,1234,5,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,3.795182,3.795182
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,1234,5,none,1,boston:87,boston:87,15.679998,36.1773,0.100000,1.000000,3.786110,3.786110
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,1234,5,none,1,cph:208,cph:208,15.680000,36.1773,0.100000,1.000000,3.789929,3.789929
