query_id,condition,seed,opt_steps,optimised_against,correct_rank,top1_place,correct_place,effective_mse,psnr,weight_top10pct_share,weight_mean_square,surrogate_sim_start,surrogate_sim_end
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,1234,5,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,2.815373,2.815373
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,1234,5,none,1,boston:87,boston:87,15.679998,36.1773,0.100000,1.000000,2.798343,2.798343
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,1234,5,none,20,london:8,cph:208,15.679997,36.1773,0.100000,1.000000,2.808749,2.808749
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,1234,5,none,1,london:51,london:51,15.679997,36.1773,0.100000,1.000000,2.844966,2.844966
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform,1234,5,none,11,manila:142,manila:102,15.680000,36.1773,0.100000,1.000000,2.880933,2.880933
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform,1234,5,none,639,manila:46,nairobi:2,15.680000,36.1773,0.100000,1.000000,2.873604,2.873604
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform,1234,5,none,11,manila:16,toronto:33,15.679995,36.1773,0.100000,1.000000,2.839773,2.839773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform,1234,5,none,1,zurich:64,zurich:64,15.680000,36.1773,0.100000,1.000000,2.801388,2.801388
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,1234,5,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,2.815373,2.815373
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,1234,5,none,1,boston:87,boston:87,15.679997,36.1773,0.100000,1.000000,2.798343,2.798343
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,1234,5,none,17,zurich:38,cph:208,15.680000,36.1773,0.100000,1.000000,2.808749,2.808749
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform_crossdraw,1234,5,none,2,london:21,london:51,15.679997,36.1773,0.100000,1.000000,2.844966,2.844966
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform_crossdraw,1234,5,none,16,manila:142,manila:102,15.680000,36.1773,0.100000,1.000000,2.880933,2.880933
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform_crossdraw,1234,5,none,91,manila:46,nairobi:2,15.679997,36.1773,0.100000,1.000000,2.873604,2.873604
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform_crossdraw,1234,5,none,5,manila:16,toronto:33,15.680000,36.1773,0.100000,1.000000,2.839773,2.839773
