query_id,condition,seed,opt_steps,optimised_against,correct_rank,top1_place,correct_place,effective_mse,psnr,weight_top10pct_share,weight_mean_square,surrogate_sim_start,surrogate_sim_end
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,1234,20,none,40,nairobi:17,amman:31,15.679998,36.1773,0.100000,1.000000,2.815418,2.815418
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,1234,20,none,1,boston:87,boston:87,15.680000,36.1773,0.100000,1.000000,2.798293,2.798293
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,1234,20,none,194,zurich:42,cph:208,15.679998,36.1773,0.100000,1.000000,2.808715,2.808715
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,1234,20,none,3,zurich:33,london:51,15.679997,36.1773,0.100000,1.000000,2.845024,2.845024
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform,1234,20,none,334,manila:132,manila:102,15.680000,36.1773,0.100000,1.000000,2.880910,2.880910
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform,1234,20,none,1963,toronto:265,nairobi:2,15.680000,36.1773,0.100000,1.000000,2.873605,2.873605
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform,1234,20,none,2,toronto:244,toronto:33,15.679995,36.1773,0.100000,1.000000,2.839785,2.839785
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform,1234,20,none,73,cph:243,zurich:64,15.679998,36.1773,0.100000,1.000000,2.801417,2.801417
amman_query_-6eEB_fS2eePRNUql6vOrQ,uniform,1234,20,none,1,amman:21,amman:21,15.679997,36.1773,0.100000,1.000000,2.861647,2.861647
boston_query_--VtRctVkqAafFr5b_6GXg,uniform,1234,20,none,39,boston:84,boston:262,15.680000,36.1773,0.100000,1.000000,2.903763,2.903763
cph_query_--kN3Y3n0x47vWa8WX-a8w,uniform,1234,20,none,1,cph:162,cph:162,15.679997,36.1773,0.100000,1.000000,2.886766,2.886766
london_query_-4Vq2O1PhPmG6WK-yV402Q,uniform,1234,20,none,4,cph:4,london:2,15.680000,36.1773,0.100000,1.000000,2.876460,2.876460
manila_query_-10rV9IlRhgTnk5e_QJbgA,uniform,1234,20,none,144,manila:132,manila:142,15.679998,36.1773,0.100000,1.000000,2.841301,2.841301
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,uniform,1234,20,none,11,amman:11,nairobi:18,15.679997,36.1773,0.100000,1.000000,2.836956,2.836956
toronto_query_-3UT7A8bNUkVBgSLW30-ow,uniform,1234,20,none,22,toronto:389,toronto:185,15.680000,36.1773,0.100000,1.000000,2.795306,2.795306
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,uniform,1234,20,none,30,toronto:218,zurich:13,15.680000,36.1773,0.100000,1.000000,2.882210,2.882210
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,1234,20,none,31,nairobi:17,amman:31,15.679998,36.1773,0.100000,1.000000,2.815418,2.815418
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,1234,20,none,1,boston:87,boston:87,15.679998,36.1773,0.100000,1.000000,2.798293,2.798293
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,1234,20,none,162,zurich:42,cph:208,15.680000,36.1773,0.100000,1.000000,2.808715,2.808715
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform_crossdraw,1234,20,none,2,zurich:33,london:51,15.679997,36.1773,0.100000,1.000000,2.845024,2.845024
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform_crossdraw,1234,20,none,242,manila:132,manila:102,15.679998,36.1773,0.100000,1.000000,2.880910,2.880910
