query_id,condition,seed,opt_steps,optimised_against,correct_rank,top1_place,correct_place,effective_mse,psnr,weight_top10pct_share,weight_mean_square,surrogate_sim_start,surrogate_sim_end
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,1234,20,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,3.795142,3.795142
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,1234,20,none,1,boston:87,boston:87,15.679998,36.1773,0.100000,1.000000,3.786155,3.786155
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,1234,20,none,1,cph:208,cph:208,15.679997,36.1773,0.100000,1.000000,3.789960,3.789960
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,1234,20,none,1,london:51,london:51,15.679997,36.1773,0.100000,1.000000,3.834202,3.834202
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform,1234,20,none,1,manila:102,manila:102,15.680000,36.1773,0.100000,1.000000,3.870506,3.870506
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform,1234,20,none,1705,zurich:30,nairobi:2,15.680000,36.1773,0.100000,1.000000,3.862963,3.862963
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform,1234,20,none,2,manila:72,toronto:33,15.679995,36.1773,0.100000,1.000000,3.824686,3.824686
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform,1234,20,none,1,zurich:64,zurich:64,15.680000,36.1773,0.100000,1.000000,3.780938,3.780938
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,1234,20,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,3.795142,3.795142
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,1234,20,none,1,boston:87,boston:87,15.679997,36.1773,0.100000,1.000000,3.786155,3.786155
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,1234,20,none,1,cph:208,cph:208,15.680000,36.1773,0.100000,1.000000,3.789960,3.789960
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform_crossdraw,1234,20,none,3,boston:139,london:51,15.679997,36.1773,0.100000,1.000000,3.834202,3.834202
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform_crossdraw,1234,20,none,1,manila:102,manila:102,15.680000,36.1773,0.100000,1.000000,3.870506,3.870506
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform_crossdraw,1234,20,none,1340,zurich:30,nairobi:2,15.679997,36.1773,0.100000,1.000000,3.862963,3.862963
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform_crossdraw,1234,20,none,1,toronto:33,toronto:33,15.680000,36.1773,0.100000,1.000000,3.824686,3.824686
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform_crossdraw,1234,20,none,1,zurich:64,zurich:64,15.680000,36.1773,0.100000,1.000000,3.780938,3.780938
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox,1234,20,expectation:mixvpr,1,amman:31,amman:31,15.680000,36.1773,0.554923,1.000000,0.894236,0.746300
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox,1234,20,expectation:mixvpr,1,boston:87,boston:87,15.679996,36.1773,0.564218,1.000000,0.817594,0.590438
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox,1234,20,expectation:mixvpr,1,cph:208,cph:208,15.679998,36.1773,0.603101,1.000000,0.826940,0.536465
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox,1234,20,expectation:mixvpr,75,nairobi:8,london:51,15.680002,36.1773,0.642410,1.000000,0.881362,0.594825
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,opt_whitebox,1234,20,expectation:mixvpr,1,manila:102,manila:102,15.679997,36.1773,0.614393,1.000000,0.926758,0.780065
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,opt_whitebox,1234,20,expectation:mixvpr,1356,zurich:30,nairobi:2,15.679997,36.1773,0.614411,1.000000,0.920250,0.755819
toronto_query_-1caqsIDW4YpUBZB98J9uV,opt_whitebox,1234,20,expectation:mixvpr,26,manila:72,toronto:33,15.679997,36.1773,0.626372,1.000000,0.869467,0.627036
zurich_query_--RjvuIbkJiPNJknyeZN_Q,opt_whitebox,1234,20,expectation:mixvpr,1,zurich:64,zurich:64,15.680000,36.1773,0.608819,1.000000,0.856340,0.646730
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_crossdraw,1234,20,expectation:mixvpr,1,amman:31,amman:31,15.679998,36.1773,0.554923,1.000000,0.894236,0.746300
