query_id,condition,seed,opt_steps,optimised_against,correct_rank,top1_place,correct_place,effective_mse,psnr,weight_top10pct_share,weight_mean_square,surrogate_sim_start,surrogate_sim_end
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,1234,20,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,3.795142,3.795142
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,1234,20,none,1,boston:87,boston:87,15.679998,36.1773,0.100000,1.000000,3.786155,3.786155
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,1234,20,none,1,cph:208,cph:208,15.679997,36.1773,0.100000,1.000000,3.789960,3.789960
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,1234,20,none,1,london:51,london:51,15.679997,36.1773,0.100000,1.000000,3.834202,3.834202
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform,1234,20,none,1,manila:102,manila:102,15.680000,36.1773,0.100000,1.000000,3.870506,3.870506
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform,1234,20,none,1705,zurich:30,nairobi:2,15.680000,36.1773,0.100000,1.000000,3.862963,3.862963
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform,1234,20,none,2,manila:72,toronto:33,15.679995,36.1773,0.100000,1.000000,3.824686,3.824686
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform,1234,20,none,1,zurich:64,zurich:64,15.680000,36.1773,0.100000,1.000000,3.780938,3.780938
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,1234,20,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,3.795142,3.795142
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,1234,20,none,1,boston:87,boston:87,15.679997,36.1773,0.100000,1.000000,3.786155,3.786155
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,1234,20,none,1,cph:208,cph:208,15.680000,36.1773,0.100000,1.000000,3.789960,3.789960
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform_crossdraw,1234,20,none,3,boston:139,london:51,15.679997,36.1773,0.100000,1.000000,3.834202,3.834202
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform_crossdraw,1234,20,none,1,manila:102,manila:102,15.680000,36.1773,0.100000,1.000000,3.870506,3.870506
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform_crossdraw,1234,20,none,1340,zurich:30,nairobi:2,15.679997,36.1773,0.100000,1.000000,3.862963,3.862963
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform_crossdraw,1234,20,none,1,toronto:33,toronto:33,15.680000,36.1773,0.100000,1.000000,3.824686,3.824686
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform_crossdraw,1234,20,none,1,zurich:64,zurich:64,15.680000,36.1773,0.100000,1.000000,3.780938,3.780938
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer,1234,20,realised:resnet18+resnet50+vgg16+cosplace,1,amman:31,amman:31,15.679997,36.1773,0.622582,1.000000,3.795143,1.207308
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer,1234,20,realised:resnet18+resnet50+vgg16+cosplace,1,boston:87,boston:87,15.680000,36.1773,0.595300,1.000000,3.786158,1.324797
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer,1234,20,realised:resnet18+resnet50+vgg16+cosplace,1,cph:208,cph:208,15.679997,36.1773,0.591004,1.000000,3.789977,0.948187
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer,1234,20,realised:resnet18+resnet50+vgg16+cosplace,1,london:51,london:51,15.679997,36.1773,0.648610,1.000000,3.834240,1.423058
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,opt_transfer,1234,20,realised:resnet18+resnet50+vgg16+cosplace,1,manila:102,manila:102,15.679997,36.1773,0.641574,1.000000,3.870507,1.503865
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,opt_transfer,1234,20,realised:resnet18+resnet50+vgg16+cosplace,1882,zurich:30,nairobi:2,15.679997,36.1773,0.621844,1.000000,3.862945,1.522456
toronto_query_-1caqsIDW4YpUBZB98J9uV,opt_transfer,1234,20,realised:resnet18+resnet50+vgg16+cosplace,17,manila:72,toronto:33,15.679998,36.1773,0.618222,1.000000,3.824683,1.269566
zurich_query_--RjvuIbkJiPNJknyeZN_Q,opt_transfer,1234,20,realised:resnet18+resnet50+vgg16+cosplace,1,zurich:64,zurich:64,15.679997,36.1773,0.592501,1.000000,3.780927,0.977490
