query_id,condition,seed,opt_steps,optimised_against,correct_rank,top1_place,correct_place,effective_mse,psnr,weight_top10pct_share,weight_mean_square,surrogate_sim_start,surrogate_sim_end
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,1234,20,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,2.815373,2.815373
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,1234,20,none,1,boston:87,boston:87,15.679998,36.1773,0.100000,1.000000,2.798343,2.798343
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,1234,20,none,54,boston:19,cph:208,15.679997,36.1773,0.100000,1.000000,2.808749,2.808749
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,1234,20,none,113,toronto:102,london:51,15.679997,36.1773,0.100000,1.000000,2.844966,2.844966
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform,1234,20,none,51,manila:135,manila:102,15.680000,36.1773,0.100000,1.000000,2.880933,2.880933
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform,1234,20,none,2000,amman:11,nairobi:2,15.680000,36.1773,0.100000,1.000000,2.873604,2.873604
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform,1234,20,none,3,zurich:111,toronto:33,15.679995,36.1773,0.100000,1.000000,2.839773,2.839773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform,1234,20,none,149,boston:79,zurich:64,15.680000,36.1773,0.100000,1.000000,2.801388,2.801388
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,1234,20,none,1,amman:31,amman:31,15.679998,36.1773,0.100000,1.000000,2.815373,2.815373
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,1234,20,none,1,boston:87,boston:87,15.679997,36.1773,0.100000,1.000000,2.798343,2.798343
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,1234,20,none,62,boston:19,cph:208,15.680000,36.1773,0.100000,1.000000,2.808749,2.808749
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform_crossdraw,1234,20,none,144,zurich:61,london:51,15.679997,36.1773,0.100000,1.000000,2.844966,2.844966
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform_crossdraw,1234,20,none,44,manila:135,manila:102,15.680000,36.1773,0.100000,1.000000,2.880933,2.880933
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform_crossdraw,1234,20,none,2000,amman:11,nairobi:2,15.679997,36.1773,0.100000,1.000000,2.873604,2.873604
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform_crossdraw,1234,20,none,2,cph:464,toronto:33,15.680000,36.1773,0.100000,1.000000,2.839773,2.839773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform_crossdraw,1234,20,none,176,boston:79,zurich:64,15.680000,36.1773,0.100000,1.000000,2.801388,2.801388
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox,1234,20,expectation:resnet18,1,amman:31,amman:31,15.679998,36.1773,0.535964,1.000000,0.979774,0.889090
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox,1234,20,expectation:resnet18,1,boston:87,boston:87,15.679997,36.1773,0.542024,1.000000,0.987814,0.943542
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox,1234,20,expectation:resnet18,117,boston:19,cph:208,15.679997,36.1773,0.545570,1.000000,0.981207,0.880988
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox,1234,20,expectation:resnet18,117,toronto:102,london:51,15.680001,36.1773,0.586804,1.000000,0.989238,0.890572
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,opt_whitebox,1234,20,expectation:resnet18,49,manila:135,manila:102,15.679997,36.1773,0.581174,1.000000,0.989569,0.927792
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,opt_whitebox,1234,20,expectation:resnet18,2000,toronto:200,nairobi:2,15.679998,36.1773,0.563933,1.000000,0.989358,0.930806
toronto_query_-1caqsIDW4YpUBZB98J9uV,opt_whitebox,1234,20,expectation:resnet18,7,zurich:111,toronto:33,15.679998,36.1773,0.547895,1.000000,0.984912,0.926111
zurich_query_--RjvuIbkJiPNJknyeZN_Q,opt_whitebox,1234,20,expectation:resnet18,617,zurich:94,zurich:64,15.680001,36.1773,0.528209,1.000000,0.979550,0.894555
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_crossdraw,1234,20,expectation:resnet18,1,amman:31,amman:31,15.680000,36.1773,0.535964,1.000000,0.979774,0.889090
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_crossdraw,1234,20,expectation:resnet18,1,boston:87,boston:87,15.679998,36.1773,0.542024,1.000000,0.987814,0.943542
