query_id,placement,seed,correct_rank
amman_query_-39Q9edqZUArYHa41OPDoQ,learned,1234,1
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,learned,1234,1
cph_query_--FyHVca3HP-QgUmcAvToA,learned,1234,1
london_query_-0u7VsCOCAmwH4RFsN5BoA,learned,1234,2
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,learned,1234,1
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,learned,1234,1575
toronto_query_-1caqsIDW4YpUBZB98J9uV,learned,1234,2
zurich_query_--RjvuIbkJiPNJknyeZN_Q,learned,1234,1
amman_query_-6eEB_fS2eePRNUql6vOrQ,learned,1234,1
boston_query_--VtRctVkqAafFr5b_6GXg,learned,1234,8
cph_query_--kN3Y3n0x47vWa8WX-a8w,learned,1234,1
london_query_-4Vq2O1PhPmG6WK-yV402Q,learned,1234,1
manila_query_-10rV9IlRhgTnk5e_QJbgA,learned,1234,2
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,learned,1234,1
toronto_query_-3UT7A8bNUkVBgSLW30-ow,learned,1234,1
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,learned,1234,1
amman_query_-BJoV1t0rKwEzk0bsZplVQ,learned,1234,157
boston_query_-0n5FDAuOditKvxIekIbBg,learned,1234,1
cph_query_--xKnCCc_4tDGo80iM-A_g,learned,1234,1
london_query_-4pmBOZmF-ynXSkWw5BAew,learned,1234,1
manila_query_-2h231ovohZWmrsaBllNyw,learned,1234,1
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,learned,1234,1
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,learned,1234,1
zurich_query_-4StYjY5sT1S23ls5heCbg,learned,1234,1
amman_query_-D0IlKF__f0c9DPAKbiYnw,learned,1234,79
boston_query_-3hM-MR6uuw3se14vw3G0w,learned,1234,37
cph_query_-05vIhjxDNupFcgaM90L3w,learned,1234,1
london_query_-5QOE2AlZX8rEz8ONtGRrg,learned,1234,1
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,learned,1234,23
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,learned,1234,1
toronto_query_-4mlNvZUZnbmRaGbiIndoA,learned,1234,1
zurich_query_-71-BK_yAOJ1soK0OQWIcg,learned,1234,1
amman_query_-EAmCN9i5BGEadZIccXEyA,learned,1234,1
boston_query_-4vuSn0vvcBVOccgQqFlow,learned,1234,1
cph_query_-07-gME-zaQLhCsFrSInSg,learned,1234,1
london_query_-7U9wY8ynnu3oZ1g_-0xww,learned,1234,1
manila_query_-5pMypBbFEXHPOTYNJl_EA,learned,1234,1
nairobi_query_-rWgRitoKSYrdczUKUiOrA,learned,1234,1
toronto_query_-5HBlqC41yTbYA1NM7dz1A,learned,1234,1
zurich_query_-7bB9HS2MqV7UT7vRyROfg,learned,1234,1
amman_query_-L_vanPrT4RcWlLbzCqMKA,learned,1234,1
boston_query_-5-CNr3q7kmRGcDSMueI4w,learned,1234,1
cph_query_-0_HsZnndjHv76QpTyNFCA,learned,1234,1
london_query_-7cNAk24ZhuoOowcvDoImw,learned,1234,1
manila_query_-6NSbTuzpeyDbSXKeGAasg,learned,1234,1
nairobi_query_-yxXz3in11JFniZQAa7m2A,learned,1234,1
toronto_query_-5RKNbex7In9Ys4mH40wXA,learned,1234,5
zurich_query_-ANYzSHAsjItBx6yJauT3A,learned,1234,1
amman_query_-MUBUlzvFxQS_zFg6xNhVg,learned,1234,6
boston_query_-6RLrPXAeunQaNK6m645ZA,learned,1234,1
cph_query_-2N5Dmf5tOm5N83KXgvjDw,learned,1234,1
london_query_-8xWvI5d3Z6gfsRDb_kEQQ,learned,1234,1
manila_query_-6_2C-ExaVhx4ONvHOvffw,learned,1234,1
nairobi_query_0-ZdPdUGwVdDwKbIOxQCBA,learned,1234,1
toronto_query_-5ryd5v5eXUsmP9y4p6w_g,learned,1234,1
zurich_query_-Bz7by7mnVU_HZbXc8FmpQ,learned,1234,2
amman_query_-N1g8CEJP4UIaWH8Qqja2g,learned,1234,10
boston_query_-7KZUz5u8-7ja98pf8etVA,learned,1234,99
cph_query_-3uNzD-M1uI2jZeGqOkpXg,learned,1234,1
london_query_-9FGszdwftnBlzMuP0c_NQ,learned,1234,1
manila_query_-6_XaKv0Rrp2Jl0G9m_8NQ,learned,1234,3
nairobi_query_01juXwMfxX_a4pfhpqt66g,learned,1234,1
toronto_query_-5z50PgNYnxK8Ns2WmF_TQ,learned,1234,1
zurich_query_-D3dDkhM5rjIJhj1SPdroA,learned,1234,1
amman_query_-VdxqGX8d8L_OiSEN5CtDw,learned,1234,3
boston_query_-8cIAPzC7_za-xCEWsIoK2,learned,1234,1
cph_query_-4KruxIYZ3a3GYE0tOKn2w,learned,1234,1
london_query_-9KgeyegI3TaGMqglsDENg,learned,1234,1
manila_query_-7YHsOWBiYFmYcRzIM0ijg,learned,1234,1
nairobi_query_09aysNUjwNAPHsHo-R-IdA,learned,1234,1
toronto_query_-68JeZKxV2XoP0N_6780Og,learned,1234,1
zurich_query_-E0qyEWY7jSPMOpGqiEG-A,learned,1234,1
amman_query_-XWB_1fOm8NW5dQx9p5IKg,learned,1234,2
boston_query_-9Lur-PAHqcMspWszAgfqw,learned,1234,1
cph_query_-4RqBOkDhigU8JsdQZINkQ,learned,1234,1
london_query_-FGaYVNFN5ALUsVDNixL_g,learned,1234,1
manila_query_-81llwEm_ZxNy7Sa7Xrjlw,learned,1234,1
nairobi_query_0ByAmUG6wFySvLcHHQ0Sdg,learned,1234,1
toronto_query_-6ZIqrL48IaL1dCCO7bDVQ,learned,1234,1
zurich_query_-F7hOUVha_xHAoDddsUYdw,learned,1234,1
amman_query_-iXxlTRmA5JphamcIjxBbA,learned,1234,1
boston_query_-9gbUk-DmX9AOqntuN1nEm,learned,1234,1
cph_query_-4XnD9qE623teR-nRYxB5A,learned,1234,1
london_query_-Flts9XBA2wVlru8_LHbkg,learned,1234,90
manila_query_-85J_HceaTP2S0IavwkQ-A,learned,1234,404
nairobi_query_0LJUobuUEqOqrZc4s2fVgg,learned,1234,29
toronto_query_-7C0G-8afrBbN3hImbBHsA,learned,1234,1
zurich_query_-Kb55YIF941j2DBFO5gVjA,learned,1234,1
amman_query_-qij8CFaEYNp4JW3rF9oqQ,learned,1234,1
boston_query_-AJWNV55EAzvKArt5mMYqg,learned,1234,1
cph_query_-5qSxgAnKk-6Bf5AVVoPjA,learned,1234,2
london_query_-HfvOD1d7XUGJoEMybpyqQ,learned,1234,1
manila_query_-9tG6ERjH4jVcWo9jkVvBg,learned,1234,1
nairobi_query_0M1Vl3tUlt_2MiFp6vxhrg,learned,1234,1
toronto_query_-7bDZLvVOVk7ethfd1yomg,learned,1234,1
zurich_query_-Km53YFc8zewa3vS2OeGsQ,learned,1234,1
amman_query_-t_-moqpBTWSiKU7mS-lgQ,learned,1234,31
boston_query_-Ae9_7GnntvqV8myNb9fhv,learned,1234,1
cph_query_-8E-udXiyMJCRp_UkM4Kgw,learned,1234,1
london_query_-Id3DdRqVbjIA39wjxbTgw,learned,1234,2
manila_query_-AXkFLZ0HchDGYvJ_KZ3dQ,learned,1234,1
nairobi_query_0Oa1jUYlj8LE47HApYWufA,learned,1234,1
toronto_query_-85n6JJLXmi04edt5JxhzQ,learned,1234,1
zurich_query_-M0Q1_7lg_TKGT2-mllw4w,learned,1234,83
amman_query_0-2jyV8XAzdAOYMkdyQVLw,learned,1234,1
boston_query_-BE36-GG_yM6YS57M_uMTQ,learned,1234,10
cph_query_-9WYlFp61M1J1zV1mJD4uA,learned,1234,1
london_query_-OOGG8lTvgHHqp3iuULlyQ,learned,1234,1
manila_query_-ColYSDtqqoE3TZ4eZHu8g,learned,1234,2
nairobi_query_0R73ChZbcyJ8Z4vBaef_Jw,learned,1234,1
toronto_query_-8BknWmZh2lEnEeect73Ww,learned,1234,1
zurich_query_-TxHEY5xnZFgfnHO3ygjzw,learned,1234,1
amman_query_051WRvR5gI1vde606oseFw,learned,1234,1
boston_query_-CNeDzWqfei0F-1CmA8N9A,learned,1234,1
cph_query_-9ZOGirqZl2EVYWN1WLERg,learned,1234,1
london_query_-TmVvxY52h9CjrIUzBbCgw,learned,1234,1
manila_query_-ELxcda6ePiuO6nR3VP3-A,learned,1234,1
nairobi_query_0TzVtw0twyRTMFGP-VzE8A,learned,1234,1
toronto_query_-8NbZpIbjwqAXwoRMmYddg,learned,1234,1
zurich_query_-Vs9xzO47S-0Cfs9o81wvQ,learned,1234,1
amman_query_0CjrhmzpvqXBOIBsGB6LcQ,learned,1234,1
boston_query_-D-onyWSIw3M1SbsxL7X-g,learned,1234,1
cph_query_-AowxxrsOr_xM02-ZyrQ5A,learned,1234,1
london_query_-UeH_UbGnPshWdeEEYfhyQ,learned,1234,1
manila_query_-EVOy4h35ZUyBK4r6uBM5g,learned,1234,57
nairobi_query_0YY7sOJF2Kr1PfPB1KidBg,learned,1234,1
toronto_query_-8Q-Otkctyr1cXAnmn2BEw,learned,1234,1
zurich_query_-ZAb7eYhYeo1yW06_paa_g,learned,1234,1
amman_query_0IvHKlYEfFEP39KRxr9UZg,learned,1234,1
boston_query_-DYvemYiNwx_BmPSrlUWIA,learned,1234,1
