run_id,backbone,placement,n_pairs,top1_reference,top1_placement,top1_diff,n_discordant,mcnemar_b_minus_c,mcnemar_exact_p,bootstrap_ci_low,bootstrap_ci_high,mcnemar_significant,cluster_robust_significant
proxy12/cosplace,cosplace,anti_oracle_grad,36,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/cosplace,cosplace,center,36,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/cosplace,cosplace,edge,36,0.6666666666666666,0.8333333333333334,0.16666666666666674,6,6,0.03125,0.0,0.4166666666666667,True,False
proxy12/cosplace,cosplace,learned,36,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/cosplace,cosplace,oracle_grad,36,0.6666666666666666,0.75,0.08333333333333337,3,3,0.25,0.0,0.25,False,False
proxy12/cosplace,cosplace,random_fixed,36,0.6666666666666666,0.6944444444444444,0.02777777777777779,1,1,1.0,0.0,0.08333333333333333,False,False
proxy12/cosplace,cosplace,saliency,36,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/mixvpr,mixvpr,anti_oracle_grad,36,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/mixvpr,mixvpr,center,36,0.6666666666666666,0.7222222222222222,0.05555555555555558,4,2,0.625,-0.08333333333333333,0.25,False,False
proxy12/mixvpr,mixvpr,edge,36,0.6666666666666666,0.6944444444444444,0.02777777777777779,1,1,1.0,0.0,0.08333333333333333,False,False
proxy12/mixvpr,mixvpr,learned,36,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/mixvpr,mixvpr,oracle_grad,36,0.6666666666666666,0.5833333333333334,-0.08333333333333326,3,-3,0.25,-0.2222222222222222,0.0,False,False
proxy12/mixvpr,mixvpr,random_fixed,36,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/mixvpr,mixvpr,saliency,36,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/patchnetvlad,patchnetvlad,anti_oracle_grad,36,0.5833333333333334,0.5833333333333334,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/patchnetvlad,patchnetvlad,center,36,0.5833333333333334,0.6111111111111112,0.02777777777777779,11,1,1.0,-0.25,0.3333333333333333,False,False
proxy12/patchnetvlad,patchnetvlad,edge,36,0.5833333333333334,0.6111111111111112,0.02777777777777779,7,1,1.0,-0.19444444444444445,0.2222222222222222,False,False
proxy12/patchnetvlad,patchnetvlad,learned,36,0.5833333333333334,0.5833333333333334,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/patchnetvlad,patchnetvlad,oracle_grad,36,0.5833333333333334,0.5833333333333334,0.0,6,0,1.0,-0.16666666666666666,0.2222222222222222,False,False
proxy12/patchnetvlad,patchnetvlad,random_fixed,36,0.5833333333333334,0.6388888888888888,0.05555555555555547,4,2,0.625,0.0,0.1388888888888889,False,False
proxy12/patchnetvlad,patchnetvlad,saliency,36,0.5833333333333334,0.6111111111111112,0.02777777777777779,5,1,1.0,-0.1111111111111111,0.2222222222222222,False,False
proxy12/resnet18,resnet18,anti_oracle_grad,36,0.7222222222222222,0.7222222222222222,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/resnet18,resnet18,center,36,0.7222222222222222,0.75,0.02777777777777779,7,1,1.0,-0.19444444444444445,0.2222222222222222,False,False
proxy12/resnet18,resnet18,edge,36,0.7222222222222222,0.7777777777777778,0.05555555555555558,4,2,0.625,-0.05555555555555555,0.19444444444444445,False,False
proxy12/resnet18,resnet18,learned,36,0.7222222222222222,0.7222222222222222,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/resnet18,resnet18,oracle_grad,36,0.7222222222222222,0.7777777777777778,0.05555555555555558,6,2,0.6875,-0.1111111111111111,0.2222222222222222,False,False
proxy12/resnet18,resnet18,random_fixed,36,0.7222222222222222,0.8055555555555556,0.08333333333333337,3,3,0.25,0.0,0.16666666666666666,False,False
proxy12/resnet18,resnet18,saliency,36,0.7222222222222222,0.7777777777777778,0.05555555555555558,2,2,0.5,0.0,0.1388888888888889,False,False
proxy12/resnet50,resnet50,anti_oracle_grad,36,0.6111111111111112,0.6111111111111112,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/resnet50,resnet50,center,36,0.6111111111111112,0.5833333333333334,-0.02777777777777779,1,-1,1.0,-0.08333333333333333,0.0,False,False
proxy12/resnet50,resnet50,edge,36,0.6111111111111112,0.6388888888888888,0.02777777777777768,1,1,1.0,0.0,0.08333333333333333,False,False
proxy12/resnet50,resnet50,learned,36,0.6111111111111112,0.6111111111111112,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/resnet50,resnet50,oracle_grad,36,0.6111111111111112,0.6111111111111112,0.0,4,0,1.0,-0.16666666666666666,0.16666666666666666,False,False
proxy12/resnet50,resnet50,random_fixed,36,0.6111111111111112,0.6388888888888888,0.02777777777777768,1,1,1.0,0.0,0.08333333333333333,False,False
proxy12/resnet50,resnet50,saliency,36,0.6111111111111112,0.5833333333333334,-0.02777777777777779,1,-1,1.0,-0.08333333333333333,0.0,False,False
proxy12/vgg16,vgg16,anti_oracle_grad,36,0.5277777777777778,0.5277777777777778,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/vgg16,vgg16,center,36,0.5277777777777778,0.6666666666666666,0.13888888888888884,11,5,0.2265625,-0.1388888888888889,0.4166666666666667,False,False
proxy12/vgg16,vgg16,edge,36,0.5277777777777778,0.6666666666666666,0.13888888888888884,9,5,0.1796875,-0.027777777777777776,0.3333333333333333,False,False
proxy12/vgg16,vgg16,learned,36,0.5277777777777778,0.5277777777777778,0.0,0,0,1.0,0.0,0.0,False,False
proxy12/vgg16,vgg16,oracle_grad,36,0.5277777777777778,0.6944444444444444,0.16666666666666663,10,6,0.109375,0.0,0.3611111111111111,False,False
proxy12/vgg16,vgg16,random_fixed,36,0.5277777777777778,0.6666666666666666,0.13888888888888884,7,5,0.125,0.027777777777777776,0.2777777777777778,False,False
proxy12/vgg16,vgg16,saliency,36,0.5277777777777778,0.6111111111111112,0.08333333333333337,9,3,0.5078125,-0.1388888888888889,0.3055555555555556,False,False
proxy50_resnet18,resnet18,anti_oracle_grad,150,0.6733333333333333,0.6666666666666666,-0.00666666666666671,1,-1,1.0,-0.02,0.0,False,False
proxy50_resnet18,resnet18,center,150,0.6733333333333333,0.66,-0.013333333333333308,22,-2,0.8318119049072266,-0.10666666666666667,0.07333333333333333,False,False
proxy50_resnet18,resnet18,edge,150,0.6733333333333333,0.7,0.026666666666666616,10,4,0.34375,-0.02,0.08,False,False
proxy50_resnet18,resnet18,learned,150,0.6733333333333333,0.6733333333333333,0.0,0,0,1.0,0.0,0.0,False,False
proxy50_resnet18,resnet18,oracle_grad,150,0.6733333333333333,0.6466666666666666,-0.026666666666666727,16,-4,0.454498291015625,-0.09333333333333334,0.04,False,False
proxy50_resnet18,resnet18,random_fixed,150,0.6733333333333333,0.6933333333333334,0.020000000000000018,9,3,0.5078125,-0.013333333333333334,0.06,False,False
proxy50_resnet18,resnet18,saliency,150,0.6733333333333333,0.7133333333333334,0.040000000000000036,8,6,0.0703125,0.0,0.08666666666666667,False,False
