query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,placement,label,backbone,seed,gallery_size
loc_000,loc_000,1,0.8320862650871277,loc_004,0.8132702112197876,0.018816053867340088,loc_000,1,1,36.18891441233345,0.2506243884563446,15.638338088989258,learned,learned support (DCRF),patchnetvlad,1234,48
loc_001,loc_001,1,0.7741374969482422,loc_006,0.7636004686355591,0.010537028312683105,loc_001,1,1,36.22269910165129,0.2506186068058014,15.51716136932373,learned,learned support (DCRF),patchnetvlad,1234,48
loc_002,loc_002,1,0.7965047359466553,0c979954-46a8-404f-b3f6-3f10515f1b2e,0.7730438709259033,0.023460865020751953,loc_002,1,1,36.23160235782484,0.25062379240989685,15.485386848449707,learned,learned support (DCRF),patchnetvlad,1234,48
loc_003,loc_003,2,0.7973229885101318,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,0.8124750852584839,-0.01515209674835205,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,1,1,36.19092860321694,0.25062480568885803,15.63109016418457,learned,learned support (DCRF),patchnetvlad,1234,48
loc_004,loc_004,3,0.7774689197540283,loc_000,0.7979972958564758,-0.02052837610244751,loc_000,1,1,36.19179914063734,0.2506240904331207,15.62795639038086,learned,learned support (DCRF),patchnetvlad,1234,48
loc_005,loc_005,1,0.6975480914115906,036c6334-ffa8-48c4-98f6-1987b9fd8304,0.1349107176065445,0.5626373738050461,loc_005,1,1,36.11910125887898,0.2506271302700043,15.891753196716309,learned,learned support (DCRF),patchnetvlad,1234,48
loc_006,loc_006,2,0.7413575053215027,loc_001,0.7583717703819275,-0.017014265060424805,loc_001,1,1,36.2106142781691,0.25061914324760437,15.56039047241211,learned,learned support (DCRF),patchnetvlad,1234,48
loc_007,loc_007,1,0.6523089408874512,011d9963-f1ed-4fa4-abe0-c2fd62bebef7,0.5213494896888733,0.13095945119857788,loc_007,1,1,36.11611144847335,0.25062069296836853,15.902670860290527,learned,learned support (DCRF),patchnetvlad,1234,48
loc_008,loc_008,2,0.6068809032440186,loc_010,0.6114973425865173,-0.004616439342498779,loc_010,1,1,36.134018711367,0.2506259083747864,15.8372802734375,learned,learned support (DCRF),patchnetvlad,1234,48
loc_009,loc_009,1,0.6893229484558105,07c280db-259e-49a4-bfd8-a632e698ef20,0.2565328776836395,0.432790070772171,loc_009,1,1,36.11934429429773,0.2506204843521118,15.890878677368164,learned,learned support (DCRF),patchnetvlad,1234,48
loc_010,loc_010,4,0.6954582333564758,loc_000,0.7354764342308044,-0.04001820087432861,loc_000,1,1,36.173393107283644,0.25062569975852966,15.694319725036621,learned,learned support (DCRF),patchnetvlad,1234,48
loc_011,loc_011,1,0.6843743920326233,0d5c8785-fe79-4356-bca4-9b3d8108e6d6,0.4697082042694092,0.2146661877632141,loc_011,1,1,36.13912360447551,0.25063127279281616,15.818660736083984,learned,learned support (DCRF),patchnetvlad,1234,48
loc_000,loc_000,1,0.8321095108985901,loc_004,0.8133103251457214,0.018799185752868652,loc_000,1,1,36.18892490094496,0.250624418258667,15.638299942016602,uniform,uniform same-energy,patchnetvlad,1234,48
loc_001,loc_001,1,0.7740650773048401,loc_006,0.7634872794151306,0.010577797889709473,loc_001,1,1,36.22272869988798,0.2506186366081238,15.51705551147461,uniform,uniform same-energy,patchnetvlad,1234,48
loc_002,loc_002,1,0.7965531349182129,0c979954-46a8-404f-b3f6-3f10515f1b2e,0.7730733752250671,0.023479759693145752,loc_002,1,1,36.23161128140144,0.25062382221221924,15.485355377197266,uniform,uniform same-energy,patchnetvlad,1234,48
loc_003,loc_003,2,0.797337532043457,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,0.812505841255188,-0.015168309211730957,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,1,1,36.190939564690815,0.2506248354911804,15.631051063537598,uniform,uniform same-energy,patchnetvlad,1234,48
loc_004,loc_004,3,0.777488112449646,loc_000,0.7980108857154846,-0.020522773265838623,loc_000,1,1,36.19181003845403,0.2506241202354431,15.62791919708252,uniform,uniform same-energy,patchnetvlad,1234,48
loc_005,loc_005,1,0.6975024938583374,036c6334-ffa8-48c4-98f6-1987b9fd8304,0.13499227166175842,0.562510222196579,loc_005,1,1,36.11911138645944,0.25062716007232666,15.891716957092285,uniform,uniform same-energy,patchnetvlad,1234,48
loc_006,loc_006,2,0.7413768768310547,loc_001,0.7583978772163391,-0.017021000385284424,loc_001,1,1,36.2106463867368,0.25061914324760437,15.56027603149414,uniform,uniform same-energy,patchnetvlad,1234,48
loc_007,loc_007,1,0.6523463726043701,011d9963-f1ed-4fa4-abe0-c2fd62bebef7,0.5213411450386047,0.13100522756576538,loc_007,1,1,36.116114412860135,0.2506207227706909,15.902661323547363,uniform,uniform same-energy,patchnetvlad,1234,48
loc_008,loc_008,2,0.6068657040596008,loc_010,0.6115250587463379,-0.0046593546867370605,loc_010,1,1,36.13402763258666,0.2506258487701416,15.837247848510742,uniform,uniform same-energy,patchnetvlad,1234,48
loc_009,loc_009,1,0.6893749833106995,07c280db-259e-49a4-bfd8-a632e698ef20,0.25649380683898926,0.4328811764717102,loc_009,1,1,36.119355332235486,0.2506204843521118,15.890837669372559,uniform,uniform same-energy,patchnetvlad,1234,48
loc_010,loc_010,4,0.6954887509346008,loc_000,0.7354903221130371,-0.04000157117843628,loc_000,1,1,36.17340579494763,0.2506256699562073,15.69427490234375,uniform,uniform same-energy,patchnetvlad,1234,48
loc_011,loc_011,1,0.6842317581176758,0d5c8785-fe79-4356-bca4-9b3d8108e6d6,0.4695941209793091,0.2146376371383667,loc_011,1,1,36.139179737767876,0.2506312131881714,15.818456649780273,uniform,uniform same-energy,patchnetvlad,1234,48
loc_000,loc_000,1,0.8087049126625061,loc_004,0.7932363748550415,0.0154685378074646,loc_000,1,1,36.40606187064904,0.250624418258667,14.875606536865234,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_001,loc_001,1,0.7781071662902832,loc_006,0.7633399367332458,0.014767229557037354,loc_001,1,1,36.34413252694871,0.2506186068058014,15.08924674987793,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_002,loc_002,1,0.8034377694129944,0c979954-46a8-404f-b3f6-3f10515f1b2e,0.769683301448822,0.03375446796417236,loc_002,1,1,36.500786144551675,0.25062379240989685,14.554693222045898,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_003,loc_003,2,0.792895495891571,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,0.8098343014717102,-0.01693880558013916,0bd8dd73-9e1b-4b9b-bde8-bd14edf274e4,1,1,36.46847074354754,0.25062480568885803,14.663371086120605,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_004,loc_004,3,0.7824604511260986,loc_000,0.7975043058395386,-0.015043854713439941,loc_000,1,1,36.41001253232717,0.2506240904331207,14.862082481384277,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_005,loc_005,1,0.7034906148910522,036c6334-ffa8-48c4-98f6-1987b9fd8304,0.14701490104198456,0.5564757138490677,loc_005,1,1,36.185446419093864,0.2506271302700043,15.65087604522705,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_006,loc_006,2,0.7495789527893066,loc_001,0.7666769623756409,-0.01709800958633423,loc_001,1,1,36.331100396318256,0.25061914324760437,15.134597778320312,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_007,loc_007,1,0.6312527656555176,0391ac55-0271-46c1-bab3-098898b00482,0.5174638032913208,0.11378896236419678,loc_007,1,1,36.12007358040994,0.25062069296836853,15.888160705566406,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_008,loc_008,1,0.6484460830688477,loc_000,0.5992100238800049,0.04923605918884277,loc_008,1,1,36.426293515637326,0.2506259083747864,14.806498527526855,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_009,loc_009,1,0.7311420440673828,07c280db-259e-49a4-bfd8-a632e698ef20,0.23759858310222626,0.49354346096515656,loc_009,1,1,36.179076184653724,0.2506204843521118,15.673798561096191,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_010,loc_010,5,0.651035487651825,loc_000,0.7701117396354675,-0.11907625198364258,loc_000,1,1,36.436230355597765,0.25062569975852966,14.772628784179688,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_011,loc_011,1,0.6531147956848145,0d5c8785-fe79-4356-bca4-9b3d8108e6d6,0.4224749207496643,0.23063987493515015,loc_011,1,1,36.34388808997838,0.25063127279281616,15.090306282043457,saliency,spectral-residual saliency,patchnetvlad,1234,48
loc_000,loc_000,2,0.7267065644264221,loc_004,0.7299313545227051,-0.003224790096282959,loc_004,1,1,36.12385212331575,0.250624418258667,15.875636100769043,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_001,loc_001,1,0.7428302764892578,loc_006,0.7174124717712402,0.025417804718017578,loc_001,1,1,36.32795848524782,0.2506186068058014,15.145842552185059,edge,gradient-magnitude (edge),patchnetvlad,1234,48
loc_002,loc_002,1,0.7251899242401123,0c979954-46a8-404f-b3f6-3f10515f1b2e,0.7073232531547546,0.017866671085357666,loc_002,1,1,36.174036676092726,0.25062379240989685,15.6930570602417,edge,gradient-magnitude (edge),patchnetvlad,1234,48
