query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,placement,label,backbone,seed,gallery_size
loc_000,loc_000,2,0.9868856072425842,loc_002,0.9876925945281982,-0.0008069872856140137,loc_002,1,1,36.23393758980474,0.2506187856197357,15.477072715759277,learned,learned support (DCRF),resnet18,1234,100
loc_001,loc_001,1,0.9866029024124146,loc_028,0.9714849591255188,0.015117943286895752,loc_001,1,1,36.117573458830385,0.2506210207939148,15.897356033325195,learned,learned support (DCRF),resnet18,1234,100
loc_002,loc_002,1,0.9879616498947144,loc_006,0.9867289066314697,0.001232743263244629,loc_002,1,1,36.225329355755974,0.2506175637245178,15.507773399353027,learned,learned support (DCRF),resnet18,1234,100
loc_003,loc_003,1,0.9881839752197266,loc_009,0.9863282442092896,0.0018557310104370117,loc_003,1,1,36.18891441233345,0.2506243884563446,15.638338088989258,learned,learned support (DCRF),resnet18,1234,100
loc_004,loc_004,2,0.9887927770614624,loc_011,0.9894536137580872,-0.0006608366966247559,loc_011,1,1,36.229307625694425,0.25062403082847595,15.493572235107422,learned,learned support (DCRF),resnet18,1234,100
loc_005,loc_005,1,0.9866735935211182,loc_026,0.9728348255157471,0.013838768005371094,loc_005,1,1,36.11201511899278,0.2506185472011566,15.917707443237305,learned,learned support (DCRF),resnet18,1234,100
loc_006,loc_006,2,0.986046314239502,loc_002,0.9874026775360107,-0.001356363296508789,loc_002,1,1,36.23068270243349,0.25061869621276855,15.48866081237793,learned,learned support (DCRF),resnet18,1234,100
loc_007,loc_007,1,0.9860318899154663,loc_003,0.9849029183387756,0.0011289715766906738,loc_007,1,1,36.19092860321694,0.25062480568885803,15.63109016418457,learned,learned support (DCRF),resnet18,1234,100
loc_008,loc_008,2,0.9853923320770264,loc_007,0.9857782125473022,-0.0003858804702758789,loc_007,1,1,36.18788330405846,0.25062504410743713,15.642054557800293,learned,learned support (DCRF),resnet18,1234,100
loc_009,loc_009,2,0.9865142703056335,loc_003,0.9869803190231323,-0.0004660487174987793,loc_003,1,1,36.19179914063734,0.2506240904331207,15.62795639038086,learned,learned support (DCRF),resnet18,1234,100
loc_010,loc_010,1,0.9867233633995056,1107c88d-22df-44e5-b8a0-6874b5886fbc,0.9722956418991089,0.014427721500396729,loc_010,1,1,36.18276901508261,0.25062644481658936,15.660476684570312,learned,learned support (DCRF),resnet18,1234,100
loc_011,loc_011,1,0.9878575801849365,loc_004,0.9876312017440796,0.0002263784408569336,loc_011,1,1,36.20926700059012,0.25062429904937744,15.56517505645752,learned,learned support (DCRF),resnet18,1234,100
loc_012,loc_012,1,0.9554109573364258,0add8eee-e626-4fce-a2e1-ae4adf452ffc,0.9361013770103455,0.019309580326080322,loc_012,1,1,36.21740606536255,0.2506130635738373,15.53608512878418,learned,learned support (DCRF),resnet18,1234,100
loc_013,loc_013,3,0.9832285642623901,loc_002,0.9849086403846741,-0.0016800761222839355,loc_002,1,1,36.280052506614105,0.2506183981895447,15.31358814239502,learned,learned support (DCRF),resnet18,1234,100
loc_014,loc_014,4,0.98285973072052,loc_008,0.9850661754608154,-0.00220644474029541,loc_008,1,1,36.18786258822978,0.25062480568885803,15.642119407653809,learned,learned support (DCRF),resnet18,1234,100
loc_015,loc_015,1,0.9669231176376343,loc_029,0.7511796355247498,0.21574348211288452,loc_015,1,1,36.11910125887898,0.2506271302700043,15.891753196716309,learned,learned support (DCRF),resnet18,1234,100
loc_016,loc_016,1,0.9874880313873291,14a24568-2e9e-4624-b5ea-73ed6f910078,0.9683542251586914,0.019133806228637695,loc_016,1,1,36.19993786690837,0.25062501430511475,15.598687171936035,learned,learned support (DCRF),resnet18,1234,100
loc_017,loc_017,1,0.9801042675971985,loc_020,0.9628704190254211,0.017233848571777344,loc_017,1,1,36.163325337816275,0.2506260871887207,15.730822563171387,learned,learned support (DCRF),resnet18,1234,100
loc_018,loc_018,1,0.9758787751197815,06b73834-976c-4872-bcaf-04a56d20c94b,0.9221658706665039,0.05371290445327759,loc_018,1,1,36.10341347519287,0.25061577558517456,15.949264526367188,learned,learned support (DCRF),resnet18,1234,100
loc_019,loc_019,1,0.956202507019043,1717af7a-d351-4d97-9921-e285f69d21ae,0.9360012412071228,0.020201265811920166,loc_019,1,1,36.11611144847335,0.25062069296836853,15.902670860290527,learned,learned support (DCRF),resnet18,1234,100
loc_020,loc_020,6,0.9750330448150635,loc_003,0.9851113557815552,-0.0100783109664917,loc_003,0,1,36.188692152115806,0.25062423944473267,15.63914966583252,learned,learned support (DCRF),resnet18,1234,100
loc_021,loc_021,1,0.9728937149047852,loc_039,0.9613885879516602,0.011505126953125,loc_021,1,1,36.131926396527085,0.25061914324760437,15.844883918762207,learned,learned support (DCRF),resnet18,1234,100
loc_022,loc_022,1,0.9692113399505615,loc_024,0.9677743911743164,0.0014369487762451172,loc_022,1,1,36.134018711367,0.2506259083747864,15.8372802734375,learned,learned support (DCRF),resnet18,1234,100
loc_023,loc_023,1,0.9347624182701111,loc_041,0.8545966148376465,0.0801658034324646,loc_023,1,1,36.17228086138007,0.2506158947944641,15.698315620422363,learned,learned support (DCRF),resnet18,1234,100
loc_024,loc_024,7,0.9739518165588379,loc_007,0.9807122945785522,-0.0067604780197143555,loc_007,0,1,36.173393107283644,0.25062569975852966,15.694319725036621,learned,learned support (DCRF),resnet18,1234,100
loc_025,loc_025,1,0.9559066891670227,loc_015,0.766083836555481,0.18982285261154175,loc_025,1,1,36.13912360447551,0.25063127279281616,15.818660736083984,learned,learned support (DCRF),resnet18,1234,100
loc_026,loc_026,2,0.9721184372901917,loc_005,0.9740278720855713,-0.0019094347953796387,loc_005,1,1,36.1174762400067,0.2506171464920044,15.897680282592773,learned,learned support (DCRF),resnet18,1234,100
loc_027,loc_027,2,0.7932041883468628,loc_025,0.8004074692726135,-0.007203280925750732,loc_025,1,1,36.250004092180234,0.25061896443367004,15.438981056213379,learned,learned support (DCRF),resnet18,1234,100
loc_028,loc_028,2,0.9574042558670044,loc_001,0.9613760113716125,-0.003971755504608154,loc_001,1,1,36.116118763906336,0.2506222724914551,15.902673721313477,learned,learned support (DCRF),resnet18,1234,100
loc_029,loc_029,1,0.9532655477523804,125c08a5-7ef5-4c15-afc6-6fd70d28ed97,0.8107934594154358,0.14247208833694458,loc_029,1,1,36.121761653936794,0.2506199777126312,15.882063865661621,learned,learned support (DCRF),resnet18,1234,100
loc_030,loc_030,6,0.9552246332168579,loc_008,0.9646701812744141,-0.009445548057556152,loc_008,0,1,36.166036857620675,0.2506260275840759,15.72101879119873,learned,learned support (DCRF),resnet18,1234,100
loc_031,loc_031,23,0.7253970503807068,0e90493a-f2e6-4312-b40c-ffbfb9b85b43,0.8762147426605225,-0.15081769227981567,0e90493a-f2e6-4312-b40c-ffbfb9b85b43,0,0,36.15301007150551,0.2506171762943268,15.768157005310059,learned,learned support (DCRF),resnet18,1234,100
loc_032,loc_032,2,0.9462050795555115,038f3075-0468-4c2e-8ce4-1ce1d1bb28b6,0.9583008289337158,-0.012095749378204346,038f3075-0468-4c2e-8ce4-1ce1d1bb28b6,1,1,36.26602238852554,0.25062334537506104,15.363115310668945,learned,learned support (DCRF),resnet18,1234,100
loc_033,loc_033,1,0.9584817886352539,loc_048,0.9360454082489014,0.02243638038635254,loc_033,1,1,36.11677978280924,0.2506169080734253,15.90028190612793,learned,learned support (DCRF),resnet18,1234,100
loc_034,loc_034,1,0.9543612003326416,00357888-8827-4e21-92f2-48555a9cb311,0.9255173206329346,0.02884387969970703,loc_034,1,1,36.14724367728206,0.2506195604801178,15.78911304473877,learned,learned support (DCRF),resnet18,1234,100
loc_035,loc_035,1,0.9712668061256409,125c08a5-7ef5-4c15-afc6-6fd70d28ed97,0.9462747573852539,0.024992048740386963,loc_035,1,1,36.2886007272654,0.2506144940853119,15.283463478088379,learned,learned support (DCRF),resnet18,1234,100
loc_036,loc_036,1,0.9276746511459351,045ba7a2-4175-44be-87c6-b83793ec73fa,0.9208481311798096,0.006826519966125488,loc_036,1,1,36.21135197661699,0.25062239170074463,15.557744979858398,learned,learned support (DCRF),resnet18,1234,100
loc_037,loc_037,1,0.9582789540290833,loc_044,0.8582656979560852,0.10001325607299805,loc_037,1,1,36.102698338717474,0.25062304735183716,15.95190143585205,learned,learned support (DCRF),resnet18,1234,100
loc_038,loc_038,1,0.9632453322410583,051a59ad-2a17-4b17-a081-69b96a2eb318,0.9136242866516113,0.04962104558944702,loc_038,1,1,36.17981806998877,0.250617653131485,15.671130180358887,learned,learned support (DCRF),resnet18,1234,100
loc_039,loc_039,2,0.9188056588172913,loc_021,0.938351035118103,-0.019545376300811768,loc_021,1,1,36.14471581582417,0.2506183683872223,15.798300743103027,learned,learned support (DCRF),resnet18,1234,100
loc_040,loc_040,1,0.8933275938034058,0d682958-debf-4d6d-88ca-2b273e0f43c2,0.8904740810394287,0.0028535127639770508,loc_040,1,1,36.14311257056255,0.2506179213523865,15.804179191589355,learned,learned support (DCRF),resnet18,1234,100
loc_041,loc_041,1,0.9455782175064087,loc_023,0.8271504044532776,0.1184278130531311,loc_041,1,1,36.2004142465048,0.25061988830566406,15.596956253051758,learned,learned support (DCRF),resnet18,1234,100
loc_042,loc_042,1,0.9569071531295776,0302e16b-069f-4ced-b5c8-c2a830b41f20,0.9233759641647339,0.03353118896484375,loc_042,1,1,36.1103253522771,0.2506225109100342,15.923901557922363,learned,learned support (DCRF),resnet18,1234,100
loc_043,loc_043,1,0.9496806859970093,09deef7d-bf6a-4eb5-917b-4095fb723f68,0.9362261295318604,0.013454556465148926,loc_043,1,1,36.123156564403374,0.250622034072876,15.876920700073242,learned,learned support (DCRF),resnet18,1234,100
loc_044,loc_044,1,0.9427045583724976,031029ab-047b-450e-8a0d-f192eeae3bc8,0.9025858044624329,0.0401187539100647,loc_044,1,1,36.12361300421108,0.2506215274333954,15.87525463104248,learned,learned support (DCRF),resnet18,1234,100
loc_045,loc_045,1,0.9421693086624146,17385834-a69a-4ff4-a35b-e10096acda28,0.8681148886680603,0.07405441999435425,loc_045,1,1,36.106671702866805,0.25061866641044617,15.937304496765137,learned,learned support (DCRF),resnet18,1234,100
loc_046,loc_046,1,0.9207183718681335,11d04d6c-5ff6-4322-947e-0662df4a5029,0.9026311635971069,0.01808720827102661,loc_046,1,1,36.089392384968434,0.250617116689682,16.000839233398438,learned,learned support (DCRF),resnet18,1234,100
loc_047,loc_047,1,0.9553910493850708,0f221c6a-7455-4f14-b392-aa01861e5d63,0.9432652592658997,0.012125790119171143,loc_047,1,1,36.10785693399047,0.2506207227706909,15.932950973510742,learned,learned support (DCRF),resnet18,1234,100
loc_048,loc_048,2,0.9395176768302917,loc_033,0.9611709713935852,-0.021653294563293457,loc_033,1,1,36.12587185005937,0.25061553716659546,15.867090225219727,learned,learned support (DCRF),resnet18,1234,100
loc_049,loc_049,1,0.9475785493850708,14f32179-7c0c-423b-825f-3793cfedc8ac,0.8136700987815857,0.1339084506034851,loc_049,1,1,36.144332602915824,0.2506229281425476,15.79970932006836,learned,learned support (DCRF),resnet18,1234,100
loc_000,loc_000,2,0.9868853688240051,loc_002,0.9876942038536072,-0.0008088350296020508,loc_002,1,1,36.23396680504406,0.25061875581741333,15.476969718933105,uniform,uniform same-energy,resnet18,1234,100
loc_001,loc_001,1,0.9865976572036743,loc_028,0.9714805483818054,0.015117108821868896,loc_001,1,1,36.11758318652883,0.25062108039855957,15.897318840026855,uniform,uniform same-energy,resnet18,1234,100
loc_002,loc_002,1,0.9879636764526367,loc_006,0.9867318868637085,0.0012317895889282227,loc_002,1,1,36.22536371875265,0.2506175935268402,15.507652282714844,uniform,uniform same-energy,resnet18,1234,100
loc_003,loc_003,1,0.9881784915924072,loc_009,0.9863248467445374,0.001853644847869873,loc_003,1,1,36.18892490094496,0.250624418258667,15.638299942016602,uniform,uniform same-energy,resnet18,1234,100
loc_004,loc_004,2,0.9887869954109192,loc_011,0.9894481301307678,-0.0006611347198486328,loc_011,1,1,36.22931768170761,0.25062400102615356,15.493535995483398,uniform,uniform same-energy,resnet18,1234,100
loc_005,loc_005,1,0.9866780638694763,loc_026,0.972847580909729,0.013830482959747314,loc_005,1,1,36.11202387203086,0.250618577003479,15.917675971984863,uniform,uniform same-energy,resnet18,1234,100
loc_006,loc_006,2,0.9860514998435974,loc_002,0.9874094724655151,-0.0013579726219177246,loc_002,1,1,36.23071504447361,0.25061875581741333,15.488545417785645,uniform,uniform same-energy,resnet18,1234,100
loc_007,loc_007,1,0.9860329627990723,loc_003,0.9849023222923279,0.0011306405067443848,loc_007,1,1,36.190939564690815,0.2506248354911804,15.631051063537598,uniform,uniform same-energy,resnet18,1234,100
loc_008,loc_008,2,0.985386848449707,loc_007,0.9857683181762695,-0.0003814697265625,loc_007,1,1,36.18789365836632,0.2506250739097595,15.642013549804688,uniform,uniform same-energy,resnet18,1234,100
loc_009,loc_009,2,0.9865204691886902,loc_003,0.9869863986968994,-0.0004659295082092285,loc_003,1,1,36.19181003845403,0.2506241202354431,15.62791919708252,uniform,uniform same-energy,resnet18,1234,100
loc_010,loc_010,1,0.9867175817489624,1107c88d-22df-44e5-b8a0-6874b5886fbc,0.972294807434082,0.014422774314880371,loc_010,1,1,36.182787948692074,0.25062644481658936,15.660408973693848,uniform,uniform same-energy,resnet18,1234,100
loc_011,loc_011,1,0.987846851348877,loc_004,0.987622857093811,0.00022399425506591797,loc_011,1,1,36.20927660103559,0.25062429904937744,15.565140724182129,uniform,uniform same-energy,resnet18,1234,100
loc_012,loc_012,1,0.9554107189178467,0add8eee-e626-4fce-a2e1-ae4adf452ffc,0.936078667640686,0.019332051277160645,loc_012,1,1,36.21743075904092,0.2506130337715149,15.53599739074707,uniform,uniform same-energy,resnet18,1234,100
loc_013,loc_013,3,0.9832279086112976,loc_002,0.9849119186401367,-0.0016840100288391113,loc_002,1,1,36.28008649026846,0.2506183981895447,15.313467025756836,uniform,uniform same-energy,resnet18,1234,100
loc_014,loc_014,4,0.9828439950942993,loc_008,0.9850674867630005,-0.002223491668701172,loc_008,1,1,36.18787386726929,0.2506248652935028,15.64207935333252,uniform,uniform same-energy,resnet18,1234,100
loc_015,loc_015,1,0.9669095873832703,loc_029,0.7511605620384216,0.21574902534484863,loc_015,1,1,36.11911138645944,0.25062716007232666,15.891716957092285,uniform,uniform same-energy,resnet18,1234,100
loc_016,loc_016,1,0.9874874949455261,14a24568-2e9e-4624-b5ea-73ed6f910078,0.9683442115783691,0.019143283367156982,loc_016,1,1,36.199951960064595,0.25062501430511475,15.598636627197266,uniform,uniform same-energy,resnet18,1234,100
loc_017,loc_017,1,0.980109453201294,loc_020,0.9628852009773254,0.017224252223968506,loc_017,1,1,36.163337162010194,0.2506261467933655,15.730779647827148,uniform,uniform same-energy,resnet18,1234,100
loc_018,loc_018,1,0.9758644104003906,06b73834-976c-4872-bcaf-04a56d20c94b,0.9221723079681396,0.05369210243225098,loc_018,1,1,36.10342655641758,0.2506157457828522,15.949214935302734,uniform,uniform same-energy,resnet18,1234,100
loc_019,loc_019,1,0.9561954736709595,1717af7a-d351-4d97-9921-e285f69d21ae,0.9359805583953857,0.02021491527557373,loc_019,1,1,36.116114412860135,0.2506207227706909,15.902661323547363,uniform,uniform same-energy,resnet18,1234,100
loc_020,loc_020,6,0.9750248193740845,loc_003,0.9851158261299133,-0.010091006755828857,loc_003,0,1,36.188702779196014,0.25062426924705505,15.639111518859863,uniform,uniform same-energy,resnet18,1234,100
loc_021,loc_021,1,0.972871720790863,loc_039,0.9613677263259888,0.011503994464874268,loc_021,1,1,36.13196889980525,0.250619113445282,15.844730377197266,uniform,uniform same-energy,resnet18,1234,100
loc_022,loc_022,1,0.9692217111587524,loc_024,0.9677702188491821,0.0014514923095703125,loc_022,1,1,36.13402763258666,0.2506258487701416,15.837247848510742,uniform,uniform same-energy,resnet18,1234,100
loc_023,loc_023,1,0.9347497224807739,loc_041,0.8545322418212891,0.08021748065948486,loc_023,1,1,36.17227943215606,0.25061583518981934,15.698320388793945,uniform,uniform same-energy,resnet18,1234,100
loc_024,loc_024,7,0.973961591720581,loc_007,0.9807206392288208,-0.006759047508239746,loc_007,0,1,36.17340579494763,0.2506256699562073,15.69427490234375,uniform,uniform same-energy,resnet18,1234,100
loc_025,loc_025,1,0.9559207558631897,loc_015,0.7661205530166626,0.1898002028465271,loc_025,1,1,36.139179737767876,0.2506312131881714,15.818456649780273,uniform,uniform same-energy,resnet18,1234,100
loc_026,loc_026,2,0.9721187949180603,loc_005,0.9740318059921265,-0.0019130110740661621,loc_005,1,1,36.11748434866569,0.2506171762943268,15.897650718688965,uniform,uniform same-energy,resnet18,1234,100
loc_027,loc_027,2,0.7932295799255371,loc_025,0.8004005551338196,-0.007170975208282471,loc_025,1,1,36.25001847596107,0.25061899423599243,15.43893051147461,uniform,uniform same-energy,resnet18,1234,100
loc_028,loc_028,2,0.9573895931243896,loc_001,0.9613741040229797,-0.003984510898590088,loc_001,1,1,36.11612823254187,0.25062230229377747,15.90263843536377,uniform,uniform same-energy,resnet18,1234,100
loc_029,loc_029,1,0.9532674551010132,125c08a5-7ef5-4c15-afc6-6fd70d28ed97,0.8107929229736328,0.14247453212738037,loc_029,1,1,36.12177706687096,0.2506200075149536,15.88200855255127,uniform,uniform same-energy,resnet18,1234,100
