query_id,correct_gallery_id,correct_rank,correct_similarity,hardest_negative_id,hardest_negative_similarity,retrieval_margin,top1_gallery_id,top5_hit,top10_hit,psnr_mean,effective_weight_energy,effective_mse,placement,label,backbone,seed,gallery_size
loc_000,loc_000,2,0.9774613380432129,loc_002,0.9784490466117859,-0.000987708568572998,loc_002,1,1,32.83429883645993,0.5531333684921265,33.85724639892578,learned,learned support (DCRF),resnet18,1234,100
loc_001,loc_001,1,0.981842041015625,loc_028,0.9673531651496887,0.01448887586593628,loc_001,1,1,33.78712971100061,0.42751896381378174,27.187801361083984,learned,learned support (DCRF),resnet18,1234,100
loc_002,loc_002,1,0.9740745425224304,loc_006,0.9727792143821716,0.001295328140258789,loc_002,1,1,32.49176049531316,0.5953558087348938,36.635765075683594,learned,learned support (DCRF),resnet18,1234,100
loc_003,loc_003,1,0.9864240288734436,loc_009,0.9836069941520691,0.0028170347213745117,loc_003,1,1,35.591194575999616,0.29465070366859436,17.945791244506836,learned,learned support (DCRF),resnet18,1234,100
loc_004,loc_004,2,0.9849772453308105,loc_011,0.9864856004714966,-0.0015083551406860352,loc_011,1,1,35.18359232110306,0.3273860514163971,19.711875915527344,learned,learned support (DCRF),resnet18,1234,100
loc_005,loc_005,1,0.9772696495056152,loc_026,0.9684780836105347,0.008791565895080566,loc_005,1,1,33.55197768519082,0.4516412019729614,28.700227737426758,learned,learned support (DCRF),resnet18,1234,100
loc_006,loc_006,3,0.9746541976928711,loc_002,0.9763821363449097,-0.0017279386520385742,loc_002,1,1,32.87235756599808,0.5478828549385071,33.56190490722656,learned,learned support (DCRF),resnet18,1234,100
loc_007,loc_007,1,0.984005868434906,loc_003,0.9839162826538086,8.958578109741211e-05,loc_007,1,1,35.397718851338,0.3075835108757019,18.76348304748535,learned,learned support (DCRF),resnet18,1234,100
loc_008,loc_008,3,0.9814527630805969,loc_007,0.9823938608169556,-0.0009410977363586426,loc_007,1,1,35.519035413780536,0.2990230619907379,18.24658203125,learned,learned support (DCRF),resnet18,1234,100
loc_009,loc_009,2,0.9847521185874939,loc_003,0.986478328704834,-0.0017262101173400879,loc_003,1,1,35.58705700478774,0.2951231598854065,17.963024139404297,learned,learned support (DCRF),resnet18,1234,100
loc_010,loc_010,1,0.9847599267959595,1107c88d-22df-44e5-b8a0-6874b5886fbc,0.9710610508918762,0.013698875904083252,loc_010,1,1,36.560073741584134,0.2360423356294632,14.357682228088379,learned,learned support (DCRF),resnet18,1234,100
loc_011,loc_011,1,0.9856114983558655,loc_004,0.9845353960990906,0.0010761022567749023,loc_011,1,1,35.28962556678951,0.3187476396560669,19.260486602783203,learned,learned support (DCRF),resnet18,1234,100
loc_012,loc_012,1,0.9505963921546936,0add8eee-e626-4fce-a2e1-ae4adf452ffc,0.9336122274398804,0.016984164714813232,loc_012,1,1,32.7884191614838,0.5561016201972961,34.21719741821289,learned,learned support (DCRF),resnet18,1234,100
loc_013,loc_013,3,0.9727308750152588,loc_002,0.9733858108520508,-0.0006549358367919922,loc_002,1,1,32.96601740390124,0.5417931079864502,32.8458137512207,learned,learned support (DCRF),resnet18,1234,100
loc_014,loc_014,4,0.9796363115310669,loc_003,0.9808120727539062,-0.0011757612228393555,loc_003,1,1,35.144914575300255,0.3248312771320343,19.88827133178711,learned,learned support (DCRF),resnet18,1234,100
loc_015,loc_015,1,0.9534708857536316,loc_029,0.7536070942878723,0.19986379146575928,loc_015,1,1,34.75045596671011,0.34419116377830505,21.778913497924805,learned,learned support (DCRF),resnet18,1234,100
loc_016,loc_016,1,0.9869498014450073,14a24568-2e9e-4624-b5ea-73ed6f910078,0.9687544107437134,0.018195390701293945,loc_016,1,1,36.52911240830799,0.24253591895103455,14.460417747497559,learned,learned support (DCRF),resnet18,1234,100
loc_017,loc_017,1,0.9745898842811584,loc_020,0.9611887335777283,0.013401150703430176,loc_017,1,1,36.63939195725711,0.232589453458786,14.099352836608887,learned,learned support (DCRF),resnet18,1234,100
loc_018,loc_018,1,0.9812946319580078,06b73834-976c-4872-bcaf-04a56d20c94b,0.9268364906311035,0.0544581413269043,loc_018,1,1,35.39686456222795,0.2948363125324249,18.76719093322754,learned,learned support (DCRF),resnet18,1234,100
loc_019,loc_019,1,0.947262167930603,1717af7a-d351-4d97-9921-e285f69d21ae,0.9273967742919922,0.01986539363861084,loc_019,1,1,33.73402574126127,0.43208685517311096,27.52894401550293,learned,learned support (DCRF),resnet18,1234,100
loc_020,loc_020,6,0.9713162183761597,loc_003,0.9835144281387329,-0.012198209762573242,loc_003,0,1,35.79577670830187,0.2816251516342163,17.12036895751953,learned,learned support (DCRF),resnet18,1234,100
