query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,none,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,jpeg75,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,blur,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,denoise,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,jpeg60,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,jpeg30,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,median3,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,resize_half,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,blur2,self,10,boston:156,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,bitdepth4,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,random_one,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,jpeg50_blur,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,none,self,483,boston:210,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,jpeg75,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,blur,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,denoise,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,jpeg60,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,jpeg30,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,median3,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,resize_half,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,blur2,self,10,boston:156,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,bitdepth4,self,236,zurich:38,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,random_one,self,10,boston:156,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,jpeg50_blur,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,none,self,1,amman:31,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,jpeg75,self,1,amman:31,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,jpeg50,self,3,boston:79,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,blur,self,2,boston:210,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,denoise,self,1,amman:31,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,jpeg60,self,4,boston:79,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,jpeg30,self,1,amman:31,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,median3,self,2,london:85,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,resize_half,self,2,boston:210,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,blur2,self,8,boston:156,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,bitdepth4,self,1,amman:31,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,random_one,self,3,boston:79,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,jpeg50_blur,self,2,boston:98,amman:31,15.680002,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,none,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,jpeg75,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,jpeg50,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,blur,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,denoise,self,2,amman:36,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,jpeg60,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,jpeg30,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,median3,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,resize_half,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,blur2,self,6,boston:156,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,bitdepth4,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,random_one,self,2,amman:36,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,jpeg50_blur,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,none,self,734,manila:29,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,jpeg75,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,blur,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,denoise,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,jpeg60,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,jpeg30,self,2,london:63,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,median3,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,resize_half,self,3,amman:36,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,blur2,self,9,boston:156,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,bitdepth4,self,206,toronto:88,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,random_one,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,jpeg50_blur,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,none,self,15,boston:210,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,jpeg75,self,1,amman:31,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,jpeg50,self,4,manila:153,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,blur,self,1,amman:31,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,denoise,self,6,boston:145,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,jpeg60,self,2,cph:33,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,jpeg30,self,1,amman:31,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,median3,self,19,london:85,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,resize_half,self,2,manila:153,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,blur2,self,8,boston:156,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,bitdepth4,self,6,cph:429,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,random_one,self,2,manila:153,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,jpeg50_blur,self,5,cph:176,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,none,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,jpeg75,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,blur,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,denoise,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,jpeg60,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,jpeg30,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,median3,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,resize_half,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,blur2,self,7,boston:156,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,bitdepth4,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,random_one,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,jpeg50_blur,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,9012,none,self,897,cph:384,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,9012,jpeg75,self,1,amman:31,amman:31,15.679997,36.1773
