query_id,condition,purifier,draw,correct_rank,correct_place,psnr_to_clean
amman_query_-39Q9edqZUArYHa41OPDoQ,clean,none,0,1,amman:31,
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,0,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,0,1,amman:31,36.1539
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,1,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,1,1,amman:31,36.1528
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,2,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,2,1,amman:31,36.1521
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,0,100,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,0,83,amman:31,31.7812
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,1,20,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,1,27,amman:31,32.0149
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,2,2,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,2,3,amman:31,32.0024
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,0,6,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,0,7,amman:31,28.6260
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,0,6,amman:31,31.8503
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,1,6,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,1,11,amman:31,28.6581
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,1,6,amman:31,31.8770
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,2,6,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,2,12,amman:31,28.6288
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,2,15,amman:31,31.8438
amman_query_-6eEB_fS2eePRNUql6vOrQ,clean,none,0,1,amman:21,
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,0,1,amman:21,36.1642
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,1,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,1,1,amman:21,36.1635
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,2,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,2,1,amman:21,36.1638
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,0,20,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,0,21,amman:21,35.1149
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,1,28,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,1,31,amman:21,35.1189
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,2,23,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,2,27,amman:21,35.1207
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,0,13,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,0,13,amman:21,36.1585
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,0,14,amman:21,35.0905
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,1,6,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,1,6,amman:21,36.1562
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,1,6,amman:21,35.0949
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,2,5,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,2,5,amman:21,36.1567
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,2,5,amman:21,35.0900
amman_query_-BJoV1t0rKwEzk0bsZplVQ,clean,none,0,1768,amman:37,
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,0,1833,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,0,1833,amman:37,36.1292
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,1,1870,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,1,1868,amman:37,36.1359
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,2,1821,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,2,1824,amman:37,36.1302
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,0,1267,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,0,1335,amman:37,34.6733
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,1,1654,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,1,1640,amman:37,34.6433
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,2,1754,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,2,1743,amman:37,34.6592
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,0,1845,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,0,1841,amman:37,35.0616
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,0,1792,amman:37,34.6825
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,1,1733,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,1,1734,amman:37,35.0533
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,1,1771,amman:37,34.6712
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,2,1308,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,2,1365,amman:37,35.0443
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,2,1237,amman:37,34.6774
amman_query_-D0IlKF__f0c9DPAKbiYnw,clean,none,0,16,amman:23,
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,0,60,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,0,58,amman:23,36.1587
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,1,70,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,1,69,amman:23,36.1616
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,2,84,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,2,83,amman:23,36.1620
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,0,132,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,0,129,amman:23,35.1265
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,1,196,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,1,181,amman:23,35.1333
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,2,60,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,2,73,amman:23,35.1281
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,0,47,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,0,45,amman:23,36.1556
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,0,55,amman:23,35.0941
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,1,17,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,1,17,amman:23,36.1594
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,1,20,amman:23,35.1203
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,2,30,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,2,28,amman:23,36.1579
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,2,38,amman:23,35.1174
amman_query_-EAmCN9i5BGEadZIccXEyA,clean,none,0,14,amman:30,
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,0,15,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,0,15,amman:30,36.1627
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,1,16,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,1,16,amman:30,36.1616
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,2,17,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,2,17,amman:30,36.1606
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,0,64,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,0,78,amman:30,33.8342
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,1,103,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,1,119,amman:30,33.7762
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,2,165,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,2,194,amman:30,33.9108
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,0,177,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,0,121,amman:30,30.6603
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,0,147,amman:30,34.2317
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,1,195,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,1,222,amman:30,30.7409
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,1,219,amman:30,33.7127
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,2,136,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,2,145,amman:30,30.7647
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,2,113,amman:30,33.8374
amman_query_-L_vanPrT4RcWlLbzCqMKA,clean,none,0,49,amman:29,
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,0,31,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,0,31,amman:29,36.1648
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,1,35,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,1,36,amman:29,36.1642
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,2,25,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,2,26,amman:29,36.1627
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,0,145,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,0,142,amman:29,35.0955
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,1,130,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,1,124,amman:29,35.0783
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,2,123,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,2,133,amman:29,35.0700
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,0,39,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,0,39,amman:29,36.1551
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,0,35,amman:29,35.0826
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,1,33,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,1,34,amman:29,36.1547
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,1,31,amman:29,35.0779
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,2,85,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,2,88,amman:29,36.1549
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,2,84,amman:29,35.0715
amman_query_-MUBUlzvFxQS_zFg6xNhVg,clean,none,0,65,amman:6,
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,0,77,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,0,77,amman:6,36.1619
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,1,114,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,1,114,amman:6,36.1654
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,2,74,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,2,75,amman:6,36.1650
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,0,62,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,0,44,amman:6,35.0996
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,1,20,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,1,22,amman:6,35.1233
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,2,27,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,2,26,amman:6,35.1234
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,none,0,17,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,hardened,0,16,amman:6,36.1529
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,direction,0,16,amman:6,35.0880
