query_id,condition,purifier,draw,correct_rank,correct_place,psnr_to_clean
amman_query_-39Q9edqZUArYHa41OPDoQ,clean,none,0,1,amman:31,
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,0,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,0,1,amman:31,43.7044
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,1,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,1,1,amman:31,43.6925
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,2,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,2,1,amman:31,43.6841
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,0,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,0,1,amman:31,40.4875
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,1,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,1,1,amman:31,40.4812
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,2,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,2,1,amman:31,40.4716
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,0,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,0,1,amman:31,40.1184
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,0,1,amman:31,39.7703
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,1,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,1,1,amman:31,40.0914
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,1,1,amman:31,39.8009
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,2,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,2,1,amman:31,40.1121
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,2,1,amman:31,39.8149
amman_query_-6eEB_fS2eePRNUql6vOrQ,clean,none,0,1,amman:21,
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,0,1,amman:21,42.9635
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,1,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,1,1,amman:21,43.0204
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,2,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,2,1,amman:21,42.9772
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,0,1,amman:21,39.6735
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,1,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,1,1,amman:21,39.7510
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,2,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,2,1,amman:21,39.6831
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,0,1,amman:21,39.4437
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,0,1,amman:21,39.2039
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,1,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,1,1,amman:21,39.5520
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,1,1,amman:21,39.2813
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,2,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,2,1,amman:21,39.4959
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,2,1,amman:21,39.2547
amman_query_-BJoV1t0rKwEzk0bsZplVQ,clean,none,0,342,amman:37,
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,0,106,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,0,241,amman:37,44.6172
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,1,198,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,1,339,amman:37,44.6256
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,2,248,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,2,292,amman:37,44.5647
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,0,210,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,0,278,amman:37,41.0768
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,1,68,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,1,110,amman:37,41.1044
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,2,169,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,2,342,amman:37,41.2608
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,0,137,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,0,290,amman:37,40.7663
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,0,188,amman:37,40.5684
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,1,134,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,1,236,amman:37,40.6865
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,1,209,amman:37,40.5361
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,2,120,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,2,270,amman:37,40.6864
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,2,199,amman:37,40.5139
amman_query_-D0IlKF__f0c9DPAKbiYnw,clean,none,0,69,amman:23,
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,0,91,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,0,75,amman:23,45.6118
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,1,125,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,1,70,amman:23,45.5514
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,2,85,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,2,79,amman:23,45.5974
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,0,450,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,0,114,amman:23,41.8765
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,1,179,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,1,91,amman:23,41.8684
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,2,292,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,2,83,amman:23,41.8683
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,0,177,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,0,83,amman:23,41.0955
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,0,90,amman:23,41.0099
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,1,74,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,1,45,amman:23,41.2368
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,1,53,amman:23,41.1705
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,2,87,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,2,30,amman:23,41.2174
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,2,26,amman:23,41.1366
amman_query_-EAmCN9i5BGEadZIccXEyA,clean,none,0,1,amman:30,
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,0,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,0,1,amman:30,43.4851
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,1,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,1,1,amman:30,43.5033
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,2,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,2,1,amman:30,43.4834
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,0,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,0,1,amman:30,40.5108
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,1,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,1,1,amman:30,40.4913
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,2,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,2,1,amman:30,40.5104
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,0,4,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,0,1,amman:30,40.1794
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,0,1,amman:30,39.9537
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,1,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,1,1,amman:30,40.1740
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,1,2,amman:30,39.9963
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,2,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,2,1,amman:30,40.1478
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,2,2,amman:30,39.9440
amman_query_-L_vanPrT4RcWlLbzCqMKA,clean,none,0,1,amman:29,
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,0,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,0,1,amman:29,42.5065
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,1,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,1,1,amman:29,42.4986
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,2,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,2,1,amman:29,42.4695
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,0,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,0,1,amman:29,39.4195
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,1,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,1,1,amman:29,39.3648
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,2,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,2,1,amman:29,39.4573
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,0,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,0,1,amman:29,39.1465
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,0,1,amman:29,38.9804
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,1,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,1,1,amman:29,39.1971
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,1,1,amman:29,39.0310
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,2,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,2,1,amman:29,39.1425
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,2,1,amman:29,38.9900
amman_query_-MUBUlzvFxQS_zFg6xNhVg,clean,none,0,2,amman:6,
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,0,6,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,0,5,amman:6,43.1267
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,1,4,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,1,3,amman:6,43.1183
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,2,5,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,2,2,amman:6,43.1154
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,0,1,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,0,1,amman:6,40.1695
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,1,1,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,1,2,amman:6,40.1566
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,2,5,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,2,1,amman:6,40.1378
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,none,0,3,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,hardened,0,1,amman:6,39.7329
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,direction,0,3,amman:6,39.6629
