query_id,condition,purifier,draw,correct_rank,correct_place,psnr_to_clean
amman_query_-39Q9edqZUArYHa41OPDoQ,clean,none,0,1,amman:31,
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,0,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,0,1,amman:31,43.4508
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,1,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,1,1,amman:31,43.4536
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,2,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,2,1,amman:31,43.4195
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,0,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,0,1,amman:31,40.7957
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,1,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,1,1,amman:31,40.7708
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,2,1,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,2,1,amman:31,40.7328
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,0,5,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,0,1,amman:31,40.1521
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,0,1,amman:31,40.0726
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,1,25,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,1,1,amman:31,40.2087
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,1,1,amman:31,40.1427
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,2,13,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,2,1,amman:31,40.2146
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,2,1,amman:31,40.1730
amman_query_-6eEB_fS2eePRNUql6vOrQ,clean,none,0,1,amman:21,
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,0,1,amman:21,42.6970
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,1,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,1,1,amman:21,42.7636
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,2,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,2,1,amman:21,42.7428
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,0,1,amman:21,39.9303
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,1,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,1,1,amman:21,39.9660
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,2,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,2,1,amman:21,39.9014
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,0,1,amman:21,39.5221
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,0,1,amman:21,39.4271
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,1,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,1,1,amman:21,39.5992
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,1,1,amman:21,39.4873
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,2,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,2,1,amman:21,39.6504
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,2,1,amman:21,39.5289
amman_query_-BJoV1t0rKwEzk0bsZplVQ,clean,none,0,166,amman:37,
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,0,162,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,0,63,amman:37,44.3312
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,1,146,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,1,94,amman:37,44.3428
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,2,61,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,2,30,amman:37,44.3012
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,0,97,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,0,47,amman:37,41.4956
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,1,64,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,1,145,amman:37,41.5766
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,2,45,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,2,46,amman:37,41.5490
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,0,196,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,0,46,amman:37,40.7071
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,0,64,amman:37,40.8386
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,1,52,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,1,34,amman:37,40.7425
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,1,80,amman:37,40.8504
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,2,96,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,2,18,amman:37,40.7408
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,2,11,amman:37,40.8608
amman_query_-D0IlKF__f0c9DPAKbiYnw,clean,none,0,69,amman:23,
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,0,80,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,0,93,amman:23,45.5171
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,1,70,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,1,115,amman:23,45.4692
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,2,103,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,2,71,amman:23,45.4921
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,0,317,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,0,36,amman:23,42.4719
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,1,129,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,1,71,amman:23,42.4067
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,2,872,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,2,143,amman:23,42.4721
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,0,224,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,0,366,amman:23,41.3221
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,0,267,amman:23,41.6800
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,1,542,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,1,31,amman:23,41.3418
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,1,129,amman:23,41.6343
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,2,249,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,2,12,amman:23,41.3988
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,2,57,amman:23,41.6721
amman_query_-EAmCN9i5BGEadZIccXEyA,clean,none,0,1,amman:30,
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,0,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,0,1,amman:30,43.2166
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,1,6,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,1,1,amman:30,43.2631
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,2,2,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,2,1,amman:30,43.2141
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,0,124,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,0,5,amman:30,40.7034
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,1,342,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,1,3,amman:30,40.7504
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,2,380,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,2,3,amman:30,40.7326
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,0,9,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,0,1,amman:30,40.1398
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,0,1,amman:30,40.0917
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,1,52,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,1,3,amman:30,40.1914
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,1,9,amman:30,40.1774
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,2,338,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,2,1,amman:30,40.1411
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,2,1,amman:30,40.1194
amman_query_-L_vanPrT4RcWlLbzCqMKA,clean,none,0,1,amman:29,
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,0,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,0,1,amman:29,42.2543
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,1,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,1,1,amman:29,42.2351
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,2,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,2,1,amman:29,42.2306
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,0,10,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,0,2,amman:29,39.6185
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,1,23,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,1,4,amman:29,39.5436
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,2,5,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,2,8,amman:29,39.5693
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,0,19,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,0,5,amman:29,39.1753
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,0,6,amman:29,39.0980
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,1,21,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,1,5,amman:29,39.2105
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,1,6,amman:29,39.1078
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,2,15,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,2,3,amman:29,39.1738
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,2,3,amman:29,39.0830
amman_query_-MUBUlzvFxQS_zFg6xNhVg,clean,none,0,1,amman:6,
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,0,15,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,0,1,amman:6,42.9227
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,1,5,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,1,1,amman:6,42.9047
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,2,32,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,2,1,amman:6,42.9111
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,0,25,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,0,1,amman:6,40.2663
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,1,9,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,1,3,amman:6,40.2172
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,2,77,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,2,3,amman:6,40.2195
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,none,0,23,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,hardened,0,2,amman:6,39.7609
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,direction,0,3,amman:6,39.7159
