query_id,condition,purifier,draw,correct_rank,correct_place,psnr_to_clean
amman_query_-39Q9edqZUArYHa41OPDoQ,clean,none,0,5,amman:31,
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,0,36,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,0,8,amman:31,43.8193
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,1,27,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,1,6,amman:31,43.7933
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,none,2,29,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,isotropic,2,8,amman:31,43.7822
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,0,53,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,0,3,amman:31,40.7609
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,1,22,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,1,4,amman:31,40.8451
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,none,2,45,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,direction,2,9,amman:31,40.7888
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,0,24,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,0,1,amman:31,39.6558
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,0,2,amman:31,40.1130
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,1,36,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,1,1,amman:31,39.6662
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,1,1,amman:31,40.1308
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,none,2,39,amman:31,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,hardened,2,3,amman:31,39.6172
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,direction,2,1,amman:31,40.0480
amman_query_-6eEB_fS2eePRNUql6vOrQ,clean,none,0,1,amman:21,
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,0,1,amman:21,43.1100
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,1,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,1,1,amman:21,43.1823
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,none,2,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,isotropic,2,1,amman:21,43.1354
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,0,1,amman:21,39.7475
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,1,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,1,1,amman:21,39.7976
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,none,2,2,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,direction,2,1,amman:21,39.8002
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,0,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,0,1,amman:21,39.2231
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,0,1,amman:21,39.2855
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,1,2,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,1,1,amman:21,39.2577
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,1,1,amman:21,39.3250
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,none,2,1,amman:21,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,hardened,2,1,amman:21,39.3026
amman_query_-6eEB_fS2eePRNUql6vOrQ,hardened,direction,2,1,amman:21,39.3855
amman_query_-BJoV1t0rKwEzk0bsZplVQ,clean,none,0,1077,amman:37,
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,0,750,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,0,1011,amman:37,44.8443
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,1,566,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,1,706,amman:37,44.8394
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,none,2,653,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,isotropic,2,917,amman:37,44.8034
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,0,644,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,0,988,amman:37,41.5201
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,1,749,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,1,824,amman:37,41.5008
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,none,2,837,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,direction,2,859,amman:37,41.5364
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,0,467,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,0,1080,amman:37,40.4718
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,0,1103,amman:37,40.9060
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,1,623,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,1,1141,amman:37,40.4257
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,1,1212,amman:37,40.8702
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,2,675,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,2,1088,amman:37,40.4673
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,2,1046,amman:37,40.8674
amman_query_-D0IlKF__f0c9DPAKbiYnw,clean,none,0,142,amman:23,
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,0,238,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,0,175,amman:23,45.7988
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,1,259,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,1,138,amman:23,45.7528
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,2,254,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,2,148,amman:23,45.7996
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,0,358,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,0,94,amman:23,42.1851
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,1,282,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,1,295,amman:23,42.0907
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,2,191,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,2,182,amman:23,42.2347
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,0,293,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,0,383,amman:23,40.9796
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,0,380,amman:23,41.2842
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,1,438,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,1,259,amman:23,41.0083
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,1,321,amman:23,41.3502
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,2,104,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,2,305,amman:23,41.0626
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,2,291,amman:23,41.3849
amman_query_-EAmCN9i5BGEadZIccXEyA,clean,none,0,3,amman:30,
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,0,7,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,0,4,amman:30,43.5362
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,1,9,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,1,4,amman:30,43.5633
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,2,8,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,2,4,amman:30,43.5186
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,0,3,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,0,5,amman:30,40.7279
