query_id,condition,seed,opt_steps,optimised_against,correct_rank,top1_place,correct_place,effective_mse,psnr,weight_top10pct_share,weight_mean_square,surrogate_sim_start,surrogate_sim_end
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,1234,20,none,2,amman:11,amman:31,15.680000,36.1773,0.100000,1.000000,2.815240,2.815240
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,1234,20,none,1,boston:87,boston:87,15.680000,36.1773,0.100000,1.000000,2.798425,2.798425
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,1234,20,none,1,cph:208,cph:208,15.679998,36.1773,0.100000,1.000000,2.808729,2.808729
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,1234,20,none,14,london:85,london:51,15.679997,36.1773,0.100000,1.000000,2.845033,2.845033
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,1234,20,none,2,amman:11,amman:31,15.679998,36.1773,0.100000,1.000000,2.815240,2.815240
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,1234,20,none,1,boston:87,boston:87,15.679997,36.1773,0.100000,1.000000,2.798425,2.798425
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,1234,20,none,1,cph:208,cph:208,15.680000,36.1773,0.100000,1.000000,2.808729,2.808729
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform_crossdraw,1234,20,none,15,london:85,london:51,15.679997,36.1773,0.100000,1.000000,2.845033,2.845033
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,2,amman:11,amman:31,15.679998,36.1773,0.541744,1.000000,2.815231,2.425165
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.680000,36.1773,0.520168,1.000000,2.798461,2.455509
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.680000,36.1773,0.526505,1.000000,2.808737,2.395694
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,16,london:73,london:51,15.680002,36.1773,0.548804,1.000000,2.845061,2.518671
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,2,amman:11,amman:31,15.680000,36.1773,0.541744,1.000000,2.815231,2.425165
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.680000,36.1773,0.520168,1.000000,2.798461,2.455509
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.679998,36.1773,0.526505,1.000000,2.808737,2.395694
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,14,london:73,london:51,15.679997,36.1773,0.548804,1.000000,2.845061,2.518671
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,2,amman:11,amman:31,15.679998,36.1773,0.755175,1.000000,2.815231,2.130774
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.680002,36.1773,0.693795,1.000000,2.798461,2.277861
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.680000,36.1773,0.722073,1.000000,2.808737,2.112775
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,15,london:73,london:51,15.679996,36.1773,0.751183,1.000000,2.845061,2.266394
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_x2_crossdraw,1234,40,expectation:resnet50+vgg16+cosplace,2,amman:11,amman:31,15.680000,36.1773,0.755175,1.000000,2.815231,2.130774
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_x2_crossdraw,1234,40,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.679998,36.1773,0.693795,1.000000,2.798461,2.277861
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_x2_crossdraw,1234,40,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.680000,36.1773,0.722073,1.000000,2.808737,2.112775
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_x2_crossdraw,1234,40,expectation:resnet50+vgg16+cosplace,16,london:73,london:51,15.680001,36.1773,0.751183,1.000000,2.845061,2.266394
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox,1234,20,expectation:clip_vitl14,24,amman:35,amman:31,15.679998,36.1773,0.464968,1.000000,0.838339,0.716967
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox,1234,20,expectation:clip_vitl14,12,manila:202,boston:87,15.680000,36.1773,0.476978,1.000000,0.861460,0.695798
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox,1234,20,expectation:clip_vitl14,80,london:119,cph:208,15.680000,36.1773,0.475870,1.000000,0.860710,0.645401
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox,1234,20,expectation:clip_vitl14,17,london:85,london:51,15.680000,36.1773,0.458825,1.000000,0.942115,0.845942
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_crossdraw,1234,20,expectation:clip_vitl14,23,amman:35,amman:31,15.680000,36.1773,0.464968,1.000000,0.838339,0.716967
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_crossdraw,1234,20,expectation:clip_vitl14,16,manila:202,boston:87,15.680000,36.1773,0.476978,1.000000,0.861460,0.695798
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox_crossdraw,1234,20,expectation:clip_vitl14,58,london:119,cph:208,15.679998,36.1773,0.475870,1.000000,0.860710,0.645401
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox_crossdraw,1234,20,expectation:clip_vitl14,17,london:85,london:51,15.680000,36.1773,0.458825,1.000000,0.942115,0.845942
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_x2,1234,40,expectation:clip_vitl14,27,amman:35,amman:31,15.679998,36.1773,0.594624,1.000000,0.838339,0.670350
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_x2,1234,40,expectation:clip_vitl14,21,manila:202,boston:87,15.680000,36.1773,0.610228,1.000000,0.861460,0.630283
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox_x2,1234,40,expectation:clip_vitl14,268,london:119,cph:208,15.680000,36.1773,0.626958,1.000000,0.860710,0.532041
