query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,none,self,2,amman:11,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,none,self,1756,london:119,amman:31,15.680001,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,none,self,14,amman:15,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,none,self,2,amman:11,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,none,self,1697,london:119,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,none,self,9,amman:15,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,none,self,2,amman:11,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,9012,none,self,1854,london:119,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,9012,none,self,8,amman:15,amman:31,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,1234,none,self,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,1234,none,self,251,nairobi:4,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,1234,none,self,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,5678,none,self,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,5678,none,self,33,nairobi:4,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,5678,none,self,2,boston:139,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,9012,none,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,9012,none,self,57,nairobi:4,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,9012,none,self,1,boston:87,boston:87,15.679998,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,1234,none,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,white_box,1234,none,self,1742,zurich:98,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,1234,none,self,7,cph:162,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,5678,none,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,white_box,5678,none,self,1514,toronto:185,cph:208,15.679998,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,5678,none,self,17,cph:356,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,9012,none,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,white_box,9012,none,self,1640,nairobi:4,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,9012,none,self,71,cph:162,cph:208,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,isotropic,1234,none,self,14,london:85,london:51,15.679998,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,white_box,1234,none,self,1552,boston:90,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,1234,none,self,12,london:85,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,isotropic,5678,none,self,15,london:85,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,white_box,5678,none,self,1916,nairobi:4,london:51,15.680001,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,5678,none,self,11,london:84,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,isotropic,9012,none,self,14,london:85,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,white_box,9012,none,self,1821,boston:87,london:51,15.679997,36.1773
