query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,1234,none,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_4,1234,none,self,1,cph:208,cph:208,15.679998,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,5678,none,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_4,5678,none,self,1,cph:208,cph:208,15.679998,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,9012,none,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_4,9012,none,self,1,cph:208,cph:208,15.679998,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,isotropic,1234,none,self,1,cph:162,cph:162,15.679997,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_4,1234,none,self,1,cph:162,cph:162,15.680000,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,isotropic,5678,none,self,1,cph:162,cph:162,15.680000,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_4,5678,none,self,1,cph:162,cph:162,15.679998,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,isotropic,9012,none,self,1,cph:162,cph:162,15.679998,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_4,9012,none,self,1,cph:162,cph:162,15.680000,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,isotropic,1234,none,self,1,cph:345,cph:345,15.679997,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,transfer_4,1234,none,self,1,cph:345,cph:345,15.680000,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,isotropic,5678,none,self,1,cph:345,cph:345,15.679997,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,transfer_4,5678,none,self,1,cph:345,cph:345,15.679997,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,isotropic,9012,none,self,1,cph:345,cph:345,15.680000,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,transfer_4,9012,none,self,1,cph:345,cph:345,15.680000,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,isotropic,1234,none,self,1,cph:71,cph:71,15.680001,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,transfer_4,1234,none,self,5,london:121,cph:71,15.680000,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,isotropic,5678,none,self,5,london:121,cph:71,15.679998,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,transfer_4,5678,none,self,1,cph:71,cph:71,15.679997,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,isotropic,9012,none,self,5,london:121,cph:71,15.680001,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,transfer_4,9012,none,self,1,cph:71,cph:71,15.680001,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,isotropic,1234,none,self,1,cph:241,cph:241,15.679997,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,transfer_4,1234,none,self,1,cph:241,cph:241,15.679998,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,isotropic,5678,none,self,1,cph:241,cph:241,15.679997,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,transfer_4,5678,none,self,1,cph:241,cph:241,15.680000,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,isotropic,9012,none,self,1,cph:241,cph:241,15.679996,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,transfer_4,9012,none,self,1,cph:241,cph:241,15.680000,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,isotropic,1234,none,self,1,cph:242,cph:242,15.680000,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,transfer_4,1234,none,self,1,cph:242,cph:242,15.680001,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,isotropic,5678,none,self,1,cph:242,cph:242,15.680000,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,transfer_4,5678,none,self,1,cph:242,cph:242,15.680000,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,isotropic,9012,none,self,1,cph:242,cph:242,15.679997,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,transfer_4,9012,none,self,1,cph:242,cph:242,15.679997,36.1773
cph_query_-2N5Dmf5tOm5N83KXgvjDw,isotropic,1234,none,self,1,cph:459,cph:459,15.680000,36.1773
cph_query_-2N5Dmf5tOm5N83KXgvjDw,transfer_4,1234,none,self,1,cph:459,cph:459,15.679998,36.1773
cph_query_-2N5Dmf5tOm5N83KXgvjDw,isotropic,5678,none,self,1,cph:459,cph:459,15.679997,36.1773
cph_query_-2N5Dmf5tOm5N83KXgvjDw,transfer_4,5678,none,self,1,cph:459,cph:459,15.679997,36.1773
cph_query_-2N5Dmf5tOm5N83KXgvjDw,isotropic,9012,none,self,1,cph:459,cph:459,15.679997,36.1773
cph_query_-2N5Dmf5tOm5N83KXgvjDw,transfer_4,9012,none,self,1,cph:459,cph:459,15.680000,36.1773
cph_query_-3uNzD-M1uI2jZeGqOkpXg,isotropic,1234,none,self,1,cph:7,cph:7,15.679997,36.1773
cph_query_-3uNzD-M1uI2jZeGqOkpXg,transfer_4,1234,none,self,22,boston:239,cph:7,15.679997,36.1773
cph_query_-3uNzD-M1uI2jZeGqOkpXg,isotropic,5678,none,self,1,cph:7,cph:7,15.680000,36.1773
cph_query_-3uNzD-M1uI2jZeGqOkpXg,transfer_4,5678,none,self,4,cph:242,cph:7,15.680000,36.1773
cph_query_-3uNzD-M1uI2jZeGqOkpXg,isotropic,9012,none,self,1,cph:7,cph:7,15.680000,36.1773
cph_query_-3uNzD-M1uI2jZeGqOkpXg,transfer_4,9012,none,self,5,boston:239,cph:7,15.679998,36.1773
cph_query_-4KruxIYZ3a3GYE0tOKn2w,isotropic,1234,none,self,1,cph:333,cph:333,15.679998,36.1773
cph_query_-4KruxIYZ3a3GYE0tOKn2w,transfer_4,1234,none,self,1,cph:333,cph:333,15.680000,36.1773
cph_query_-4KruxIYZ3a3GYE0tOKn2w,isotropic,5678,none,self,1,cph:333,cph:333,15.680001,36.1773
cph_query_-4KruxIYZ3a3GYE0tOKn2w,transfer_4,5678,none,self,1,cph:333,cph:333,15.680000,36.1773
cph_query_-4KruxIYZ3a3GYE0tOKn2w,isotropic,9012,none,self,1,cph:333,cph:333,15.679997,36.1773
cph_query_-4KruxIYZ3a3GYE0tOKn2w,transfer_4,9012,none,self,1,cph:333,cph:333,15.680001,36.1773
cph_query_-4RqBOkDhigU8JsdQZINkQ,isotropic,1234,none,self,1,cph:94,cph:94,15.680002,36.1773
cph_query_-4RqBOkDhigU8JsdQZINkQ,transfer_4,1234,none,self,4,boston:139,cph:94,15.680000,36.1773
cph_query_-4RqBOkDhigU8JsdQZINkQ,isotropic,5678,none,self,1,cph:94,cph:94,15.680002,36.1773
cph_query_-4RqBOkDhigU8JsdQZINkQ,transfer_4,5678,none,self,1,cph:94,cph:94,15.679997,36.1773
cph_query_-4RqBOkDhigU8JsdQZINkQ,isotropic,9012,none,self,1,cph:94,cph:94,15.679995,36.1773
cph_query_-4RqBOkDhigU8JsdQZINkQ,transfer_4,9012,none,self,1,cph:94,cph:94,15.680000,36.1773
cph_query_-4XnD9qE623teR-nRYxB5A,isotropic,1234,none,self,1,cph:190,cph:190,15.680000,36.1773
cph_query_-4XnD9qE623teR-nRYxB5A,transfer_4,1234,none,self,1,cph:190,cph:190,15.680000,36.1773
cph_query_-4XnD9qE623teR-nRYxB5A,isotropic,5678,none,self,1,cph:190,cph:190,15.679998,36.1773
cph_query_-4XnD9qE623teR-nRYxB5A,transfer_4,5678,none,self,1,cph:190,cph:190,15.680000,36.1773
cph_query_-4XnD9qE623teR-nRYxB5A,isotropic,9012,none,self,1,cph:190,cph:190,15.679996,36.1773
cph_query_-4XnD9qE623teR-nRYxB5A,transfer_4,9012,none,self,1,cph:190,cph:190,15.679996,36.1773
cph_query_-5qSxgAnKk-6Bf5AVVoPjA,isotropic,1234,none,self,2,zurich:19,cph:243,15.679998,36.1773
cph_query_-5qSxgAnKk-6Bf5AVVoPjA,transfer_4,1234,none,self,1,cph:243,cph:243,15.679997,36.1773
cph_query_-5qSxgAnKk-6Bf5AVVoPjA,isotropic,5678,none,self,2,zurich:19,cph:243,15.680000,36.1773
cph_query_-5qSxgAnKk-6Bf5AVVoPjA,transfer_4,5678,none,self,1,cph:243,cph:243,15.680000,36.1773
cph_query_-5qSxgAnKk-6Bf5AVVoPjA,isotropic,9012,none,self,2,zurich:19,cph:243,15.680001,36.1773
cph_query_-5qSxgAnKk-6Bf5AVVoPjA,transfer_4,9012,none,self,5,zurich:19,cph:243,15.680000,36.1773
cph_query_-8E-udXiyMJCRp_UkM4Kgw,isotropic,1234,none,self,1,cph:245,cph:245,15.679997,36.1773
cph_query_-8E-udXiyMJCRp_UkM4Kgw,transfer_4,1234,none,self,1,cph:245,cph:245,15.679998,36.1773
cph_query_-8E-udXiyMJCRp_UkM4Kgw,isotropic,5678,none,self,1,cph:245,cph:245,15.679998,36.1773
cph_query_-8E-udXiyMJCRp_UkM4Kgw,transfer_4,5678,none,self,1,cph:245,cph:245,15.680001,36.1773
cph_query_-8E-udXiyMJCRp_UkM4Kgw,isotropic,9012,none,self,1,cph:245,cph:245,15.680001,36.1773
cph_query_-8E-udXiyMJCRp_UkM4Kgw,transfer_4,9012,none,self,1,cph:245,cph:245,15.680000,36.1773
cph_query_-9WYlFp61M1J1zV1mJD4uA,isotropic,1234,none,self,1,cph:280,cph:280,15.680000,36.1773
cph_query_-9WYlFp61M1J1zV1mJD4uA,transfer_4,1234,none,self,1,cph:280,cph:280,15.680000,36.1773
cph_query_-9WYlFp61M1J1zV1mJD4uA,isotropic,5678,none,self,1,cph:280,cph:280,15.679995,36.1773
cph_query_-9WYlFp61M1J1zV1mJD4uA,transfer_4,5678,none,self,1,cph:280,cph:280,15.680001,36.1773
cph_query_-9WYlFp61M1J1zV1mJD4uA,isotropic,9012,none,self,1,cph:280,cph:280,15.679996,36.1773
cph_query_-9WYlFp61M1J1zV1mJD4uA,transfer_4,9012,none,self,1,cph:280,cph:280,15.679997,36.1773
cph_query_-9ZOGirqZl2EVYWN1WLERg,isotropic,1234,none,self,1,cph:162,cph:162,15.680001,36.1773
cph_query_-9ZOGirqZl2EVYWN1WLERg,transfer_4,1234,none,self,1,cph:162,cph:162,15.679997,36.1773
cph_query_-9ZOGirqZl2EVYWN1WLERg,isotropic,5678,none,self,1,cph:162,cph:162,15.679998,36.1773
cph_query_-9ZOGirqZl2EVYWN1WLERg,transfer_4,5678,none,self,1,cph:162,cph:162,15.679997,36.1773
cph_query_-9ZOGirqZl2EVYWN1WLERg,isotropic,9012,none,self,1,cph:162,cph:162,15.679997,36.1773
cph_query_-9ZOGirqZl2EVYWN1WLERg,transfer_4,9012,none,self,1,cph:162,cph:162,15.679997,36.1773
cph_query_-AowxxrsOr_xM02-ZyrQ5A,isotropic,1234,none,self,1,cph:96,cph:96,15.680000,36.1773
cph_query_-AowxxrsOr_xM02-ZyrQ5A,transfer_4,1234,none,self,1,cph:96,cph:96,15.680000,36.1773
cph_query_-AowxxrsOr_xM02-ZyrQ5A,isotropic,5678,none,self,1,cph:96,cph:96,15.679998,36.1773
cph_query_-AowxxrsOr_xM02-ZyrQ5A,transfer_4,5678,none,self,1,cph:96,cph:96,15.680000,36.1773
cph_query_-AowxxrsOr_xM02-ZyrQ5A,isotropic,9012,none,self,1,cph:96,cph:96,15.680000,36.1773
cph_query_-AowxxrsOr_xM02-ZyrQ5A,transfer_4,9012,none,self,1,cph:96,cph:96,15.679997,36.1773
cph_query_-BH_JCTriNnLeoSt0e51lQ,isotropic,1234,none,self,1,cph:429,cph:429,15.680000,36.1773
cph_query_-BH_JCTriNnLeoSt0e51lQ,transfer_4,1234,none,self,2,boston:235,cph:429,15.680000,36.1773
cph_query_-BH_JCTriNnLeoSt0e51lQ,isotropic,5678,none,self,1,cph:429,cph:429,15.679998,36.1773
cph_query_-BH_JCTriNnLeoSt0e51lQ,transfer_4,5678,none,self,6,cph:296,cph:429,15.679997,36.1773
cph_query_-BH_JCTriNnLeoSt0e51lQ,isotropic,9012,none,self,1,cph:429,cph:429,15.679997,36.1773
cph_query_-BH_JCTriNnLeoSt0e51lQ,transfer_4,9012,none,self,2,boston:235,cph:429,15.679998,36.1773
cph_query_-CmhgNHgZVau1Sw841AZJw,isotropic,1234,none,self,1,cph:271,cph:271,15.679997,36.1773
cph_query_-CmhgNHgZVau1Sw841AZJw,transfer_4,1234,none,self,1,cph:271,cph:271,15.680000,36.1773
cph_query_-CmhgNHgZVau1Sw841AZJw,isotropic,5678,none,self,1,cph:271,cph:271,15.679997,36.1773
cph_query_-CmhgNHgZVau1Sw841AZJw,transfer_4,5678,none,self,1,cph:271,cph:271,15.679997,36.1773
cph_query_-CmhgNHgZVau1Sw841AZJw,isotropic,9012,none,self,1,cph:271,cph:271,15.680000,36.1773
cph_query_-CmhgNHgZVau1Sw841AZJw,transfer_4,9012,none,self,1,cph:271,cph:271,15.679998,36.1773
cph_query_-CrgHhqoywCPgzsSAabnsw,isotropic,1234,none,self,1,cph:464,cph:464,15.680000,36.1773
cph_query_-CrgHhqoywCPgzsSAabnsw,transfer_4,1234,none,self,1,cph:464,cph:464,15.680000,36.1773
cph_query_-CrgHhqoywCPgzsSAabnsw,isotropic,5678,none,self,1,cph:464,cph:464,15.680000,36.1773
cph_query_-CrgHhqoywCPgzsSAabnsw,transfer_4,5678,none,self,1,cph:464,cph:464,15.680000,36.1773
cph_query_-CrgHhqoywCPgzsSAabnsw,isotropic,9012,none,self,1,cph:464,cph:464,15.680000,36.1773
