query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,isotropic,1234,none,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_4,1234,none,self,1,manila:102,manila:102,15.679996,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,isotropic,5678,none,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_4,5678,none,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,isotropic,9012,none,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_4,9012,none,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,isotropic,1234,none,self,2,manila:29,manila:142,15.680001,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,transfer_4,1234,none,self,2,manila:29,manila:142,15.680001,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,isotropic,5678,none,self,1,manila:142,manila:142,15.679996,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,transfer_4,5678,none,self,1,manila:142,manila:142,15.680001,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,isotropic,9012,none,self,2,manila:29,manila:142,15.680002,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,transfer_4,9012,none,self,3,manila:29,manila:142,15.680000,36.1773
manila_query_-2h231ovohZWmrsaBllNyw,isotropic,1234,none,self,1,manila:177,manila:177,15.680000,36.1773
manila_query_-2h231ovohZWmrsaBllNyw,transfer_4,1234,none,self,1,manila:177,manila:177,15.680000,36.1773
manila_query_-2h231ovohZWmrsaBllNyw,isotropic,5678,none,self,1,manila:177,manila:177,15.680000,36.1773
manila_query_-2h231ovohZWmrsaBllNyw,transfer_4,5678,none,self,1,manila:177,manila:177,15.680000,36.1773
manila_query_-2h231ovohZWmrsaBllNyw,isotropic,9012,none,self,1,manila:177,manila:177,15.680000,36.1773
manila_query_-2h231ovohZWmrsaBllNyw,transfer_4,9012,none,self,1,manila:177,manila:177,15.679997,36.1773
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,isotropic,1234,none,self,13,manila:54,manila:160,15.679997,36.1773
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,transfer_4,1234,none,self,22,manila:190,manila:160,15.680000,36.1773
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,isotropic,5678,none,self,14,manila:54,manila:160,15.679997,36.1773
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,transfer_4,5678,none,self,34,manila:190,manila:160,15.679998,36.1773
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,isotropic,9012,none,self,15,manila:54,manila:160,15.679995,36.1773
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,transfer_4,9012,none,self,32,manila:190,manila:160,15.680002,36.1773
manila_query_-5pMypBbFEXHPOTYNJl_EA,isotropic,1234,none,self,1,manila:116,manila:116,15.679997,36.1773
manila_query_-5pMypBbFEXHPOTYNJl_EA,transfer_4,1234,none,self,1,manila:116,manila:116,15.679997,36.1773
manila_query_-5pMypBbFEXHPOTYNJl_EA,isotropic,5678,none,self,1,manila:116,manila:116,15.679996,36.1773
manila_query_-5pMypBbFEXHPOTYNJl_EA,transfer_4,5678,none,self,1,manila:116,manila:116,15.679997,36.1773
manila_query_-5pMypBbFEXHPOTYNJl_EA,isotropic,9012,none,self,1,manila:116,manila:116,15.680001,36.1773
manila_query_-5pMypBbFEXHPOTYNJl_EA,transfer_4,9012,none,self,1,manila:116,manila:116,15.680000,36.1773
manila_query_-6NSbTuzpeyDbSXKeGAasg,isotropic,1234,none,self,1,manila:190,manila:190,15.680000,36.1773
manila_query_-6NSbTuzpeyDbSXKeGAasg,transfer_4,1234,none,self,1,manila:190,manila:190,15.679997,36.1773
manila_query_-6NSbTuzpeyDbSXKeGAasg,isotropic,5678,none,self,1,manila:190,manila:190,15.679997,36.1773
manila_query_-6NSbTuzpeyDbSXKeGAasg,transfer_4,5678,none,self,1,manila:190,manila:190,15.680000,36.1773
manila_query_-6NSbTuzpeyDbSXKeGAasg,isotropic,9012,none,self,1,manila:190,manila:190,15.679997,36.1773
manila_query_-6NSbTuzpeyDbSXKeGAasg,transfer_4,9012,none,self,1,manila:190,manila:190,15.679997,36.1773
manila_query_-6_2C-ExaVhx4ONvHOvffw,isotropic,1234,none,self,1,manila:67,manila:67,15.680002,36.1773
manila_query_-6_2C-ExaVhx4ONvHOvffw,transfer_4,1234,none,self,1,manila:67,manila:67,15.679997,36.1773
manila_query_-6_2C-ExaVhx4ONvHOvffw,isotropic,5678,none,self,1,manila:67,manila:67,15.680001,36.1773
manila_query_-6_2C-ExaVhx4ONvHOvffw,transfer_4,5678,none,self,1,manila:67,manila:67,15.680000,36.1773
manila_query_-6_2C-ExaVhx4ONvHOvffw,isotropic,9012,none,self,1,manila:67,manila:67,15.680001,36.1773
