query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,1234,none,self,13,cph:176,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,1234,none,self,79,cph:241,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,5678,none,self,15,cph:176,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,5678,none,self,69,cph:241,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,9012,none,self,9,cph:176,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,9012,none,self,37,cph:241,cph:208,15.680001,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,isotropic,1234,none,self,1,cph:162,cph:162,15.679997,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_3,1234,none,self,10,cph:176,cph:162,15.679997,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,isotropic,5678,none,self,1,cph:162,cph:162,15.680000,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_3,5678,none,self,8,cph:33,cph:162,15.679997,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,isotropic,9012,none,self,1,cph:162,cph:162,15.679998,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_3,9012,none,self,8,cph:33,cph:162,15.679998,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,isotropic,1234,none,self,1,cph:345,cph:345,15.679997,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,transfer_3,1234,none,self,5,cph:429,cph:345,15.680000,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,isotropic,5678,none,self,1,cph:345,cph:345,15.679997,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,transfer_3,5678,none,self,1,cph:345,cph:345,15.680000,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,isotropic,9012,none,self,1,cph:345,cph:345,15.680000,36.1773
cph_query_--xKnCCc_4tDGo80iM-A_g,transfer_3,9012,none,self,2,cph:429,cph:345,15.680001,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,isotropic,1234,none,self,1,cph:71,cph:71,15.680001,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,transfer_3,1234,none,self,6,amman:31,cph:71,15.679996,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,isotropic,5678,none,self,1,cph:71,cph:71,15.679998,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,transfer_3,5678,none,self,3,cph:61,cph:71,15.679997,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,isotropic,9012,none,self,1,cph:71,cph:71,15.680001,36.1773
cph_query_-05vIhjxDNupFcgaM90L3w,transfer_3,9012,none,self,2,cph:370,cph:71,15.679998,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,isotropic,1234,none,self,2,cph:243,cph:241,15.679997,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,transfer_3,1234,none,self,6,amman:1,cph:241,15.680000,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,isotropic,5678,none,self,1,cph:241,cph:241,15.679997,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,transfer_3,5678,none,self,34,cph:459,cph:241,15.679998,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,isotropic,9012,none,self,2,cph:243,cph:241,15.679996,36.1773
cph_query_-07-gME-zaQLhCsFrSInSg,transfer_3,9012,none,self,63,amman:35,cph:241,15.679998,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,isotropic,1234,none,self,2,amman:23,cph:242,15.680000,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,transfer_3,1234,none,self,1,cph:242,cph:242,15.679998,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,isotropic,5678,none,self,2,amman:23,cph:242,15.680000,36.1773
cph_query_-0_HsZnndjHv76QpTyNFCA,transfer_3,5678,none,self,1,cph:242,cph:242,15.680000,36.1773
