query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
toronto_query_-1caqsIDW4YpUBZB98J9uV,isotropic,1234,none,self,1,toronto:33,toronto:33,15.679997,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_3,1234,none,self,2,boston:144,toronto:33,15.680001,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,isotropic,5678,none,self,1,toronto:33,toronto:33,15.679997,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_3,5678,none,self,7,boston:144,toronto:33,15.679998,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,isotropic,9012,none,self,2,cph:464,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_3,9012,none,self,4,boston:144,toronto:33,15.679997,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,isotropic,1234,none,self,46,boston:98,toronto:185,15.679997,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,transfer_3,1234,none,self,30,boston:98,toronto:185,15.679997,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,isotropic,5678,none,self,64,boston:98,toronto:185,15.679997,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,transfer_3,5678,none,self,84,boston:98,toronto:185,15.680000,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,isotropic,9012,none,self,59,boston:98,toronto:185,15.680000,36.1773
toronto_query_-3UT7A8bNUkVBgSLW30-ow,transfer_3,9012,none,self,35,boston:98,toronto:185,15.679998,36.1773
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,isotropic,1234,none,self,2,toronto:200,toronto:88,15.679998,36.1773
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,transfer_3,1234,none,self,1,toronto:88,toronto:88,15.680001,36.1773
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,isotropic,5678,none,self,2,toronto:200,toronto:88,15.679997,36.1773
