query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,jpeg50,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_1,1234,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_2,1234,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,jpeg50,self,1,amman:31,amman:31,15.680001,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_4,1234,jpeg50,self,1,amman:31,amman:31,15.679996,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,jpeg50,self,1,amman:31,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_1,5678,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_2,5678,jpeg50,self,1,amman:31,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,jpeg50,self,1,amman:31,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_4,5678,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,jpeg50,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,9012,jpeg50,self,1,amman:31,amman:31,15.680001,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_1,9012,jpeg50,self,1,amman:31,amman:31,15.680001,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_2,9012,jpeg50,self,1,amman:31,amman:31,15.680001,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,9012,jpeg50,self,1,amman:31,amman:31,15.680001,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_4,9012,jpeg50,self,1,amman:31,amman:31,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,1234,jpeg50,self,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,1234,jpeg50,self,1,boston:87,boston:87,15.680001,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_1,1234,jpeg50,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_2,1234,jpeg50,self,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,1234,jpeg50,self,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_4,1234,jpeg50,self,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,5678,jpeg50,self,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,5678,jpeg50,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_1,5678,jpeg50,self,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_2,5678,jpeg50,self,1,boston:87,boston:87,15.680001,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,5678,jpeg50,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_4,5678,jpeg50,self,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,9012,jpeg50,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,9012,jpeg50,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_1,9012,jpeg50,self,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_2,9012,jpeg50,self,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,9012,jpeg50,self,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_4,9012,jpeg50,self,1,boston:87,boston:87,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,1234,jpeg50,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,white_box,1234,jpeg50,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_1,1234,jpeg50,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_2,1234,jpeg50,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,1234,jpeg50,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_4,1234,jpeg50,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,5678,jpeg50,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,white_box,5678,jpeg50,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_1,5678,jpeg50,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_2,5678,jpeg50,self,1,cph:208,cph:208,15.679998,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,5678,jpeg50,self,1,cph:208,cph:208,15.680001,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_4,5678,jpeg50,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,9012,jpeg50,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,white_box,9012,jpeg50,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_1,9012,jpeg50,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_2,9012,jpeg50,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,9012,jpeg50,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_4,9012,jpeg50,self,1,cph:208,cph:208,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,isotropic,1234,jpeg50,self,7,nairobi:9,london:51,15.679998,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,white_box,1234,jpeg50,self,19,nairobi:9,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_1,1234,jpeg50,self,5,nairobi:3,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_2,1234,jpeg50,self,14,manila:134,london:51,15.679998,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,1234,jpeg50,self,2,nairobi:3,london:51,15.680001,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_4,1234,jpeg50,self,10,manila:190,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,isotropic,5678,jpeg50,self,5,nairobi:9,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,white_box,5678,jpeg50,self,212,nairobi:3,london:51,15.680001,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_1,5678,jpeg50,self,3,nairobi:3,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_2,5678,jpeg50,self,1,london:51,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,5678,jpeg50,self,2,nairobi:3,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_4,5678,jpeg50,self,9,nairobi:12,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,isotropic,9012,jpeg50,self,1,london:51,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,white_box,9012,jpeg50,self,91,nairobi:3,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_1,9012,jpeg50,self,73,nairobi:3,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_2,9012,jpeg50,self,12,nairobi:15,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,9012,jpeg50,self,32,nairobi:9,london:51,15.680001,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_4,9012,jpeg50,self,25,nairobi:9,london:51,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,isotropic,1234,jpeg50,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,white_box,1234,jpeg50,self,1,manila:102,manila:102,15.679997,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_1,1234,jpeg50,self,1,manila:102,manila:102,15.679998,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_2,1234,jpeg50,self,1,manila:102,manila:102,15.679998,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_3,1234,jpeg50,self,1,manila:102,manila:102,15.679998,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_4,1234,jpeg50,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,isotropic,5678,jpeg50,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,white_box,5678,jpeg50,self,1,manila:102,manila:102,15.679998,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_1,5678,jpeg50,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_2,5678,jpeg50,self,1,manila:102,manila:102,15.679998,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_3,5678,jpeg50,self,1,manila:102,manila:102,15.680001,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_4,5678,jpeg50,self,1,manila:102,manila:102,15.679998,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,isotropic,9012,jpeg50,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,white_box,9012,jpeg50,self,1,manila:102,manila:102,15.679996,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_1,9012,jpeg50,self,1,manila:102,manila:102,15.680001,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_2,9012,jpeg50,self,1,manila:102,manila:102,15.679997,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_3,9012,jpeg50,self,1,manila:102,manila:102,15.679997,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_4,9012,jpeg50,self,1,manila:102,manila:102,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,isotropic,1234,jpeg50,self,1384,zurich:30,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,white_box,1234,jpeg50,self,1333,zurich:30,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_1,1234,jpeg50,self,1322,nairobi:19,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_2,1234,jpeg50,self,1463,nairobi:19,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_3,1234,jpeg50,self,1518,nairobi:19,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_4,1234,jpeg50,self,1662,nairobi:19,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,isotropic,5678,jpeg50,self,1498,nairobi:19,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,white_box,5678,jpeg50,self,689,nairobi:19,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_1,5678,jpeg50,self,1223,nairobi:19,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_2,5678,jpeg50,self,1443,nairobi:19,nairobi:2,15.680001,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_3,5678,jpeg50,self,1578,nairobi:19,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_4,5678,jpeg50,self,1569,nairobi:19,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,isotropic,9012,jpeg50,self,1450,zurich:30,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,white_box,9012,jpeg50,self,1059,nairobi:19,nairobi:2,15.680001,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_1,9012,jpeg50,self,1761,zurich:30,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_2,9012,jpeg50,self,1546,nairobi:19,nairobi:2,15.679998,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_3,9012,jpeg50,self,1523,nairobi:19,nairobi:2,15.680001,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_4,9012,jpeg50,self,1710,nairobi:19,nairobi:2,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,isotropic,1234,jpeg50,self,10,manila:143,toronto:33,15.679997,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,white_box,1234,jpeg50,self,12,manila:72,toronto:33,15.679997,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_1,1234,jpeg50,self,3,manila:72,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_2,1234,jpeg50,self,5,manila:143,toronto:33,15.679997,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_3,1234,jpeg50,self,6,manila:87,toronto:33,15.680001,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_4,1234,jpeg50,self,8,manila:72,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,isotropic,5678,jpeg50,self,8,manila:143,toronto:33,15.679997,36.1773
