query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,none,self,33,nairobi:17,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,1234,none,self,757,manila:142,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,none,self,41,zurich:42,amman:31,15.680001,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,none,self,15,nairobi:17,amman:31,15.679997,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,5678,none,self,309,cph:245,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,none,self,18,nairobi:17,amman:31,15.680001,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,none,self,23,nairobi:17,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,white_box,9012,none,self,143,cph:245,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,9012,none,self,23,nairobi:17,amman:31,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,1234,none,self,1,boston:87,boston:87,15.679998,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,1234,none,self,1881,cph:342,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,1234,none,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,5678,none,self,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,5678,none,self,1661,cph:84,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,5678,none,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,9012,none,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,white_box,9012,none,self,1849,manila:33,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,9012,none,self,1,boston:87,boston:87,15.679997,36.1773
