query_id,condition,seed,sanitizer,objective,correct_rank,top1_place,correct_place,effective_mse,psnr
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_1,1234,none,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_2,1234,none,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,1234,none,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_1,5678,none,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_2,5678,none,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,5678,none,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_1,9012,none,self,1,amman:31,amman:31,15.679998,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_2,9012,none,self,1,amman:31,amman:31,15.680000,36.1773
amman_query_-39Q9edqZUArYHa41OPDoQ,transfer_3,9012,none,self,1,amman:31,amman:31,15.680001,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_1,1234,none,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_2,1234,none,self,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,1234,none,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_1,5678,none,self,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_2,5678,none,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,5678,none,self,1,boston:87,boston:87,15.680000,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_1,9012,none,self,1,boston:87,boston:87,15.679997,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_2,9012,none,self,1,boston:87,boston:87,15.680001,36.1773
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,transfer_3,9012,none,self,1,boston:87,boston:87,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_1,1234,none,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_2,1234,none,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,1234,none,self,1,cph:208,cph:208,15.679998,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_1,5678,none,self,1,cph:208,cph:208,15.680001,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_2,5678,none,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,5678,none,self,1,cph:208,cph:208,15.680000,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_1,9012,none,self,1,cph:208,cph:208,15.679997,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_2,9012,none,self,1,cph:208,cph:208,15.679998,36.1773
cph_query_--FyHVca3HP-QgUmcAvToA,transfer_3,9012,none,self,1,cph:208,cph:208,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_1,1234,none,self,25,nairobi:9,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_2,1234,none,self,7,boston:139,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,1234,none,self,30,nairobi:3,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_1,5678,none,self,2,nairobi:3,london:51,15.680001,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_2,5678,none,self,5,london:85,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,5678,none,self,1,london:51,london:51,15.679997,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_1,9012,none,self,21,london:85,london:51,15.679998,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_2,9012,none,self,3,london:85,london:51,15.680000,36.1773
london_query_-0u7VsCOCAmwH4RFsN5BoA,transfer_3,9012,none,self,12,london:85,london:51,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_1,1234,none,self,1,manila:102,manila:102,15.680001,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_2,1234,none,self,1,manila:102,manila:102,15.680000,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_3,1234,none,self,1,manila:102,manila:102,15.679997,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_1,5678,none,self,1,manila:102,manila:102,15.680001,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_2,5678,none,self,1,manila:102,manila:102,15.680001,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_3,5678,none,self,1,manila:102,manila:102,15.679997,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_1,9012,none,self,1,manila:102,manila:102,15.679997,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_2,9012,none,self,1,manila:102,manila:102,15.679997,36.1773
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,transfer_3,9012,none,self,1,manila:102,manila:102,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_1,1234,none,self,1769,amman:1,nairobi:2,15.679998,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_2,1234,none,self,1846,zurich:25,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_3,1234,none,self,1878,amman:1,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_1,5678,none,self,1654,zurich:30,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_2,5678,none,self,1750,zurich:30,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_3,5678,none,self,1681,zurich:30,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_1,9012,none,self,1905,zurich:30,nairobi:2,15.680000,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_2,9012,none,self,1779,zurich:30,nairobi:2,15.679997,36.1773
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,transfer_3,9012,none,self,1828,zurich:30,nairobi:2,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_1,1234,none,self,9,manila:87,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_2,1234,none,self,18,manila:87,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_3,1234,none,self,38,manila:72,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_1,5678,none,self,8,manila:72,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_2,5678,none,self,8,nairobi:5,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_3,5678,none,self,43,manila:87,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_1,9012,none,self,8,manila:87,toronto:33,15.680000,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_2,9012,none,self,38,manila:72,toronto:33,15.679997,36.1773
toronto_query_-1caqsIDW4YpUBZB98J9uV,transfer_3,9012,none,self,18,manila:72,toronto:33,15.680000,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_1,1234,none,self,1,zurich:64,zurich:64,15.680000,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_2,1234,none,self,1,zurich:64,zurich:64,15.679998,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_3,1234,none,self,1,zurich:64,zurich:64,15.679998,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_1,5678,none,self,1,zurich:64,zurich:64,15.680000,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_2,5678,none,self,1,zurich:64,zurich:64,15.679996,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_3,5678,none,self,1,zurich:64,zurich:64,15.680000,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_1,9012,none,self,1,zurich:64,zurich:64,15.679997,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_2,9012,none,self,1,zurich:64,zurich:64,15.680000,36.1773
zurich_query_--RjvuIbkJiPNJknyeZN_Q,transfer_3,9012,none,self,1,zurich:64,zurich:64,15.679997,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_1,1234,none,self,1,amman:21,amman:21,15.679997,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_2,1234,none,self,1,amman:21,amman:21,15.680000,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_3,1234,none,self,1,amman:21,amman:21,15.680000,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_1,5678,none,self,1,amman:21,amman:21,15.680001,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_2,5678,none,self,1,amman:21,amman:21,15.680000,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_3,5678,none,self,1,amman:21,amman:21,15.680000,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_1,9012,none,self,1,amman:21,amman:21,15.680000,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_2,9012,none,self,1,amman:21,amman:21,15.680000,36.1773
amman_query_-6eEB_fS2eePRNUql6vOrQ,transfer_3,9012,none,self,1,amman:21,amman:21,15.680000,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_1,1234,none,self,5,cph:243,boston:262,15.679997,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_2,1234,none,self,18,boston:90,boston:262,15.680000,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_3,1234,none,self,4,boston:90,boston:262,15.679998,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_1,5678,none,self,4,cph:243,boston:262,15.680000,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_2,5678,none,self,21,nairobi:22,boston:262,15.680000,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_3,5678,none,self,11,boston:90,boston:262,15.679997,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_1,9012,none,self,5,boston:90,boston:262,15.679997,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_2,9012,none,self,6,boston:90,boston:262,15.679998,36.1773
boston_query_--VtRctVkqAafFr5b_6GXg,transfer_3,9012,none,self,16,cph:243,boston:262,15.680000,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_1,1234,none,self,1,cph:162,cph:162,15.679997,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_2,1234,none,self,1,cph:162,cph:162,15.679998,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_3,1234,none,self,1,cph:162,cph:162,15.679997,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_1,5678,none,self,1,cph:162,cph:162,15.679998,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_2,5678,none,self,1,cph:162,cph:162,15.680000,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_3,5678,none,self,1,cph:162,cph:162,15.680000,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_1,9012,none,self,1,cph:162,cph:162,15.680001,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_2,9012,none,self,1,cph:162,cph:162,15.680000,36.1773
cph_query_--kN3Y3n0x47vWa8WX-a8w,transfer_3,9012,none,self,1,cph:162,cph:162,15.679997,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_1,1234,none,self,1,london:2,london:2,15.679998,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_2,1234,none,self,1,london:2,london:2,15.680000,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_3,1234,none,self,11,london:119,london:2,15.680001,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_1,5678,none,self,4,boston:139,london:2,15.679998,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_2,5678,none,self,1,london:2,london:2,15.679997,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_3,5678,none,self,8,london:119,london:2,15.679998,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_1,9012,none,self,2,zurich:7,london:2,15.680001,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_2,9012,none,self,1,london:2,london:2,15.679998,36.1773
london_query_-4Vq2O1PhPmG6WK-yV402Q,transfer_3,9012,none,self,3,boston:139,london:2,15.680000,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,transfer_1,1234,none,self,2,manila:29,manila:142,15.680000,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,transfer_2,1234,none,self,6,manila:29,manila:142,15.679997,36.1773
manila_query_-10rV9IlRhgTnk5e_QJbgA,transfer_3,1234,none,self,3,manila:160,manila:142,15.679997,36.1773
