query_id,condition,seed,pred_lat,pred_lon,true_lat,true_lon,error_km,refused,model
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,1234,31.951600,35.923900,31.999358,35.879608,6.7568,0,gpt-5
amman_query_-6eEB_fS2eePRNUql6vOrQ,direction,1234,32.016000,35.214000,31.937649,35.849155,60.5395,0,gpt-5
amman_query_-BJoV1t0rKwEzk0bsZplVQ,direction,1234,31.953000,35.910000,31.978364,35.915587,2.8692,0,gpt-5
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,1234,31.953900,35.910600,31.946058,35.850294,5.7563,0,gpt-5
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,1234,41.045900,29.034600,32.001434,35.876522,1176.0108,0,gpt-5
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,1234,31.958000,35.911000,31.958243,35.852087,5.5580,0,gpt-5
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,1234,35.689200,51.389000,31.968966,35.841534,1492.6219,0,gpt-5
amman_query_-N1g8CEJP4UIaWH8Qqja2g,direction,1234,31.955000,35.870000,31.956696,35.847420,2.1386,0,gpt-5
amman_query_-VdxqGX8d8L_OiSEN5CtDw,direction,1234,31.956600,35.945700,31.983953,35.832464,11.1061,0,gpt-5
amman_query_-XWB_1fOm8NW5dQx9p5IKg,direction,1234,37.983800,23.727500,31.984011,35.900124,1292.5157,0,gpt-5
amman_query_-iXxlTRmA5JphamcIjxBbA,direction,1234,31.953000,35.910000,32.029374,35.840189,10.7455,0,gpt-5
amman_query_-qij8CFaEYNp4JW3rF9oqQ,direction,1234,37.566500,126.978000,31.996352,35.884292,7997.9990,0,gpt-5
amman_query_-t_-moqpBTWSiKU7mS-lgQ,direction,1234,31.953900,35.910600,31.948052,35.850809,5.6786,0,gpt-5
amman_query_0-2jyV8XAzdAOYMkdyQVLw,direction,1234,36.806500,10.181500,31.970600,35.840690,2407.2931,0,gpt-5
amman_query_051WRvR5gI1vde606oseFw,direction,1234,35.689200,51.389000,31.948302,35.850846,1492.5979,0,gpt-5
amman_query_0CjrhmzpvqXBOIBsGB6LcQ,direction,1234,31.956600,35.910600,31.936361,35.848843,6.2465,0,gpt-5
amman_query_0IvHKlYEfFEP39KRxr9UZg,direction,1234,31.956000,35.910000,31.941886,35.847469,6.1050,0,gpt-5
amman_query_0NfGsYmI9MkLl0JzfO-tJg,direction,1234,33.573100,-7.589800,31.978879,35.916274,4041.2852,0,gpt-5
amman_query_0PLHged3iWJuuv8xOPB5rA,direction,1234,31.953000,35.861000,31.958905,35.854412,0.9041,0,gpt-5
amman_query_0R0A_PhOAjP-uMDPM7p7mA,direction,1234,31.955000,35.860000,31.958702,35.853572,0.7330,0,gpt-5
amman_query_0RRGZCCzxqj8dJzhN-RnQQ,direction,1234,24.713600,46.675300,31.967991,35.842017,1330.8600,0,gpt-5
amman_query_0fPb7in-cHyh0MAM_N6Zwg,direction,1234,31.955000,35.937000,31.942440,35.847242,8.5832,0,gpt-5
amman_query_0mtodUgJmOV4UK-0AiTGHg,direction,1234,31.959000,35.866000,31.957841,35.850878,1.4324,0,gpt-5
amman_query_0rJM3ZzX3JzTTpl0GCia8w,direction,1234,13.756300,100.501800,31.966763,35.902553,6822.5627,0,gpt-5
amman_query_12LbsAl_T_jgw2JHgbR5ng,direction,1234,37.975000,23.735000,31.984105,35.900009,1291.4668,0,gpt-5
amman_query_1HafWFxuyylXLnDzCoapDA,direction,1234,36.191000,44.009000,31.985877,35.897811,880.7301,0,gpt-5
amman_query_1IWpn2b6V75KvNFoTU8UOQ,direction,1234,35.689200,51.389000,31.957222,35.848997,1492.4158,0,gpt-5
amman_query_1Nmy4JnYnb5zA_JmbkDWBQ,direction,1234,31.953900,35.910600,31.980710,35.835015,7.7282,0,gpt-5
amman_query_1Tf2dWuS4el8fREHH1_k0w,direction,1234,41.008200,28.978400,31.955989,35.847630,1178.1801,0,gpt-5
amman_query_1TysYQA0N2AnJ5lzQWP07w,direction,1234,31.532000,35.100000,31.934255,35.846195,83.5502,0,gpt-5
amman_query_1VTBGOTuAwvnyE1o4Pbm0Q,direction,1234,31.776700,35.234500,31.947981,35.850798,61.2400,0,gpt-5
amman_query_1_jzc52w72UKyKztvVoygQ,direction,1234,31.780000,35.220000,31.947488,35.850682,62.4044,0,gpt-5
amman_query_1jA0_v7p_4KHVbia4DG7Bw,direction,1234,31.903800,35.203400,31.943147,35.846882,60.8875,0,gpt-5
amman_query_1n6vx0uExn56MfvA6toRJw,direction,1234,39.911000,32.776000,31.997765,35.882059,923.0836,0,gpt-5
amman_query_1qMrYvXqBvZDS0XUd5cEtg,direction,1234,31.963000,35.906000,31.937378,35.849925,6.0090,0,gpt-5
amman_query_1rZerb0T7z_1E7yKfEBCtA,direction,1234,31.953900,35.910600,31.968570,35.841738,6.6980,0,gpt-5
amman_query_1uJbVMOMqlPVx4GYc2BgOA,direction,1234,41.010500,28.973500,31.958280,35.846258,1178.3348,0,gpt-5
amman_query_23YO5CD18Cg_wG_ZhqhbQQ,direction,1234,35.171000,-2.929000,31.945762,35.850234,3588.5862,0,gpt-5
amman_query_27ZYHE_-tdmKbq7gUW9ECA,direction,1234,31.953000,35.910000,31.936738,35.849261,6.0096,0,gpt-5
amman_query_29zY5U3MUbO3wTjTTKF93w,direction,1234,31.958000,35.935000,31.940472,35.848048,8.4323,0,gpt-5
amman_query_2E9XDGy6VTetR1O15tILdw,direction,1234,32.805000,35.000000,32.028622,35.840299,116.9362,0,gpt-5
amman_query_2WNEczYwDdZlHE_2nYlE-A,direction,1234,35.689200,51.389000,31.984538,35.832035,1492.8619,0,gpt-5
amman_query_2amxr5vdbo4jgViAEELT_Q,direction,1234,31.778000,35.235000,31.979358,35.916602,68.1424,0,gpt-5
