query_id,condition,seed,pred_lat,pred_lon,true_lat,true_lon,error_km,refused,model
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,31.953900,35.910600,31.999358,35.879608,5.8391,0,gpt-5
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,1234,31.820000,35.250000,31.937649,35.849155,58.0669,0,gpt-5
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,1234,31.960000,35.900000,31.978364,35.915587,2.5163,0,gpt-5
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,1234,31.956600,35.945700,31.946058,35.850294,9.0774,0,gpt-5
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,1234,33.868000,35.536000,32.001434,35.876522,209.9713,0,gpt-5
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,31.953900,35.910600,31.958243,35.852087,5.5414,0,gpt-5
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,1234,36.190000,44.009000,31.968966,35.841534,886.1213,0,gpt-5
amman_query_-N1g8CEJP4UIaWH8Qqja2g,isotropic,1234,31.956000,35.870000,31.956696,35.847420,2.1317,0,gpt-5
amman_query_-VdxqGX8d8L_OiSEN5CtDw,isotropic,1234,31.951600,35.923300,31.983953,35.832464,9.2933,0,gpt-5
amman_query_-XWB_1fOm8NW5dQx9p5IKg,isotropic,1234,31.953000,35.910000,31.984011,35.900124,3.5719,0,gpt-5
amman_query_-iXxlTRmA5JphamcIjxBbA,isotropic,1234,31.953900,35.910600,32.029374,35.840189,10.7016,0,gpt-5
amman_query_-qij8CFaEYNp4JW3rF9oqQ,isotropic,1234,4.650000,-74.100000,31.996352,35.884292,11590.6394,0,gpt-5
amman_query_-t_-moqpBTWSiKU7mS-lgQ,isotropic,1234,31.778000,35.213000,31.948052,35.850809,63.1324,0,gpt-5
amman_query_0-2jyV8XAzdAOYMkdyQVLw,isotropic,1234,36.806500,10.181500,31.970600,35.840690,2407.2931,0,gpt-5
amman_query_051WRvR5gI1vde606oseFw,isotropic,1234,41.008200,28.978400,31.948302,35.850846,1179.0737,0,gpt-5
amman_query_0CjrhmzpvqXBOIBsGB6LcQ,isotropic,1234,31.950000,35.910000,31.936361,35.848843,5.9666,0,gpt-5
amman_query_0IvHKlYEfFEP39KRxr9UZg,isotropic,1234,36.848000,10.223000,31.941886,35.847469,2405.7486,0,gpt-5
amman_query_0NfGsYmI9MkLl0JzfO-tJg,isotropic,1234,33.589900,-7.603900,31.978879,35.916274,4042.2541,0,gpt-5
amman_query_0PLHged3iWJuuv8xOPB5rA,isotropic,1234,31.955000,35.910000,31.958905,35.854412,5.2623,0,gpt-5
amman_query_0R0A_PhOAjP-uMDPM7p7mA,isotropic,1234,31.953000,35.861000,31.958702,35.853572,0.9450,0,gpt-5
amman_query_0RRGZCCzxqj8dJzhN-RnQQ,isotropic,1234,36.191100,44.009400,31.967991,35.842017,886.2362,0,gpt-5
amman_query_0fPb7in-cHyh0MAM_N6Zwg,isotropic,1234,31.953900,35.910600,31.942440,35.847242,6.1123,0,gpt-5
amman_query_0mtodUgJmOV4UK-0AiTGHg,isotropic,1234,31.959000,35.910000,31.957841,35.850878,5.5791,0,gpt-5
amman_query_0rJM3ZzX3JzTTpl0GCia8w,isotropic,1234,31.953900,35.910600,31.966763,35.902553,1.6193,0,gpt-5
amman_query_12LbsAl_T_jgw2JHgbR5ng,isotropic,1234,37.980000,23.720000,31.984105,35.900009,1292.8899,0,gpt-5
amman_query_1HafWFxuyylXLnDzCoapDA,isotropic,1234,31.953900,35.910600,31.985877,35.897811,3.7548,0,gpt-5
amman_query_1IWpn2b6V75KvNFoTU8UOQ,isotropic,1234,31.958000,35.870000,31.957222,35.848997,1.9834,0,gpt-5
amman_query_1Nmy4JnYnb5zA_JmbkDWBQ,isotropic,1234,31.950000,35.930000,31.980710,35.835015,9.5890,0,gpt-5
amman_query_1Tf2dWuS4el8fREHH1_k0w,isotropic,1234,55.755800,37.617300,31.955989,35.847630,2650.0147,0,gpt-5
amman_query_1TysYQA0N2AnJ5lzQWP07w,isotropic,1234,31.700000,35.220000,31.934255,35.846195,64.6467,0,gpt-5
amman_query_1VTBGOTuAwvnyE1o4Pbm0Q,isotropic,1234,31.953900,35.910600,31.947981,35.850798,5.6805,0,gpt-5
amman_query_1_jzc52w72UKyKztvVoygQ,isotropic,1234,31.780000,35.220000,31.947488,35.850682,62.4044,0,gpt-5
amman_query_1jA0_v7p_4KHVbia4DG7Bw,isotropic,1234,31.903000,35.206000,31.943147,35.846882,60.6495,0,gpt-5
amman_query_1n6vx0uExn56MfvA6toRJw,isotropic,1234,39.925000,32.850000,31.997765,35.882059,922.5761,0,gpt-5
amman_query_1qMrYvXqBvZDS0XUd5cEtg,isotropic,1234,31.874000,36.010000,31.937378,35.849925,16.6730,0,gpt-5
amman_query_1rZerb0T7z_1E7yKfEBCtA,isotropic,1234,31.953900,35.910600,31.968570,35.841738,6.6980,0,gpt-5
amman_query_1uJbVMOMqlPVx4GYc2BgOA,isotropic,1234,31.951000,35.910000,31.958280,35.846258,6.0680,0,gpt-5
amman_query_23YO5CD18Cg_wG_ZhqhbQQ,isotropic,1234,36.850000,10.200000,31.945762,35.850234,2407.9033,0,gpt-5
amman_query_27ZYHE_-tdmKbq7gUW9ECA,isotropic,1234,31.953900,35.910600,31.936738,35.849261,6.0941,0,gpt-5
amman_query_29zY5U3MUbO3wTjTTKF93w,isotropic,1234,31.690400,-106.424500,31.940472,35.848048,11903.3214,0,gpt-5
amman_query_2E9XDGy6VTetR1O15tILdw,isotropic,1234,36.799000,34.621000,32.028622,35.840299,542.0907,0,gpt-5
amman_query_2WNEczYwDdZlHE_2nYlE-A,isotropic,1234,31.953900,35.910600,31.984538,35.832035,8.1566,0,gpt-5
amman_query_2amxr5vdbo4jgViAEELT_Q,isotropic,1234,31.768300,35.213700,31.979358,35.916602,70.4005,0,gpt-5
amman_query_2ar5B6f1xOYuU4wn7CLEJg,isotropic,1234,31.955000,35.910000,32.015843,35.843284,9.2392,0,gpt-5
amman_query_2hq9evzmyg6GO86JGeo5kw,isotropic,1234,32.794000,34.989000,31.996165,35.884605,122.2334,0,gpt-5
