query_id,condition,seed,correct_rank,top5_hit,top10_hit,effective_mse,psnr,max_abs_delta,clipped_fraction,region_mode,caption_source,steps,epsilon
amman_query_-39Q9edqZUArYHa41OPDoQ,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,1234,1,1,1,15.680000,36.1773,16.6256,0.001649,fullframe,published,100,8.0
amman_query_-39Q9edqZUArYHa41OPDoQ,geoshield_published_fullframe,1234,1,1,1,15.680000,36.1773,9.8590,0.000000,fullframe,published,100,8.0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.000260,fullframe,published,100,8.0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,1234,1,1,1,15.679997,36.1773,16.6428,0.003418,fullframe,published,100,8.0
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,geoshield_published_fullframe,1234,1,1,1,15.680000,36.1773,9.7549,0.000109,fullframe,published,100,8.0
cph_query_--FyHVca3HP-QgUmcAvToA,clean,1234,17,0,0,0.000000,138.1308,0.0000,0.005414,fullframe,published,100,8.0
cph_query_--FyHVca3HP-QgUmcAvToA,isotropic,1234,73,0,0,15.680000,36.1773,16.6806,0.008160,fullframe,published,100,8.0
cph_query_--FyHVca3HP-QgUmcAvToA,geoshield_published_fullframe,1234,32,0,0,15.680000,36.1773,10.1288,0.002664,fullframe,published,100,8.0
london_query_-0u7VsCOCAmwH4RFsN5BoA,clean,1234,197,0,0,0.000000,138.1308,0.0000,0.000136,fullframe,published,100,8.0
london_query_-0u7VsCOCAmwH4RFsN5BoA,isotropic,1234,137,0,0,15.679997,36.1773,17.1679,0.053429,fullframe,published,100,8.0
london_query_-0u7VsCOCAmwH4RFsN5BoA,geoshield_published_fullframe,1234,123,0,0,15.679997,36.1773,10.0689,0.000049,fullframe,published,100,8.0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,clean,1234,54,0,0,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,isotropic,1234,46,0,0,15.679998,36.1773,16.6136,0.000716,fullframe,published,100,8.0
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,geoshield_published_fullframe,1234,43,0,0,15.679997,36.1773,9.9284,0.000000,fullframe,published,100,8.0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,clean,1234,1999,0,0,0.000000,138.1308,0.0000,0.000011,fullframe,published,100,8.0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,isotropic,1234,2000,0,0,15.680000,36.1773,16.6077,0.000228,fullframe,published,100,8.0
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,geoshield_published_fullframe,1234,1982,0,0,15.680000,36.1773,9.9123,0.000005,fullframe,published,100,8.0
toronto_query_-1caqsIDW4YpUBZB98J9uV,clean,1234,15,0,0,0.000000,138.1308,0.0000,0.022206,fullframe,published,100,8.0
toronto_query_-1caqsIDW4YpUBZB98J9uV,isotropic,1234,1,1,1,15.679997,36.1773,17.0095,0.040750,fullframe,published,100,8.0
toronto_query_-1caqsIDW4YpUBZB98J9uV,geoshield_published_fullframe,1234,1,1,1,15.680000,36.1773,10.0263,0.011057,fullframe,published,100,8.0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,clean,1234,103,0,0,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,isotropic,1234,112,0,0,15.679998,36.1773,16.6111,0.000510,fullframe,published,100,8.0
zurich_query_--RjvuIbkJiPNJknyeZN_Q,geoshield_published_fullframe,1234,445,0,0,15.680001,36.1773,9.7776,0.000000,fullframe,published,100,8.0
amman_query_-6eEB_fS2eePRNUql6vOrQ,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
amman_query_-6eEB_fS2eePRNUql6vOrQ,isotropic,1234,1,1,1,15.680000,36.1773,16.6082,0.000282,fullframe,published,100,8.0
amman_query_-6eEB_fS2eePRNUql6vOrQ,geoshield_published_fullframe,1234,1,1,1,15.680000,36.1773,9.7026,0.000000,fullframe,published,100,8.0
boston_query_--VtRctVkqAafFr5b_6GXg,clean,1234,172,0,0,0.000000,138.1308,0.0000,0.000065,fullframe,published,100,8.0
boston_query_--VtRctVkqAafFr5b_6GXg,isotropic,1234,167,0,0,15.680000,36.1773,16.6349,0.002512,fullframe,published,100,8.0
boston_query_--VtRctVkqAafFr5b_6GXg,geoshield_published_fullframe,1234,309,0,0,15.680000,36.1773,9.7231,0.000016,fullframe,published,100,8.0
cph_query_--kN3Y3n0x47vWa8WX-a8w,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.000005,fullframe,published,100,8.0
cph_query_--kN3Y3n0x47vWa8WX-a8w,isotropic,1234,1,1,1,15.680001,36.1773,16.6068,0.000130,fullframe,published,100,8.0
cph_query_--kN3Y3n0x47vWa8WX-a8w,geoshield_published_fullframe,1234,1,1,1,15.680000,36.1773,9.7491,0.000000,fullframe,published,100,8.0
london_query_-4Vq2O1PhPmG6WK-yV402Q,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.042779,fullframe,published,100,8.0
london_query_-4Vq2O1PhPmG6WK-yV402Q,isotropic,1234,1,1,1,15.679996,36.1773,17.0509,0.049501,fullframe,published,100,8.0
london_query_-4Vq2O1PhPmG6WK-yV402Q,geoshield_published_fullframe,1234,2,1,1,15.679998,36.1773,9.8909,0.022483,fullframe,published,100,8.0
manila_query_-10rV9IlRhgTnk5e_QJbgA,clean,1234,560,0,0,0.000000,138.1308,0.0000,0.000103,fullframe,published,100,8.0
manila_query_-10rV9IlRhgTnk5e_QJbgA,isotropic,1234,547,0,0,15.680002,36.1773,17.1019,0.041992,fullframe,published,100,8.0
manila_query_-10rV9IlRhgTnk5e_QJbgA,geoshield_published_fullframe,1234,649,0,0,15.680000,36.1773,10.0326,0.000022,fullframe,published,100,8.0
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,clean,1234,7,0,1,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,isotropic,1234,6,0,1,15.680000,36.1773,16.6083,0.000298,fullframe,published,100,8.0
nairobi_query_-cS3FR1RBElNB48QQHiL0Q,geoshield_published_fullframe,1234,122,0,0,15.680000,36.1773,10.1548,0.000000,fullframe,published,100,8.0
toronto_query_-3UT7A8bNUkVBgSLW30-ow,clean,1234,63,0,0,0.000000,138.1308,0.0000,0.013704,fullframe,published,100,8.0
toronto_query_-3UT7A8bNUkVBgSLW30-ow,isotropic,1234,58,0,0,15.679997,36.1773,16.9425,0.034353,fullframe,published,100,8.0
toronto_query_-3UT7A8bNUkVBgSLW30-ow,geoshield_published_fullframe,1234,162,0,0,15.679997,36.1773,9.9128,0.007449,fullframe,published,100,8.0
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,clean,1234,15,0,0,0.000000,138.1308,0.0000,0.004123,fullframe,published,100,8.0
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,isotropic,1234,14,0,0,15.679997,36.1773,16.7907,0.017442,fullframe,published,100,8.0
zurich_query_-25E3MQ0PY1vs_FT7mKaUw,geoshield_published_fullframe,1234,82,0,0,15.680000,36.1773,10.3749,0.002224,fullframe,published,100,8.0
amman_query_-BJoV1t0rKwEzk0bsZplVQ,clean,1234,1767,0,0,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
amman_query_-BJoV1t0rKwEzk0bsZplVQ,isotropic,1234,1808,0,0,15.680000,36.1773,16.6113,0.000613,fullframe,published,100,8.0
amman_query_-BJoV1t0rKwEzk0bsZplVQ,geoshield_published_fullframe,1234,1841,0,0,15.680001,36.1773,10.3666,0.000000,fullframe,published,100,8.0
boston_query_-0n5FDAuOditKvxIekIbBg,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.005143,fullframe,published,100,8.0
boston_query_-0n5FDAuOditKvxIekIbBg,isotropic,1234,1,1,1,15.679997,36.1773,16.9551,0.029660,fullframe,published,100,8.0
boston_query_-0n5FDAuOditKvxIekIbBg,geoshield_published_fullframe,1234,1,1,1,15.680000,36.1773,10.4570,0.002132,fullframe,published,100,8.0
cph_query_--xKnCCc_4tDGo80iM-A_g,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.002680,fullframe,published,100,8.0
cph_query_--xKnCCc_4tDGo80iM-A_g,isotropic,1234,1,1,1,15.679997,36.1773,16.7074,0.010118,fullframe,published,100,8.0
cph_query_--xKnCCc_4tDGo80iM-A_g,geoshield_published_fullframe,1234,1,1,1,15.680000,36.1773,9.9337,0.001514,fullframe,published,100,8.0
london_query_-4pmBOZmF-ynXSkWw5BAew,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.065267,fullframe,published,100,8.0
london_query_-4pmBOZmF-ynXSkWw5BAew,isotropic,1234,1,1,1,15.679996,36.1773,17.3468,0.079905,fullframe,published,100,8.0
london_query_-4pmBOZmF-ynXSkWw5BAew,geoshield_published_fullframe,1234,4,1,1,15.679998,36.1773,9.4836,0.033708,fullframe,published,100,8.0
manila_query_-2h231ovohZWmrsaBllNyw,clean,1234,146,0,0,0.000000,138.1308,0.0000,0.004156,fullframe,published,100,8.0
manila_query_-2h231ovohZWmrsaBllNyw,isotropic,1234,108,0,0,15.680000,36.1773,16.7285,0.011941,fullframe,published,100,8.0
manila_query_-2h231ovohZWmrsaBllNyw,geoshield_published_fullframe,1234,158,0,0,15.679998,36.1773,9.5199,0.001975,fullframe,published,100,8.0
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.047108,fullframe,published,100,8.0
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,isotropic,1234,11,0,0,15.680000,36.1773,17.2411,0.066347,fullframe,published,100,8.0
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,geoshield_published_fullframe,1234,11,0,0,15.680000,36.1773,10.0703,0.021191,fullframe,published,100,8.0
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.048367,fullframe,published,100,8.0
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,isotropic,1234,2,1,1,15.679998,36.1773,17.2767,0.071316,fullframe,published,100,8.0
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,geoshield_published_fullframe,1234,2,1,1,15.679998,36.1773,10.1229,0.026123,fullframe,published,100,8.0
zurich_query_-4StYjY5sT1S23ls5heCbg,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.033974,fullframe,published,100,8.0
zurich_query_-4StYjY5sT1S23ls5heCbg,isotropic,1234,1,1,1,15.680000,36.1773,17.1168,0.054872,fullframe,published,100,8.0
zurich_query_-4StYjY5sT1S23ls5heCbg,geoshield_published_fullframe,1234,1,1,1,15.680001,36.1773,9.7863,0.018235,fullframe,published,100,8.0
amman_query_-D0IlKF__f0c9DPAKbiYnw,clean,1234,16,0,0,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,1234,54,0,0,15.680000,36.1773,16.6053,0.000005,fullframe,published,100,8.0
amman_query_-D0IlKF__f0c9DPAKbiYnw,geoshield_published_fullframe,1234,161,0,0,15.680000,36.1773,10.0257,0.000000,fullframe,published,100,8.0
boston_query_-3hM-MR6uuw3se14vw3G0w,clean,1234,428,0,0,0.000000,138.1308,0.0000,0.000206,fullframe,published,100,8.0
boston_query_-3hM-MR6uuw3se14vw3G0w,isotropic,1234,503,0,0,15.680000,36.1773,16.6258,0.001861,fullframe,published,100,8.0
